candidate_index,temperature,noise_sigma,safe,score,approach_x_rmse,crosswind_x_rmse,approach_tip_rms,crosswind_tip_rms,tuning_seed
1,1.0,0.2,False,inf,0.1375286256989475,0.15606163381006827,0.2533222450752875,0.10039279660593202,20260809
2,1.0,0.35,False,inf,0.32860364235687634,0.10701007971826539,0.6084192999454606,0.12721108027086536,20260809
3,1.0,0.5,False,inf,0.5142714414416161,0.09889875308466861,0.6808054412657847,0.10775333606863688,20260809
4,5.0,0.2,False,inf,0.289598393216094,0.47267075287559834,0.15930689311175547,0.054348029462560635,20260809
5,5.0,0.35,False,inf,0.15800580009291118,0.21119652998440233,0.1850876800418363,0.0667310146388315,20260809
6,5.0,0.5,False,inf,0.10644990368339262,0.16123398531388008,0.20437544267376132,0.08945037560126615,20260809
