R,acquisition_norm_mean,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,candidate_usable,competence_pass,control_rate_ratio_mean,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,dare_residual_norm,index,orientation_ratio_mean,position_ratio_mean,safe,score,spectral_radius,w_p,w_theta
0.5,0.8702272727272727,True,2.645,0.5834195717391821,0.10743486833403812,lqr_001,False,False,0.8893725139886834,task_lqr,False,,0.9495494974533681,0.21665051214727507,6.680297091269186e-11,1,0.46741072809682105,0.9913560339161889,True,,0.9745705757077637,20.0,5.0
1.0,0.875909090909091,True,2.77,0.5090027795532488,0.10992508733877712,lqr_002,False,False,0.5828510515954837,task_lqr,False,,0.9065592994950795,0.2349803284033268,1.8476382788112552e-10,2,0.43000825852015145,1.049076623848575,True,,0.9745724207437414,20.0,5.0
2.0,0.8811363636363636,True,2.8850000000000002,0.4591239690905826,0.11230035468078468,lqr_003,False,False,0.4062967865181606,task_lqr,False,,0.8802575150113875,0.25662914743594345,2.0012702401473413e-10,3,0.40565337862598877,1.1150062302425292,True,,0.9745760854926611,20.0,5.0
0.5,0.8715909090909091,True,2.6750000000000003,0.5531613129281848,0.10802534794869849,lqr_004,False,False,0.8323092507931342,task_lqr,False,,0.9258916990478716,0.22214072876452956,1.3763331349421068e-10,4,0.4504459216808363,1.0080288673992965,True,,0.974570578786913,20.0,20.0
1.0,0.8765909090909091,True,2.785,0.49280982752835606,0.11026547422466791,lqr_005,False,False,0.5677550693513335,task_lqr,False,,0.8932514351067558,0.23914120367594485,1.505715569733694e-10,5,0.42074536057444095,1.0612879558375585,True,,0.9745724230047472,20.0,20.0
2.0,0.8815909090909091,True,2.895,0.44841066681652847,0.11253188161888988,lqr_006,False,False,0.4100035140465811,task_lqr,False,,0.8709125366065985,0.2597625675610046,1.8634259688767073e-10,6,0.39937132968280276,1.124103875310619,True,,0.9745760861410777,20.0,20.0
0.5,0.8738636363636364,True,2.725,0.49765958517856573,0.10905790238307332,lqr_007,False,False,0.9042166252109041,task_lqr,False,,0.8754300315167995,0.24053028915557606,7.510508363311473e-11,7,0.4173183120097246,1.0601286364190292,True,,0.9745705910764151,20.0,80.0
1.0,0.8788636363636364,True,2.835,0.4444709159220558,0.11149584490736916,lqr_008,False,False,0.5244446701227377,task_lqr,False,,0.8547360480613564,0.2537048805300796,1.0836975498641513e-10,8,0.3934382977622596,1.1041838435666234,True,,0.9745724320289348,20.0,80.0
2.0,0.8829545454545454,True,2.9250000000000003,0.4143235090732065,0.11342379872873475,lqr_009,False,False,0.40378078740273216,task_lqr,False,,0.8416446596839985,0.27114118208776433,1.39721906666457e-10,9,0.3795157601322694,1.1573435461022494,True,,0.9745760887290887,20.0,80.0
0.5,1.5,False,,4.539638623286388,0.128143590338213,lqr_010,False,False,13.551319152218763,task_lqr,False,,3.1677061290080135,0.24380371726825498,4.504858771987548e-10,10,2.4366909684714106,1.1443116538420606,True,,0.9745678426987195,80.0,5.0
1.0,0.8615909090909091,True,2.455,0.7134779837951962,0.10420286740154086,lqr_011,True,True,1.951352678717441,task_lqr,False,,1.0200620730689078,0.20364865295245857,5.450247054222573e-10,11,0.5314649034051138,0.9446048723415879,True,1.3904364594014655,0.9745683876761655,80.0,5.0
2.0,0.8706818181818182,True,2.6550000000000002,0.547494092382605,0.10811268917010898,lqr_012,False,False,0.8076930034901733,task_lqr,False,,0.9204177938209458,0.22022299679658155,6.912640054616885e-10,12,0.44697192428117505,1.0033685813353772,True,,0.9745694754137696,80.0,5.0
0.5,1.5,False,,4.416138364653319,0.1306302247119954,lqr_013,False,False,13.873878697155053,task_lqr,False,,2.155016601435505,0.21060511530812653,3.8200977649065374e-10,13,2.1069292546337968,1.0674981618176875,True,,0.9745678439582107,80.0,20.0
