controller,scenario,task_position_rmse,orientation_rmse,task_acquired,acquisition_time,final_task_error,control_energy,control_rate,safety,candidate_id,candidate_usable
old_PID,approach_stop,0.304054968405379,5.057574009336718,False,,0.1757894838583177,2.8626021982311443,232.8023917147255,True,,
Task-PID,approach_stop,1.2682780546833714,16.584534602157678,False,,0.17619613183783275,25.811275071866234,807.9225837352006,True,pid_003,False
old_PID,crosswind_hover,0.14893808076652873,1.1350048269819129,False,,0.036338485869252445,0.44844777892102616,2.4765402768075795,True,,
Task-PID,crosswind_hover,0.2441195157900757,3.444269717884573,False,,0.20114482456086488,2.244181920790077,54.94128806954296,True,pid_003,False
old_LQR,approach_stop,0.25517628207206494,3.835139162075767,False,,0.119480676767012,1.8827680389756816,195.084516038155,True,,
Task-LQR,approach_stop,0.24173359180155243,3.4145287591706017,True,8.870000000000001,0.0008367196914062957,2.6215758338641555,453.6734144005118,True,lqr_010,False
old_LQR,crosswind_hover,0.13726809260120784,0.6921971098814687,False,,0.1534851018001097,0.3967099727919603,8.066216152378397,True,,
Task-LQR,crosswind_hover,0.16284935941467443,0.5376941396068519,False,,0.22390378812976286,0.4014544878095859,24.85229945623983,True,lqr_010,False
