candidate_id,k_b,tau_s,usable,score,calm_position,calm_orientation,calm_acquired,calm_acquisition,crosswind_position,crosswind_orientation,crosswind_acquired,crosswind_acquisition,final_bias_calm,final_bias_crosswind,safety
ae_001,0.1,0.25,False,,0.10510883834277675,0.6972347344454554,True,2.475,0.18887825662133279,1.013358340024284,False,,0.018425390311583904,-0.12330431101987172,True
ae_002,0.1,0.5,False,,0.10508629045460005,0.7009571701162817,True,2.47,0.1905928823324236,1.0151905049250487,False,,0.018576330241346507,-0.12066016053770154,True
ae_003,0.1,1.0,False,,0.10489081805253055,0.7057189863025641,True,2.465,0.19336016545441947,1.0186753475695929,False,,0.016728853697599886,-0.11316691141168622,True
ae_004,0.25,0.25,False,,0.10834765155138637,0.674295783761834,True,2.5100000000000002,0.17342385100801752,1.0038656496071288,False,,0.028563065090554535,-0.25251209972460653,True
ae_005,0.25,0.5,False,,0.10799580290726261,0.6831254559441794,True,2.49,0.17647791811511274,1.0084223938349002,False,,0.024642255255649934,-0.25863254765962873,True
ae_006,0.25,1.0,False,,0.10867215220576677,0.694762991048417,True,2.475,0.1814894546714129,1.0171833855525731,False,,0.04154008388457962,-0.25860748402423783,True
ae_007,0.5,0.25,False,,0.11217499901030614,0.648791836128522,True,6.16,0.17200941767973457,0.9929533843933578,True,7.08,-0.03428862727329424,-0.3319516512634795,True
ae_008,0.5,0.5,False,,0.11237210184572825,0.6634030386607725,True,6.545,0.17331448188199283,0.9979199322589621,True,7.215,-0.03615158859892987,-0.3629759520265386,True
ae_009,0.5,1.0,False,,0.11230472681039438,0.681281187805512,True,2.5,0.17511364863743056,1.0150584932639488,True,7.470000000000001,-0.032465678790190605,-0.39997337616033807,True
ae_010,1.0,0.25,False,,0.12417413785675849,0.686286875209499,False,,0.17740055886439465,0.9935194383795022,True,7.165000000000001,0.10078027232709966,-0.34088711130014515,True
ae_011,1.0,0.5,False,,0.13182670023190524,0.6930059275033139,False,,0.18393343563925482,0.988513434447393,True,7.4399999999999995,0.15170059895774904,-0.3825995568344593,True
ae_012,1.0,1.0,False,,0.14308374343109473,0.6997640407750861,True,6.915,0.18769528814236647,0.9927554564580092,True,7.665000000000001,0.02967393460120794,-0.4,True
