time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad,task_position_error_x,task_velocity_error_x,theta_cutter_signed_rad,omega_cutter_y,task_pid_integral_x,task_lqr_feedback_ax,task_lqr_state_norm,reference_event,tip_velocity_world_x,tip_velocity_world_y,tip_velocity_world_z,cutter_axis_world_x,cutter_axis_world_y,cutter_axis_world_z,task_reference_tip_x,task_reference_tip_y,task_reference_tip_z,task_reference_axis_x,task_reference_axis_y,task_reference_axis_z,tip_task_x_error_m,tip_task_z_error_m,task_position_error_xz_m,position_error_3d_m,tip_speed_m_s,orientation_error_rad,orientation_error_deg
8.0749999999999993,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.2437719673160257,0,3.169918808026174,2.6784695087821677,0,0.017140049486386359,0.99667785390588448,0,0.081444800531154438,0,-0.11093701320046527,-0.010069407266999595,-0.0095546658964453315,-0.0088067416267756087,-0.01021336232785593,0.011863757625067826,0.00092409942351501543,0.0014706385777354519,0.0011460966847233007,0.00029409267163444292,-2.140626871681711,0,0.36164590829976084,0.10314509563431473,0.22500000000000001,-0.12185490436568527,-2.113070423528788,-0.13549634120773801,-0.13857841502571244,-0.14162334850405051,-0.14462634445009601,-0.1475978143970938,-0.1222164622392547,-2.9432091493527337,3.0587056470129967,2,true,0.0095999999999999992,task_pid,false,-2.6656268716817109,2.8518257607120909,-0.016346751336576447,0,3.0587056470129967,2,false,133.24850668431969,133.24850668431969,0,1.0888684696054423,0,0,1.0888684696054423,0,false,0,0.16307022212224453,0,-2.6656268716817109,2.8518257607120909,0.013489031764518482,-0.058898423728377863,-0.016346751336576447,0,0,setpoint_issued,2.8518257607120909,0,0.022415444274407587,0.99990902439048746,0,-0.013488622704408633,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.6656268716817109,-0.028354091700239281,2.6657776676886935,2.6657776676886935,2.851913852416148,0.013489031764580571,0.77286458982837214
8.0800000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.2303571616499687,0,3.1700058082913274,2.6874484228812854,0,0.017660840200042688,0.99669291577600894,0,0.081260270993374906,0,-0.11087302376562293,-0.010064668796203269,-0.0095466592973737201,-0.0088004681974610047,-0.010211816005254335,0.013734573787195673,0.0009680218181474066,0.0017281893115472535,0.001366538408042279,0.00032259332401810177,-2.1263667757553883,0,0.36175819983509339,0.10399038589458032,0.22500000000000001,-0.12100961410541969,-2.126154313846941,-0.13629462529910957,-0.13923477808142162,-0.14212667208047036,-0.14496086244371045,-0.14775340364973671,-0.1221434792827531,-2.9586681346841428,3.0587056470129967,2,true,0.0095999999999999992,task_pid,false,-2.6513667757553883,2.8522103291041065,-0.016346751336576447,0,3.0587056470129967,2,false,133.21831711490731,133.21831711490731,0,1.0877348797463919,0,0,1.0877348797463919,0,false,0,0.16269993569072058,0,-2.6513667757553883,2.8522103291041065,0.013203299592664201,-0.055396924281231767,-0.016346751336576447,0,0,setpoint_issued,2.8522103291041065,0,0.022501253796753592,0.9999128377061729,0,-0.013202915980475533,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.6513667757553883,-0.028241800164906739,2.6515171843410856,2.6515171843410856,2.8522990845755607,0.01320329959271135,0.75649334230915921
8.0850000000000009,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.2168975327816272,0,3.1700953961233864,2.6963988049172678,0,0.018175052716998905,0.99670772460930601,0,0.081078429339367805,0,-0.11079962788240062,-0.010059754182948737,-0.0095374358986545869,-0.0087930456479922946,-0.01021015083098303,0.015625678697493265,0.00099589108868896963,0.0019566506517573121,0.0016050968924855133,0.00034236964699899976,-2.1121047909585342,0,0.36187089431838121,0.10479274182309295,0.22500000000000001,-0.12020725817690706,-2.139241565777052,-0.13709194390458693,-0.13988878413098083,-0.14262753863851907,-0.14529327434777647,-0.14790721079196137,-0.12207577351279053,-2.9741260911036673,3.0587056470129967,2,true,0.0095999999999999992,task_pid,false,-2.6371047909585341,2.8525814473863171,-0.016346751336576447,0,3.0587056470129967,2,false,133.18829852593143,133.18829852593143,0,1.0865199063810582,0,0,1.0865199063810582,0,false,0,0.16233504837239893,0,-2.6371047909585341,2.8525814473863171,0.012935033893766549,-0.051911710406697023,-0.016346751336576447,0,0,setpoint_issued,2.8525814473863171,0,0.022576640056313779,0.99991634361550685,0,-0.012934673192365229,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.6371047909585341,-0.028129105681618916,2.6372548085239891,2.6372548085239891,2.8526707869378916,0.01293503389385684,0.74112284997666822
8.0899999999999999,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.2033932230990976,0,3.1701875384431082,2.7053207643099437,0,0.018682611748094678,0.99672228204783542,0,0.080899273602140331,0,-0.11071673159094096,-0.010054726523651338,-0.0095271499322285031,-0.0087843923961967007,-0.010208400867087339,0.017534253641878095,0.0010140684127111078,0.0021529307567331912,0.001858260994984485,0.00035697458157523776,-2.0978409824559368,0,0.36198394012981649,0.10555224064316082,0.22500000000000001,-0.11944775935683918,-2.1523322169828449,-0.13788835449414988,-0.14054047646195217,-0.14312590067869288,-0.14562361161370174,-0.14805934162551465,-0.12201339971407116,-2.9895833015709274,3.0587056470129967,2,true,0.0095999999999999992,task_pid,false,-2.6228409824559367,2.8529399498346444,-0.016346751336576447,0,3.0587056470129967,2,false,133.15845697163834,133.15845697163834,0,1.0852237208414159,0,0,1.0852237208414159,0,false,0,0.16197555596755536,0,-2.6228409824559367,2.8529399498346444,0.012684154620628586,-0.048442322586438963,-0.016346751336576447,0,0,setpoint_issued,2.8529399498346444,0,0.022641822560156562,0.99991955718930969,0,-0.012683814502454911,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.6228409824559367,-0.028016059870183629,2.6229906059422081,2.6229906059422081,2.8530297947079606,0.012684154620712776,0.72674852645820354
8.0950000000000006,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1898443744366043,0,3.1702822018011223,2.7142144162820743,0,0.019183444713289293,0.9967365897176953,0,0.080722801722545659,0,-0.11062425282311622,-0.010049623649088376,-0.0095159654654077674,-0.0087744433709268394,-0.010206585928183829,0.019458153321140655,0.0010268294610835153,0.0023157562336259311,0.0021229857356344899,0.00036865124906356746,-2.0835754112434488,0,0.36209728702390043,0.10626896319315549,0.22500000000000001,-0.11873103680684452,-2.1654263179990836,-0.1386838993566499,-0.14118990187882993,-0.14362173927906965,-0.14595190177513304,-0.14820988697949741,-0.1219564121053963,-3.0050400593736599,3.0587056470129967,2,true,0.0095999999999999992,task_pid,false,-2.6085754112434487,2.8532866694690293,-0.016346751336576447,0,3.0587056470129967,2,false,133.12879838778676,133.12879838778676,0,1.0838465300782514,0,0,1.0838465300782514,0,false,0,0.16162145409641437,0,-2.6085754112434487,2.8532866694690293,0.012450582817203269,-0.044988742989980457,-0.016346751336576447,0,0,setpoint_issued,2.8532866694690293,0,0.022697121971800346,0.99992249249501142,0,-0.012450261144337831,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.6085754112434487,-0.027902712976099697,2.6087246381201972,2.6087246381201972,2.8533769427671958,0.012450582817268661,0.7133658479075965
8.0999999999999996,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1762511280713714,0,3.1703793523969459,2.7230798491739265,0,0.019677484672562733,0.99675064922676537,0,0.080549011576930132,0,-0.11052212535149436,-0.010044449311425736,-0.0095040643612385248,-0.0087631431922205009,-0.01020471694215302,0.021391922675855359,0.0010468711445361417,0.002436251366342478,0.0023993864130984746,0.00037875785417288506,-2.0693081341607891,0,0.36221088647812316,0.10694299391058237,0.22500000000000001,-0.11805700608941763,-2.1785238801594309,-0.13947870069317364,-0.1418371397464695,-0.14411499800424901,-0.14627817976672672,-0.14835893127128605,-0.12190486358348006,-3.0204966932248158,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.594308134160789,2.8536224346992283,-0.016346751336576447,0,2.5945411599160693,2,false,133.09932845681237,133.09932845681237,0,1.0823882744825137,0,0,1.0823882744825137,0,false,0,0.16127273825458685,0,-2.594308134160789,2.8536224346992283,0.012234239056073312,-0.041551129903277556,-0.016346751336576447,0,0,setpoint_issued,2.8536224346992283,0,0.022742894089552341,0.99992516263081532,0,-0.012233933861795641,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.594308134160789,-0.027789113521876962,2.5944569624110487,2.5944569624110487,2.8537130617934103,0.012234239056185193,0.7009702634735272
8.1050000000000004,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1626136248750476,0,3.1704789561063502,2.7319171662751538,0,0.020164666987896061,0.99676446215741366,0,0.080377901067651442,0,-0.11041031410913241,-0.010039134797594282,-0.0094916797803877035,-0.0087504331981405493,-0.010202799392115042,0.023331382463429404,0.0010829908833677421,0.0025096812482423409,0.0026862683831188603,0.00038820742255028421,-2.0550392039145731,0,0.36232469184379978,0.10757442096047454,0.22500000000000001,-0.11742557903952547,-2.1916249426152707,-0.14027285207860149,-0.14248227535475014,-0.14460565392152802,-0.14660247052038766,-0.14850655028508641,-0.12185880571714179,-3.0359535504927666,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.580039203914573,2.8539480722890631,-0.016346751336576447,0,2.5945411599160693,2,false,133.07005275993833,133.07005275993833,0,1.0808489825476366,0,0,1.0808489825476366,0,false,0,0.16092940399465311,0,-2.580039203914573,2.8539480722890631,0.012035042673648503,-0.038129892107182553,-0.016346751336576447,0,0,setpoint_issued,2.8539480722890631,0,0.022779553074350496,0.99992757974805302,0,-0.012034752145304929,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.580039203914573,-0.02767530815620034,2.5801876320178119,2.5801876320178119,2.8540389814017479,0.012035042673737733,0.68955715146501395
8.1099999999999994,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1489320051363143,0,3.1705809784802206,2.7407264821621675,0,0.020644927388159661,0.99677803007603527,0,0.080209468005577877,0,-0.11028879242077895,-0.010033601287794394,-0.0094790366542014011,-0.0087362712650336325,-0.010200834856998579,0.025275912196219545,0.0011342737396076166,0.0025405073706625545,0.0029794381802026133,0.00039763522113240776,-2.0407686690786027,0,0.36243865874249748,0.10816333605771167,0.22500000000000001,-0.11683666394228834,-2.2047295659929205,-0.14106636071933701,-0.14312537513834986,-0.14509374616143347,-0.14692478298108749,-0.14865281051289223,-0.12181828817913007,-3.0514109296851504,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.5657686690786026,2.8542644073210726,-0.016346751336576447,0,2.5945411599160693,2,false,133.04097686450905,133.04097686450905,0,1.0792289296409197,0,0,1.0792289296409197,0,false,0,0.16059144669034889,0,-2.5657686690786026,2.8542644073210726,0.01185291015790974,-0.034725707265159625,-0.016346751336576447,0,0,setpoint_issued,2.8542644073210726,0,0.022807578915599726,0.99992975508280058,0,-0.011852632621045812,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.5657686690786026,-0.027561341257502647,2.5659166959894266,2.5659166959894266,2.8543555301601629,0.011852910157950975,0.67912172699833284
8.1150000000000002,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1352064085747551,0,3.1706853847552252,2.7495079113710403,0,0.021118204521473873,0.99679135453496603,0,0.080043710086093803,0,-0.11015753590252975,-0.010027777376356101,-0.0094663344270053233,-0.0087206370138553837,-0.010198822367007969,0.027225157677002343,0.0011988308790035463,0.0025343062551578407,0.0032744382004776442,0.0004074411693615469,-2.0264965741122629,0,0.36255274525507686,0.10870983446249216,0.22500000000000001,-0.11629016553750784,-2.2178378141467547,-0.14185922733244202,-0.14376651075299976,-0.14557932647836289,-0.14724512384585134,-0.14879777482868678,-0.12178335828768783,-3.0668691356727846,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.5514965741122628,2.8545722603843631,-0.016346751336576447,0,2.5945411599160693,2,false,133.01210620638176,133.01210620638176,0,1.0775283909387152,0,0,1.0775283909387152,0,false,0,0.1602588614883857,0,-2.5514965741122628,2.8545722603843631,0.011687754349809705,-0.031339344195496617,-0.016346751336576447,0,0,setpoint_issued,2.8545722603843631,0,0.022827472410700073,0.99993169897664691,0,-0.011687488253403771,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.5514965741122628,-0.027447254744923266,2.5516441992369638,2.5516441992369638,2.8546635324066747,0.011687754349935383,0.66965899623696645
8.120000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1214369743374699,0,3.1707921398686612,2.7582615683336207,0,0.021584440000519851,0.99680443707212796,0,0.079880624893131677,0,-0.11001652152205044,-0.010021602766586563,-0.0094537427134573308,-0.008703532774132907,-0.010196759369149766,0.02917892076505995,0.0012741488155605127,0.0024973823803929387,0.0035666598854573487,0.00041786903338853827,-2.0122229593845278,0,0.362666911995911,0.10921401495294214,0.22500000000000001,-0.11578598504705787,-2.230949754004548,-0.14265144882138786,-0.14440575852159129,-0.14606245639044366,-0.14756349929403223,-0.14894150393153063,-0.12175406087797683,-3.0823284818415106,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.5372229593845277,2.8548724469596776,-0.016346751336576447,0,2.5945411599160693,2,false,132.9834460870469,132.9834460870469,0,1.0757476356785816,0,0,1.0757476356785816,0,false,0,0.15993164331650772,0,-2.5372229593845277,2.8548724469596776,0.01153948411504999,-0.027971617737425323,-0.016346751336576447,0,0,setpoint_issued,2.8548724469596776,0,0.022839744685039964,0.99993342089198767,0,-0.011539228017726819,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.5372229593845277,-0.027333088004089123,2.5373701825566997,2.5373701825566997,2.8549638075371138,0.011539484115134451,0.66116373755545943
8.125,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.1076238410000023,0,3.1709012084733015,2.7669875672172535,0,0.022043578414074241,0.99681727921062502,0,0.079720209903927072,0,-0.10986572699447798,-0.010015030771434499,-0.0094413984349260207,-0.0086849840545653312,-0.010194642373058055,0.031137088971464982,0.001357338496814619,0.002436456061700276,0.0038514616237643674,0.00042905655000275919,-1.9979478612008521,0,0.3627811221435806,0.10967597979915022,0.22500000000000001,-0.11532402020084978,-2.2440654552609929,-0.14344301998950229,-0.14504319841619293,-0.14654320503191062,-0.14787991661854669,-0.14908405745815864,-0.12173043824790371,-3.0977892910232074,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.5229478612008522,2.8551657768917695,-0.016346751336576447,0,2.5945411599160693,2,false,132.95500167230699,132.95500167230699,0,1.0738869246323395,0,0,1.0738869246323395,0,false,0,0.15960978689299826,0,-2.5229478612008522,2.8551657768917695,0.011408004204226852,-0.024623353818184472,-0.016346751336576447,0,0,setpoint_issued,2.8551657768917695,0,0.022844909070739904,0.99993492942574602,0,-0.011407756761358528,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.5229478612008522,-0.027218877856419521,2.5230946826565424,2.5230946826565424,2.8552571693990076,0.011408004204314561,0.65363049357472325
8.1300000000000008,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0937671465680339,0,3.1710125549523029,2.7756860217777848,0,0.02249556733687318,0.99682988245828563,0,0.0795624624945694,0,-0.10970513052536777,-0.010008029581108963,-0.0094294045218901255,-0.0086650393774790318,-0.01019246739572973,0.033099567786900125,0.001445376956276647,0.0023583528118158647,0.0041243021841290643,0.00044106724423295343,-1.9836713118325353,0,0.36289534143451363,0.11009583473549855,0.22500000000000001,-0.11490416526450145,-2.2571849900955145,-0.14423393521633884,-0.14567891301902255,-0.14702164717413682,-0.14819438583094791,-0.14922549490182083,-0.12171253016668558,-3.1132518964044671,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.5086713118325354,2.8554530539247982,-0.016346751336576447,0,2.5945411599160693,2,false,132.92677799104479,132.92677799104479,0,1.0719465079794057,0,0,1.0719465079794057,0,false,0,0.1592932867377824,0,-2.5086713118325354,2.8554530539247982,0.011293215271782984,-0.021295360575549118,-0.016346751336576447,0,0,setpoint_issued,2.8554530539247982,0,0.022843474353631536,0.99993623232214324,0,-0.011292975223391342,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.5086713118325354,-0.027104658565486495,2.5088177321853267,2.5088177321853267,2.8555444257599989,0.011293215271812033,0.64705357220751636
8.1349999999999998,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0798670284797622,0,3.1711261434341527,2.7843570452372837,0,0.02294035733514627,0.99684224830716572,0,0.079407379946162607,0,-0.1095347108766503,-0.010000582369472261,-0.0094178301246732338,-0.0086437694412913185,-0.010190230277288171,0.035066219741768184,0.0015353281822091962,0.0022697134288161822,0.0043808739009960152,0.00045391112664935023,-1.9693933395482499,0,0.36300953812568137,0.11047368893151233,0.22500000000000001,-0.11452631106848768,-2.270308432932493,-0.1450241899944559,-0.14631298650144564,-0.14749786144405949,-0.14850692116287786,-0.14936587638022261,-0.12170037393692494,-3.1287166423524795,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.49439333954825,2.8557350753023778,-0.016346751336576447,0,2.5945411599160693,2,false,132.8987799342014,132.8987799342014,0,1.0699266237567442,0,0,1.0699266237567442,0,false,0,0.15898213718475243,0,-2.49439333954825,2.8557350753023778,0.011195014027023708,-0.01798840425844888,-0.016346751336576447,0,0,setpoint_issued,2.8557350753023778,0,0.022835939107080039,0.99993733648492988,0,-0.011194780186403406,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.49439333954825,-0.02699046187431875,2.4945393597646159,2.4945393597646159,2.8558263778505828,0.011195014027122892,0.64142705534389699
8.1400000000000006,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.065923623608807,0,3.171241937807626,2.7930007501950902,0,0.023377901965583075,0.99685437823303091,0,0.079254959451359769,0,-0.10935444771385067,-0.0099926863700756461,-0.0094067121910650763,-0.0086212656412142982,-0.010187926911459097,0.037036813276393694,0.0016245329371516618,0.0021767391690237139,0.0046172247090101844,0.00046755867639011414,-1.9551139686474119,0,0.36312368293134706,0.11080965496139505,0.22500000000000001,-0.11419034503860495,-2.2834358602573785,-0.14581378224515582,-0.14694550365090284,-0.14797192877400142,-0.14881754240486295,-0.14950526327463581,-0.12169400450257227,-3.1441838851095096,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.4801139686474118,2.8560126314349592,-0.016346751336576447,0,2.5945411599160693,2,false,132.87101225406508,132.87101225406508,0,1.0678274970028658,0,0,1.0678274970028658,0,false,0,0.15867633239484236,0,-2.4801139686474118,2.8560126314349592,0.011113293495136942,-0.014703189249569888,-0.016346751336576447,0,0,setpoint_issued,2.8560126314349592,0,0.022822786970824075,0.99993824798940689,0,-0.011113064738122633,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4801139686474118,-0.026876317068653066,2.480259590022623,2.480259590022623,2.8561038199829425,0.011113293495213379,0.63674481376591774
8.1449999999999996,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0519370682674665,0,3.1713599017367167,2.8016172485778119,0,0.023808157766082933,0.99686627369484004,0,0.0791051981210045,0,-0.10916432217979213,-0.0099843510963347707,-0.0093960582087317616,-0.0085976380234107207,-0.010185553417082355,0.039010983556057664,0.0017107603342455624,0.0020849819797323175,0.0048298617757162182,0.00048195078431874833,-1.9408332194950266,0,0.36323774893843935,0.11110384877243984,0.22500000000000001,-0.11389615122756017,-2.2965673504973263,-0.14660271335392239,-0.14757654896836425,-0.14844393111277379,-0.14912627604009854,-0.14964371875125562,-0.12169345459583407,-3.1596539933195751,2.5945411599160693,2,true,0.0080000000000000002,task_pid,false,-2.4658332194950265,2.8562865056366551,-0.016346751336576447,0,2.5945411599160693,2,false,132.84347956394626,132.84347956394626,0,1.0656493396556836,0,0,1.0656493396556836,0,false,0,0.15837586636931608,0,-2.4658332194950265,2.8562865056366551,0.011047943368525014,-0.011440341878227057,-0.016346751336576447,0,0,setpoint_issued,2.8562865056366551,0,0.022804482805009883,0.99993897209440596,0,-0.011047718623328978,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4658332194950265,-0.026762251061560771,2.4659784436298482,2.4659784436298482,2.8563775392475792,0.01104794336864086,0.63300052732266665
8.1500000000000004,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0379074982099676,0,3.1714799986755349,2.8102066518478792,0,0.024231084283595352,0.99687793613426579,0,0.078958092990433396,0,-0.10896431754716848,-0.0099755964223437344,-0.0093858477630811184,-0.0085730168173377072,-0.010183102997808747,0.040988338348225392,0.0017915100637163569,0.0020025213031214686,0.0050094187598591034,0.00050220094577626986,-1.9265511085616054,0,0.363351711286232,0.11135638964836225,0.22500000000000001,-0.11364361035163775,-2.3097029843256269,-0.14739098550406368,-0.14820621665933165,-0.14891390932658011,-0.14943314363714272,-0.14978135634302461,-0.12169875508470041,-3.1751273508804703,2.1318486112661441,2,true,0.0063,task_pid,false,-2.4515511085616053,2.8565574680654966,-0.016346751336576447,0,2.1318486112661441,2,false,132.81618633616057,132.81618633616057,0,1.0633923547170854,0,0,1.0633923547170854,0,false,0,0.15808073296237465,0,-2.4515511085616053,2.8565574680654966,0.010998851398078444,-0.0081989566803927771,-0.016346751336576447,0,0,setpoint_issued,2.8565574680654966,0,0.022781144327630704,0.99993951324374497,0,-0.010998629635569648,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4515511085616053,-0.02664828871376812,2.4516959373423548,2.4516959373423548,2.8566483068270125,0.010998851398166878,0.6301877646065267
8.1549999999999994,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0238350486309868,0,3.1716021918848072,2.8187690721008254,0,0.024646644749137789,0.996889366975656,0,0.07881364102028908,0,-0.10875441690452477,-0.0099664701419761876,-0.0093759468405528422,-0.0085477269409011663,-0.010180420878772358,0.042969213128918077,0.0018586117002014698,0.0019661422063322158,0.0050873463980466004,0.00058282906774208623,-1.9122676486313495,0,0.36346553795590864,0.11156739999963738,0.22500000000000001,-0.11343260000036262,-2.3228428464021511,-0.14817858221808208,-0.14883469301269239,-0.14938150338524059,-0.14973806965807729,-0.149918756342725,-0.12170994821972488,-3.1906043992386932,2.1318486112661441,2,true,0.0063,task_pid,false,-2.4372676486313494,2.8568262199990118,-0.016346751336576447,0,2.1318486112661441,2,false,132.7891368702532,132.7891368702532,0,1.0610567531283943,0,0,1.0610567531283943,0,false,0,0.15779092588274957,0,-2.4372676486313494,2.8568262199990118,0.010965944154014508,-0.0049641417817775316,-0.016346751336576447,0,0,setpoint_issued,2.8568262199990118,0,0.022749729359529538,0.99993987463692435,0,-0.010965724376008968,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4372676486313494,-0.026534462044091489,2.4374120843101101,2.4374120843101101,2.8569167998840594,0.010965944154078882,0.6283023184048776
8.1600000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-2.0097198541736434,0,3.171726444449674,2.8273046175355496,0,0.025054805491725406,0.99690056762508328,0,0.078671839108959737,0,-0.1085346060798715,-0.0099570390980929981,-0.0093661023984782672,-0.0085223310612785041,-0.010177157402846025,0.044951927303782918,0.0019143952291121005,0.0019783605775128689,0.0050537163853656766,0.00073360347658683672,-1.8979828489500947,0,0.3635791862276806,0.11173700522354868,0.22500000000000001,-0.11326299477645133,-2.33598701792222,-0.14896553886539726,-0.14946204764822457,-0.14984668711486179,-0.15004112655345289,-0.15005610021067398,-0.12172709649198729,-3.2060856148068178,2.1318486112661441,2,true,0.0063,task_pid,false,-2.4229828489500949,2.8570934920055597,-0.016346751336576447,0,2.1318486112661441,2,false,132.76233531900075,132.76233531900075,0,1.058642680004251,0,0,1.058642680004251,0,false,0,0.15750643871862186,0,-2.4229828489500949,2.8570934920055597,0.010949202649403328,-0.0017329106075263511,-0.016346751336576447,0,0,setpoint_issued,2.8570934920055597,0,0.022709880071570106,0.99994005807951858,0,-0.010948983876450885,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4229828489500949,-0.026420813772319529,2.4231268942642501,2.4231268942642501,2.8571837464036833,0.010949202649505147,0.6273431008501037
8.1650000000000009,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,-1.9955620489437831,0,3.171852719293514,2.8358133954409226,0,0.025455535495952523,0.99691153946898414,0,0.078532684110371218,0,-0.10830488152526781,-0.0099473454267157094,-0.0093560965877348915,-0.0084973559974413186,-0.010172980413971678,0.046934217115690943,0.0019647272920874821,0.0020287999077359645,0.0049213810324267807,0.0009468209157077489,-1.8836967150698944,0,0.36369261561643318,0.11186533387388864,0.22500000000000001,-0.11313466612611137,-2.3491355815404602,-0.14975190644607275,-0.1500883036592244,-0.15030957037655762,-0.15034244688954881,-0.15019341346012466,-0.12175026076746708,-3.2215714831394551,2.1318486112661441,2,true,0.0063,task_pid,false,-2.4086967150698944,2.8573600216331472,-0.016346751336576447,0,2.1318486112661441,2,false,132.73578570812407,132.73578570812407,0,1.0561502697607257,0,0,1.0561502697607257,0,false,0,0.15722726497327752,0,-2.4086967150698944,2.8573600216331472,0.010948604985929792,0.0014930956414715459,-0.016346751336576447,0,0,setpoint_issued,2.8573600216331472,0,0.022662281698495362,0.99994006462314755,0,-0.010948386248800486,0.52500000000000002,0,0.39000000000000012,1,0,0,-2.4086967150698944,-0.026307384383566945,2.4088403732214396,2.4088403732214396,2.8574498897162068,0.010948604986047434,0.6273088572564075
