index,position_error_weight,velocity_error_weight,joint_angle_weight,joint_velocity_weight,input_weight,Q_diagonal,R,K,closed_loop_eigenvalues,dare_success,spectral_radius,dare_residual_norm,safe_gate,approach_tip_improvement,score,approach_x_rmse,crosswind_x_rmse,approach_tip_rms,crosswind_tip_rms
1,20.0,4.0,20.0,3.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[0.5]],"[5.679948196453383,7.3298980478539235,-3.600358202333283e-15,-1.3303642117887126e-16,31.01503537550532,6.498237307208427,-6.6947895373309265,1.8442766839391203,4.06085140940188,3.2672550701769945,1.7382583997994947,3.559601421528814,2.8014047225116583,2.033973606369446,1.3154408812268585,0.6618249413283799]","[{""real"":0.20103376558984137,""imag"":0.0,""abs"":0.20103376558984137},{""real"":0.01657160006279931,""imag"":0.0,""abs"":0.01657160006279931},{""real"":0.007418611858382973,""imag"":0.0,""abs"":0.007418611858382973},{""real"":0.006183842012284018,""imag"":0.0,""abs"":0.006183842012284018},{""real"":0.7836362789697036,""imag"":0.2143262143529386,""abs"":0.812417099694698},{""real"":0.7836362789697036,""imag"":-0.2143262143529386,""abs"":0.812417099694698},{""real"":0.9819947012179175,""imag"":0.09028764512045333,""abs"":0.986136629520202},{""real"":0.9819947012179175,""imag"":-0.09028764512045333,""abs"":0.986136629520202},{""real"":0.8807456321241701,""imag"":0.0,""abs"":0.8807456321241701},{""real"":0.9189069657438503,""imag"":0.049096493918528585,""abs"":0.9202176250255489},{""real"":0.9189069657438503,""imag"":-0.049096493918528585,""abs"":0.9202176250255489},{""real"":0.931404162907798,""imag"":0.0,""abs"":0.931404162907798},{""real"":0.9745788666549108,""imag"":0.0,""abs"":0.9745788666549108},{""real"":0.9688501986048242,""imag"":0.0,""abs"":0.9688501986048242},{""real"":0.914670774383525,""imag"":0.0442880170384386,""abs"":0.9157423513000555},{""real"":0.914670774383525,""imag"":-0.0442880170384386,""abs"":0.9157423513000555}]",True,0.9861366295202021,1.7380677363653037e-11,False,True,1.1177304329543132,0.12295416160940996,0.11438593342904334,0.15183331444014708,0.04764741852975159
2,20.0,4.0,20.0,3.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[1.0]],"[4.0967288722735535,5.733731107698003,7.589810972620153e-15,-2.8928144016534127e-17,25.533043341378956,6.189338737012966,-7.281937243350542,1.1815783925245753,3.3553356987364547,2.7284539635607845,1.4544320003160862,3.6583434742270846,2.9011953531141104,2.1255333527220683,1.3871058580980773,0.7046732155540748]","[{""real"":0.20180172106341282,""imag"":0.0,""abs"":0.20180172106341282},{""real"":0.01656770315247305,""imag"":0.0,""abs"":0.01656770315247305},{""real"":0.00741787056554448,""imag"":0.0,""abs"":0.00741787056554448},{""real"":0.006183726331752685,""imag"":0.0,""abs"":0.006183726331752685},{""real"":0.7882361852349815,""imag"":0.21726716033957427,""abs"":0.8176315201090393},{""real"":0.7882361852349815,""imag"":-0.21726716033957427,""abs"":0.8176315201090393},{""real"":0.9827327597924065,""imag"":0.08751871104716388,""abs"":0.9866221171008466},{""real"":0.9827327597924065,""imag"":-0.08751871104716388,""abs"":0.9866221171008466},{""real"":0.8792599882180738,""imag"":0.0,""abs"":0.8792599882180738},{""real"":0.9300596154029285,""imag"":0.04505648592502518,""abs"":0.9311503504415145},{""real"":0.9300596154029285,""imag"":-0.04505648592502518,""abs"":0.9311503504415145},{""real"":0.9318388497837362,""imag"":0.0,""abs"":0.9318388497837362},{""real"":0.9745807968639351,""imag"":0.0,""abs"":0.9745807968639351},{""real"":0.9688502093920307,""imag"":0.0,""abs"":0.9688502093920307},{""real"":0.9146707743835242,""imag"":0.044288017038438494,""abs"":0.9157423513000548},{""real"":0.9146707743835242,""imag"":-0.044288017038438494,""abs"":0.9157423513000548}]",True,0.9866221171008466,3.785575192560231e-11,False,True,1.124723032290425,0.13938456529558876,0.13535312426897567,0.13971625725774572,0.047625072810021526
3,20.0,4.0,20.0,12.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0]",[[0.5]],"[5.497999266965675,7.297639310485044,-2.923436351681739e-14,-4.773899919966559e-15,32.308004336579195,7.378839641935017,-7.378052743353723,1.1281216131005434,3.389018219242363,2.748543451000104,1.4558669627426357,3.8584083863679735,2.9776009394432625,2.124398058675467,1.3557577902910651,0.6741004110031255]","[{""real"":0.19713413707428667,""imag"":0.0,""abs"":0.19713413707428667},{""real"":0.016596464003877626,""imag"":0.0,""abs"":0.016596464003877626},{""real"":0.007423129864705684,""imag"":0.0,""abs"":0.007423129864705684},{""real"":0.006184543359992582,""imag"":0.0,""abs"":0.006184543359992582},{""real"":0.7661762693990963,""imag"":0.20041568801108456,""abs"":0.7919548748453241},{""real"":0.7661762693990963,""imag"":-0.20041568801108456,""abs"":0.7919548748453241},{""real"":0.9813793814834826,""imag"":0.08896753543688256,""abs"":0.985403832325923},{""real"":0.9813793814834826,""imag"":-0.08896753543688256,""abs"":0.985403832325923},{""real"":0.8832527348382504,""imag"":0.0,""abs"":0.8832527348382504},{""real"":0.919770617176749,""imag"":0.04935827365918158,""abs"":0.9210940383046199},{""real"":0.919770617176749,""imag"":-0.04935827365918158,""abs"":0.9210940383046199},{""real"":0.9314139742302137,""imag"":0.0,""abs"":0.9314139742302137},{""real"":0.9745788671911569,""imag"":0.0,""abs"":0.9745788671911569},{""real"":0.9688501986159134,""imag"":0.0,""abs"":0.9688501986159134},{""real"":0.9146707743835252,""imag"":0.0442880170384381,""abs"":0.9157423513000557},{""real"":0.9146707743835252,""imag"":-0.0442880170384381,""abs"":0.9157423513000557}]",True,0.985403832325923,2.2623054642542956e-11,False,True,1.1165015833847565,0.131743111078983,0.12293754767407605,0.14751160614395017,0.047640220948426175
4,20.0,4.0,20.0,12.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0]",[[1.0]],"[4.024584001920271,5.724304998691066,-2.502281469299593e-14,-4.1132411676375016e-15,26.177789480573146,6.668726880447404,-7.697790374078475,0.75553257242256,2.975335865735854,2.4420100776739617,1.2989578038241847,3.8053137248416693,2.9818761245901726,2.1612363607752973,1.3986036576140883,0.705131730879186]","[{""real"":0.19983910783232933,""imag"":0.0,""abs"":0.19983910783232933},{""real"":0.016580082344557347,""imag"":0.0,""abs"":0.016580082344557347},{""real"":0.007420127477222656,""imag"":0.0,""abs"":0.007420127477222656},{""real"":0.006184077866615528,""imag"":0.0,""abs"":0.006184077866615528},{""real"":0.7784251337753882,""imag"":0.21003415243368628,""abs"":0.8062630055272089},{""real"":0.7784251337753882,""imag"":-0.21003415243368628,""abs"":0.8062630055272089},{""real"":0.982294832660727,""imag"":0.08670594736560275,""abs"":0.9861141209720772},{""real"":0.982294832660727,""imag"":-0.08670594736560275,""abs"":0.9861141209720772},{""real"":0.880651910099003,""imag"":0.0,""abs"":0.880651910099003},{""real"":0.9303255600347761,""imag"":0.04508358410536642,""abs"":0.9314172948844173},{""real"":0.9303255600347761,""imag"":-0.04508358410536642,""abs"":0.9314172948844173},{""real"":0.9318472755400969,""imag"":0.0,""abs"":0.9318472755400969},{""real"":0.9745807973988314,""imag"":0.0,""abs"":0.9745807973988314},{""real"":0.9688502094030637,""imag"":0.0,""abs"":0.9688502094030637},{""real"":0.9146707743835243,""imag"":0.044288017038438356,""abs"":0.9157423513000549},{""real"":0.9146707743835243,""imag"":-0.044288017038438356,""abs"":0.9157423513000549}]",True,0.9861141209720771,6.21843791326116e-11,False,True,1.1291935906350181,0.14517488573330137,0.14103395234182575,0.13817151619234208,0.0476108084754001
5,20.0,4.0,80.0,3.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,80.0,80.0,80.0,80.0,80.0,3.0,3.0,3.0,3.0,3.0]",[[0.5]],"[5.64475341768373,7.467869999745508,-3.990718704955103e-14,-2.9656550725735998e-15,33.11295713410107,7.3713697915821035,-6.5477061930319245,1.933590485025358,4.150531902804243,3.362180429480221,1.7934137960015548,4.225463021171147,3.3231611585842327,2.416744934588547,1.5671245283851551,0.7908484046652797]","[{""real"":0.20107338073003697,""imag"":0.0,""abs"":0.20107338073003697},{""real"":0.01657155351007193,""imag"":0.0,""abs"":0.01657155351007193},{""real"":0.007418601574709745,""imag"":0.0,""abs"":0.007418601574709745},{""real"":0.006183840359834022,""imag"":0.0,""abs"":0.006183840359834022},{""real"":0.7809237116496524,""imag"":0.21648620315856432,""abs"":0.8103752955110863},{""real"":0.7809237116496524,""imag"":-0.21648620315856432,""abs"":0.8103752955110863},{""real"":0.9802192197877377,""imag"":0.08819627388417725,""abs"":0.9841789987437926},{""real"":0.9802192197877377,""imag"":-0.08819627388417725,""abs"":0.9841789987437926},{""real"":0.8778369223907877,""imag"":0.0,""abs"":0.8778369223907877},{""real"":0.918864673155776,""imag"":0.0475062714466722,""abs"":0.9200919157347466},{""real"":0.918864673155776,""imag"":-0.0475062714466722,""abs"":0.9200919157347466},{""real"":0.9313711564957655,""imag"":0.0,""abs"":0.9313711564957655},{""real"":0.9745788582547745,""imag"":0.0,""abs"":0.9745788582547745},{""real"":0.9688501985434174,""imag"":0.0,""abs"":0.9688501985434174},{""real"":0.914670774383525,""imag"":0.044288017038439174,""abs"":0.9157423513000555},{""real"":0.914670774383525,""imag"":-0.044288017038439174,""abs"":0.9157423513000555}]",True,0.9841789987437926,1.302593181125852e-10,False,True,1.119775199300985,0.1316776845528685,0.12110894580608397,0.1451311914239248,0.04730064157333583
6,20.0,4.0,80.0,3.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,80.0,80.0,80.0,80.0,80.0,3.0,3.0,3.0,3.0,3.0]",[[1.0]],"[4.081265594511445,5.803500466006838,-3.245785824139671e-14,-6.183360773653324e-16,26.664758858530238,6.723950066356826,-7.275445198608798,1.1605723737734148,3.3624458899406093,2.7597338676862835,1.4750544295595156,4.064889020722502,3.219188624290144,2.358568769859421,1.5401977811874232,0.7830706275859372]","[{""real"":0.2018216490495313,""imag"":0.0,""abs"":0.2018216490495313},{""real"":0.01656767992908798,""imag"":0.0,""abs"":0.01656767992908798},{""real"":0.007417865426740571,""imag"":0.0,""abs"":0.007417865426740571},{""real"":0.006183725504881494,""imag"":0.0,""abs"":0.006183725504881494},{""real"":0.786771307426555,""imag"":0.2184235193530119,""abs"":0.8165279689001756},{""real"":0.786771307426555,""imag"":-0.2184235193530119,""abs"":0.8165279689001756},{""real"":0.981432813009247,""imag"":0.08617970925115961,""abs"":0.9852092715448114},{""real"":0.981432813009247,""imag"":-0.08617970925115961,""abs"":0.9852092715448114},{""real"":0.8777588990691246,""imag"":0.0,""abs"":0.8777588990691246},{""real"":0.9299240418578951,""imag"":0.04445510792532462,""abs"":0.9309860258059605},{""real"":0.9299240418578951,""imag"":-0.04445510792532462,""abs"":0.9309860258059605},{""real"":0.9318100081207742,""imag"":0.0,""abs"":0.9318100081207742},{""real"":0.9745807884798967,""imag"":0.0,""abs"":0.9745807884798967},{""real"":0.9688502093308001,""imag"":0.0,""abs"":0.9688502093308001},{""real"":0.9146707743835251,""imag"":0.04428801703843783,""abs"":0.9157423513000555},{""real"":0.9146707743835251,""imag"":-0.04428801703843783,""abs"":0.9157423513000555}]",True,0.9852092715448113,7.642887265033758e-11,False,True,1.1315096748262865,0.1459121688717189,0.14030992971401568,0.1369046009483282,0.04737757837857799
7,20.0,4.0,80.0,12.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,80.0,80.0,80.0,80.0,80.0,12.0,12.0,12.0,12.0,12.0]",[[0.5]],"[5.469775057835417,7.411225540051104,-3.270316361547078e-14,-5.702453790321159e-15,34.079069162704194,8.151269071830823,-7.30911667043159,1.1481100439857144,3.4205945880449415,2.80037351429853,1.4882641601911946,4.457849482925087,3.448844436661614,2.4713558521220875,1.584667541845156,0.791858171160085]","[{""real"":0.19717239303184847,""imag"":0.0,""abs"":0.19717239303184847},{""real"":0.016596416806595928,""imag"":0.0,""abs"":0.016596416806595928},{""real"":0.007423119547216222,""imag"":0.0,""abs"":0.007423119547216222},{""real"":0.006184541715832014,""imag"":0.0,""abs"":0.006184541715832014},{""real"":0.7641872000784002,""imag"":0.2023733550479154,""abs"":0.7905296019739011},{""real"":0.7641872000784002,""imag"":-0.2023733550479154,""abs"":0.7905296019739011},{""real"":0.9799196416288599,""imag"":0.08713783650421683,""abs"":0.9837863114521714},{""real"":0.9799196416288599,""imag"":-0.08713783650421683,""abs"":0.9837863114521714},{""real"":0.8805506101436041,""imag"":0.0,""abs"":0.8805506101436041},{""real"":0.9196212629328779,""imag"":0.047863148729051896,""abs"":0.9208659773520361},{""real"":0.9196212629328779,""imag"":-0.047863148729051896,""abs"":0.9208659773520361},{""real"":0.9313808660660854,""imag"":0.0,""abs"":0.9313808660660854},{""real"":0.9745788587910179,""imag"":0.0,""abs"":0.9745788587910179},{""real"":0.9688501985545068,""imag"":0.0,""abs"":0.9688501985545068},{""real"":0.9146707743835247,""imag"":0.04428801703843878,""abs"":0.9157423513000552},{""real"":0.9146707743835247,""imag"":-0.04428801703843878,""abs"":0.9157423513000552}]",True,0.9837863114521714,3.31529354888454e-11,False,True,1.1207395939332112,0.1393885982410072,0.12881738447433308,0.1425715072849899,0.047350338062125415
8,20.0,4.0,80.0,12.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,80.0,80.0,80.0,80.0,80.0,12.0,12.0,12.0,12.0,12.0]",[[1.0]],"[4.0110314723705365,5.7860528907969755,-2.399554653011005e-14,-3.8241992238303814e-15,27.19516885617874,7.1622005464022385,-7.716637085359769,0.7120235041492131,2.961865980782586,2.457110123782136,1.3109108550625659,4.184222853209096,3.2788042455198285,2.3792784894763437,1.5421238073053103,0.7787761052163418]","[{""real"":0.19985869650748955,""imag"":0.0,""abs"":0.19985869650748955},{""real"":0.016580058961274503,""imag"":0.0,""abs"":0.016580058961274503},{""real"":0.007420122329962065,""imag"":0.0,""abs"":0.007420122329962065},{""real"":0.00618407704182169,""imag"":0.0,""abs"":0.00618407704182169},{""real"":0.777192250016566,""imag"":0.21112564488578,""abs"":0.8053582006872774},{""real"":0.777192250016566,""imag"":-0.21112564488578,""abs"":0.8053582006872774},{""real"":0.9811508409815068,""imag"":0.08547100882977235,""abs"":0.9848666235125938},{""real"":0.9811508409815068,""imag"":-0.08547100882977235,""abs"":0.9848666235125938},{""real"":0.8791921090346487,""imag"":0.0,""abs"":0.8791921090346487},{""real"":0.9301790309562643,""imag"":0.04450031917516797,""abs"":0.9312428834828359},{""real"":0.9301790309562643,""imag"":-0.04450031917516797,""abs"":0.9312428834828359},{""real"":0.931818367335562,""imag"":0.0,""abs"":0.931818367335562},{""real"":0.9745807890147902,""imag"":0.0,""abs"":0.9745807890147902},{""real"":0.9688502093418322,""imag"":0.0,""abs"":0.9688502093418322},{""real"":0.914670774383525,""imag"":0.044288017038438356,""abs"":0.9157423513000555},{""real"":0.914670774383525,""imag"":-0.044288017038438356,""abs"":0.9157423513000555}]",True,0.9848666235125938,3.118380848262494e-11,False,True,1.1361172960785075,0.15115993622426518,0.14558544073106494,0.13586593688992799,0.04739002697898015
9,20.0,8.0,20.0,3.0,0.5,"[20.0,8.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[0.5]],"[5.66112033114094,7.837261411811559,-2.3248194878032463e-16,5.506517506110036e-16,32.301708034974595,6.40583527356382,-6.645787383911053,1.9149629768778191,4.160822982379739,3.3524062157596295,1.7841455539738462,3.4061775356915254,2.6775753625009364,1.9396841651305454,1.2510952306813816,0.6274946797896849]","[{""real"":0.20103629478365606,""imag"":0.0,""abs"":0.20103629478365606},{""real"":0.016571608969808214,""imag"":0.0,""abs"":0.016571608969808214},{""real"":0.007418612378393375,""imag"":0.0,""abs"":0.007418612378393375},{""real"":0.0061838421040212406,""imag"":0.0,""abs"":0.0061838421040212406},{""real"":0.7841732469115399,""imag"":0.21546572034128722,""abs"":0.8132362250994336},{""real"":0.7841732469115399,""imag"":-0.21546572034128722,""abs"":0.8132362250994336},{""real"":0.9819397021309202,""imag"":0.09205880206057518,""abs"":0.9862456091956954},{""real"":0.9819397021309202,""imag"":-0.09205880206057518,""abs"":0.9862456091956954},{""real"":0.9040595162237903,""imag"":0.037335016856078936,""abs"":0.9048301013772904},{""real"":0.9040595162237903,""imag"":-0.037335016856078936,""abs"":0.9048301013772904},{""real"":0.9022268766434697,""imag"":0.0,""abs"":0.9022268766434697},{""real"":0.9320921705609332,""imag"":0.0,""abs"":0.9320921705609332},{""real"":0.9745789813401682,""imag"":0.0,""abs"":0.9745789813401682},{""real"":0.9688501996376045,""imag"":0.0,""abs"":0.9688501996376045},{""real"":0.9146707743835247,""imag"":0.044288017038439105,""abs"":0.9157423513000552},{""real"":0.9146707743835247,""imag"":-0.044288017038439105,""abs"":0.9157423513000552}]",True,0.9862456091956955,3.5013948121667704e-11,False,True,1.1295550475841811,0.12143378683638151,0.11683040785463017,0.15532459445373356,0.047249396651908276
10,20.0,8.0,20.0,3.0,1.0,"[20.0,8.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[1.0]],"[4.0858974039217655,6.089044544072408,6.365580305956642e-15,-3.036538470588598e-16,26.68267622563873,6.177266751719181,-7.1178793165268095,1.3572552661913853,3.5353331835909656,2.8661859793245905,1.5274488695284856,3.590782380348256,2.845977335995657,2.0828298300514683,1.3574845495706285,0.6885898804384825]","[{""real"":0.2018030036998367,""imag"":0.0,""abs"":0.2018030036998367},{""real"":0.016567707600279123,""imag"":0.0,""abs"":0.016567707600279123},{""real"":0.007417870825567978,""imag"":0.0,""abs"":0.007417870825567978},{""real"":0.0061837263776769015,""imag"":0.0,""abs"":0.0061837263776769015},{""real"":0.7884904816665724,""imag"":0.21787918983819365,""abs"":0.8180394740129177},{""real"":0.7884904816665724,""imag"":-0.21787918983819365,""abs"":0.8180394740129177},{""real"":0.9823934765020679,""imag"":0.08914175257810183,""abs"":0.9864295183775242},{""real"":0.9823934765020679,""imag"":-0.08914175257810183,""abs"":0.9864295183775242},{""real"":0.8868857264911063,""imag"":0.0,""abs"":0.8868857264911063},{""real"":0.9233291315790908,""imag"":0.03593635096141902,""abs"":0.924028195751093},{""real"":0.9233291315790908,""imag"":-0.03593635096141902,""abs"":0.924028195751093},{""real"":0.9325956980793262,""imag"":0.0,""abs"":0.9325956980793262},{""real"":0.9745810251510577,""imag"":0.0,""abs"":0.9745810251510577},{""real"":0.9688502114339392,""imag"":0.0,""abs"":0.9688502114339392},{""real"":0.9146707743835248,""imag"":0.0442880170384392,""abs"":0.9157423513000554},{""real"":0.9146707743835248,""imag"":-0.0442880170384392,""abs"":0.9157423513000554}]",True,0.9864295183775242,8.71522845620248e-11,False,True,1.1305001521531826,0.13809793195500625,0.13820234233368303,0.14103968368294445,0.047208267922784666
