candidate_id,k_b,tau_s,usable,score,calm_position,calm_orientation,calm_acquired,calm_acquisition,crosswind_position,crosswind_orientation,crosswind_acquired,crosswind_acquisition,final_bias_calm,final_bias_crosswind,safety
ae_001,0.1,0.25,False,,0.10481179172463084,0.6971394536932831,True,2.475,0.18887825662133279,1.013358340024284,False,,0.00794859698763547,-0.12330431101987172,True
ae_002,0.1,0.5,False,,0.1048216529023862,0.7008803865800729,True,2.47,0.1905928823324236,1.0151905049250487,False,,0.008314141835125247,-0.12066016053770154,True
ae_003,0.1,1.0,False,,0.10483157206234192,0.7056326804190155,True,2.465,0.19336016545441947,1.0186753475695929,False,,0.009353032859217672,-0.11316691141168622,True
ae_004,0.25,0.25,False,,0.10661244263592438,0.6750699368366363,True,2.5100000000000002,0.17342385100801752,1.0038656496071288,False,,-0.001244562338347755,-0.25251209972460653,True
ae_005,0.25,0.5,False,,0.1067261754349393,0.6838283405960838,True,2.49,0.17647791811511274,1.0084223938349002,False,,-0.002784421990791546,-0.25863254765962873,True
ae_006,0.25,1.0,False,,0.10687118827191326,0.6948266183141008,True,2.475,0.1814894546714129,1.0171833855525731,False,,-0.0033933469745922418,-0.25860748402423783,True
ae_007,0.5,0.25,False,,0.11198625428960357,0.6492781501670285,True,6.16,0.17200935370061526,0.9928596348660517,True,7.08,0.007062337609292891,-0.3281942277812375,True
ae_008,0.5,0.5,False,,0.11255471990797548,0.6636912147334523,True,6.545,0.17331447995234814,0.9979191429516748,True,7.215,-0.005380099108409068,-0.36271371215360265,True
ae_009,0.5,1.0,False,,0.11220116987961476,0.6810470653425343,True,2.5,0.17511364863743056,1.0150584932639488,True,7.470000000000001,-0.0386977560820557,-0.39997337616033807,True
ae_010,1.0,0.25,False,,0.12417413785675849,0.686286875209499,False,,0.17740057851219823,0.9935100564965345,True,7.165000000000001,0.10078027232709966,-0.33961981948213366,True
ae_011,1.0,0.5,False,,0.13182670023190524,0.6930059275033139,False,,0.1839334391125582,0.9885135434129202,True,7.4399999999999995,0.15170059895774904,-0.38246537938729724,True
ae_012,1.0,1.0,False,,0.1434990664378958,0.7001153120724725,True,6.915,0.18769528814236647,0.9927554564580092,True,7.665000000000001,0.026708763357831025,-0.4,True
