time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,reference_event,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad,task_position_error_x,task_velocity_error_x,theta_cutter_signed_rad,omega_cutter_y,task_pid_integral_x,task_lqr_feedback_ax,task_lqr_state_norm,tip_velocity_world_x,tip_velocity_world_y,tip_velocity_world_z,cutter_axis_world_x,cutter_axis_world_y,cutter_axis_world_z,task_reference_tip_x,task_reference_tip_y,task_reference_tip_z,task_reference_axis_x,task_reference_axis_y,task_reference_axis_z,tip_task_x_error_m,tip_task_z_error_m,task_position_error_xz_m,position_error_3d_m,tip_speed_m_s,orientation_error_rad,orientation_error_deg,task_integral_eta,residual_v,qp_status,qp_status_val,qp_predicted_first_action,qp_first_action_mismatch,qp_failures
0,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,0,0,3.2000000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22500000000000001,0,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,0,0,0,0,0,0,0,0,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,0,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,0,-1.923899387802745e-14,0,0,-1.923899387802745e-14,0,false,0,-0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,0,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.0050000000000000001,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-4.3105092564851276e-21,-2.3255674649912294e-24,3.2000000000000002,-1.7702035343264293e-18,-2.2110675770825501e-21,-1.0733273954080063e-17,1,1.0517717857208463e-19,0,0,9.6932028187958879e-20,1.8778738776995758e-19,1.0085508264352131e-20,-5.1378340132032351e-20,-1.918516645307753e-20,3.7331779223750455e-17,7.4355759644880435e-17,5.7852227124497802e-18,-1.9812331572251108e-17,-7.7240446163272091e-18,0.22500000000000001,5.9109341800765062e-19,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,7.0017617634931181e-37,-1.6342634452078394e-35,-2.1654568953984057e-35,-6.4944726349996183e-36,-8.4412579175929727e-37,-4.9404044896494315e-38,2.4551797142244399e-39,-4.4682574521654325e-35,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,-4.1282875356982291e-19,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-2.2120298000481893e-18,-1.8657759979708502e-14,2.619098244147737e-33,-2.2120298000481893e-18,-1.8657759979708502e-14,2.619098244147737e-33,false,2.1035435714416927e-19,-0,0,0,-4.1282875356982291e-19,2.2424141763715867e-19,6.4141899136309225e-18,0,0,0,-4.1282875356982291e-19,-2.2110675770825508e-21,-1.2176466684647022e-17,1,4.7170159252161695e-38,-2.2424141763715867e-19,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6653450270320864e-16,1.2183463111566952e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.01,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-1.7980998894367172e-20,-4.821368112336918e-23,3.2000000000000002,-3.7295685401794166e-18,-1.9824730966859937e-20,-2.1466547908160126e-17,1,4.116109198616566e-19,0,0,3.5845326718535269e-19,7.2993800539466584e-19,7.1930977923457889e-20,-1.88832986931851e-19,-7.6370209494151307e-20,6.6419109256207004e-17,1.4181483105735511e-16,1.997438749819283e-17,-3.4498237875254116e-17,-1.5077588198452293e-17,0.22500000000000001,2.3132051559413867e-18,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,3.1079792334430078e-36,-6.3194501389648967e-35,-9.1513782815508249e-35,-3.24929590850163e-35,-5.4122695512286541e-36,-4.0024979626377163e-37,1.2122923043122683e-38,-1.8989366048117982e-34,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,-9.1734345958655112e-19,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-8.677786061972932e-18,-1.8117329935689422e-14,1.0187464041007084e-32,-8.677786061972932e-18,-1.8117329935689422e-14,1.0187464041007084e-32,false,8.232218397233132e-19,-0,0,0,-9.1734345958655112e-19,8.9511905407747424e-19,1.7451546318015468e-17,0,0,0,-9.1734345958655112e-19,-2.1583553263176419e-20,-2.5393145829713607e-17,1,7.368815544690501e-37,-8.9511905407747424e-19,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6654951851407337e-16,2.5409719400294826e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.014999999999999999,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-4.1895964916705938e-20,-2.634691400568008e-22,3.2000000000000002,-5.8541197695748148e-18,-7.2515141949735443e-20,-3.219982186224018e-17,1,9.0634182828269511e-19,0,0,7.4988688535188886e-19,1.5931910668803614e-18,2.2050703691713744e-19,-3.8651089274119716e-19,-1.6806724049025973e-19,8.9449504076012935e-17,2.0253720627820162e-16,4.005869401764901e-17,-4.3856742478555686e-17,-2.1425894327439589e-17,0.22500000000000001,5.0933776058086895e-18,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,7.6574492917071224e-36,-1.3716950814570219e-34,-2.1431451683652353e-34,-8.7343875673966873e-35,-1.7479212353360932e-35,-1.5084076676291591e-36,3.0370261994630515e-38,-4.5012770112348089e-34,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,-1.451953018763251e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-1.9163343979261953e-17,-1.7611193609881082e-14,2.2305626286554069e-32,-1.9163343979261953e-17,-1.7611193609881082e-14,2.2305626286554069e-32,false,1.8126836565653902e-18,-0,0,0,-1.451953018763251e-18,2.009006855917931e-18,3.2850993682930232e-17,0,0,0,-1.451953018763251e-18,-8.0316979984583541e-20,-3.9591295440899488e-17,1,3.6416938936502531e-36,-2.009006855917931e-18,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6661132522914385e-16,3.9617992037388245e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.02,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-7.669854745331246e-20,-8.5752566406332384e-22,3.2000000000000002,-8.0854033871547979e-18,-1.737994996781947e-19,-4.2933095816320228e-17,1,1.5763772424201043e-18,0,0,1.2443795446578837e-18,2.7426728924995391e-18,4.7892566672071176e-19,-6.1845352127899675e-19,-2.8821273813715176e-19,1.0793809754930476e-16,2.5659753461353114e-16,6.3684453786242728e-17,-4.8331678850267759e-17,-2.6454384526327375e-17,0.22500000000000001,8.8583825767369244e-18,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,1.4607110238152712e-35,-2.3372289151172768e-34,-3.8917121521886404e-34,-1.7723431823977566e-34,-4.0681039349844311e-35,-3.9116739961998948e-36,5.4924577383696209e-38,-8.3005910350087502e-34,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,-1.9525926794525637e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-3.3417503305857248e-17,-1.7139194619597047e-14,3.8455196816282528e-32,-3.3417503305857248e-17,-1.7139194619597047e-14,3.8455196816282528e-32,false,3.1527544848402086e-18,-0,0,0,-1.9525926794525637e-18,3.5593118444619866e-18,5.1696899813041239e-17,0,0,0,-1.9525926794525637e-18,-1.9656052838948805e-19,-5.456489827425451e-17,1,1.1221636380572401e-35,-3.5593118444619866e-18,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6676888840863583e-16,5.4600177452943456e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.025000000000000001,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-1.2292021160928625e-19,-2.1150378603845943e-21,3.2000000000000002,-1.0404918380415634e-17,-3.3298628237139826e-19,-5.3666369770400276e-17,1,2.4113628646779657e-18,0,0,1.8232146062403912e-18,4.1487077387657554e-18,8.6147429711803773e-19,-8.6198306511221785e-19,-4.3010414130291978e-19,1.2333203600666437e-16,3.0533097756551144e-16,8.9441793423712821e-17,-4.8792647958279996e-17,-3.0204369939591212e-17,0.22500000000000001,1.3549744261629783e-17,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,2.4190134233855148e-35,-3.5006437317778176e-34,-6.1501887972648578e-34,-3.0662961739237244e-34,-7.8226395753171771e-35,-8.153270649334664e-36,8.1584047810067901e-38,-1.3338208184174812e-33,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,0,-2.3797477196883548e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-5.124197907502479e-17,-1.6693070181650359e-14,5.8373596569333133e-32,-5.124197907502479e-17,-1.6693070181650359e-14,5.8373596569333133e-32,false,4.8227257293559314e-18,-0,0,0,-2.3797477196883548e-18,5.5413094357090464e-18,7.3263440965360549e-17,0,0,0,-2.3797477196883548e-18,-3.8042917915422705e-19,-7.0150643987606395e-17,1,2.6724215589916816e-35,-5.5413094357090464e-18,0.22500000000000001,0,0.39000000000000012,1,0,0,0,-1.6653345369377348e-16,1.6653345369377348e-16,1.6708377170967793e-16,7.0192027876715538e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.029999999999999999,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-1.8089248788375917e-19,-4.3480436011920284e-21,3.2000000000000002,-1.2787483498584858e-17,-5.6345258961350106e-19,-6.4399643724480324e-17,1,3.4011413545635598e-18,0,0,2.4716430402655354e-18,5.7838392092596072e-18,1.3761755745163497e-18,-1.0979220236755466e-18,-5.872008443782802e-19,1.3599718902820474e-16,3.4861180173786913e-16,1.1646264323214377e-16,-4.5482013887768464e-17,-3.2593347907275565e-17,0.22499999999999998,1.9110066369046017e-17,0.38999999999999996,0.22499999999999998,0.22500000000000001,-2.7755575615628914e-17,3.6536849415587045e-35,-4.817284295294392e-34,-8.8712593523089495e-34,-4.7787194143897795e-34,-1.3295175479338024e-34,-1.4795748251870656e-35,1.0404475460408859e-37,-1.9578329150743722e-33,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,-2.7755575615628914e-17,-2.6874376049450191e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-7.2442071096280428e-17,-1.627498566177231e-14,8.1542700774868605e-32,-7.2442071096280428e-17,-1.627498566177231e-14,8.1542700774868605e-32,false,6.8022827091271196e-18,-0,0,-2.7755575615628914e-17,-2.6874376049450191e-18,7.9465349559876658e-18,9.7073981099642819e-17,0,0,0,-2.6874376049450191e-18,-6.5163885038833955e-19,-8.6241289471899938e-17,1,5.4054577328589133e-35,-7.9465349559876658e-18,0.22500000000000001,0,0.39000000000000012,1,0,0,-2.7755575615628914e-17,-1.6653345369377348e-16,1.6883057536160649e-16,1.6990867492144252e-16,8.6285612728008418e-17,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.035000000000000003,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-2.5104898641715519e-19,-8.0047758690658064e-21,3.2000000000000002,-1.5280160588451499e-17,-9.1438484896203034e-19,-7.5132917678560372e-17,1,4.5383632651817178e-18,0,0,3.1795413092059035e-18,7.6255851599994405e-18,2.0278532314049267e-18,-1.3088347847045153e-18,-7.5279393312128813e-19,1.4679487396261147e-16,3.8726519253677651e-16,1.4424949121906245e-16,-3.8405310192162515e-17,-3.3445012365300778e-17,0.22499999999999998,2.5497596774452189e-17,0.38999999999999996,0.22499999999999998,0.22500000000000001,-2.7755575615628914e-17,5.216951025212513e-35,-6.2736018197800131e-34,-1.205618886632786e-33,-6.9614691715548893e-34,-2.0909905493414516e-34,-2.4709115990532656e-35,1.114471475659203e-37,-2.7106531992912629e-33,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,-2.7755575615628914e-17,-2.7813956652845754e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-9.6984199179864417e-17,-1.5876579004959355e-14,1.083428735532465e-31,-9.6984199179864417e-17,-1.5876579004959355e-14,1.083428735532465e-31,false,9.0767265303634355e-18,-0,0,-2.7755575615628914e-17,-2.7813956652845754e-18,1.0771350982784467e-17,1.2328667223632582e-16,0,0,0,-2.7813956652845754e-18,-1.0506189794350818e-18,-1.0287241893173367e-16,1,9.7768607233296043e-35,-1.0771350982784467e-17,0.22500000000000001,0,0.39000000000000012,1,0,0,-2.7755575615628914e-17,-1.6653345369377348e-16,1.6883057536160649e-16,1.7074510422909247e-16,1.0291537561974367e-16,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.040000000000000001,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-3.3374378431682321e-19,-1.3631341794791416e-20,3.2000000000000002,-1.7805535441852385e-17,-1.3573190591054458e-18,-8.5866191632640419e-17,1,5.8144603663374106e-18,0,0,3.937007992931411e-18,9.6502589516391243e-18,2.8187105433500127e-18,-1.4783048081532252e-18,-9.2005004732184571e-19,1.5586683072486778e-16,4.2177173751002014e-16,1.7207169882572455e-16,-2.8887855277960524e-17,-3.3234385319373523e-17,0.22499999999999998,3.266363591702145e-17,0.38999999999999996,0.22499999999999998,0.22500000000000001,-2.7755575615628914e-17,7.0838767919389971e-35,-7.8260087573402686e-34,-1.5615330043903117e-33,-9.5684707090291717e-34,-3.0615731518747293e-34,-3.8031822431237012e-35,1.0366184656072596e-37,-3.5742276588800151e-33,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,-2.7755575615628914e-17,-2.6824878599964986e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-1.2460398536394854e-16,-1.55017511049246e-14,1.37801346443811e-31,-1.2460398536394854e-16,-1.55017511049246e-14,1.37801346443811e-31,false,1.1628920732674821e-17,-0,0,-2.7755575615628914e-17,-2.6824878599964986e-18,1.4007622632445476e-17,1.505534138058284e-16,0,0,0,-2.6824878599964986e-18,-1.5635118838411168e-18,-1.197407097389518e-16,1,1.6289353324593026e-34,-1.4007622632445476e-17,0.22500000000000001,0,0.39000000000000012,1,0,0,-2.7755575615628914e-17,-1.6653345369377348e-16,1.6883057536160649e-16,1.7196126391792665e-16,1.1978095791618068e-16,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
0.044999999999999998,task_acquire_crosswind,-1,free_flight_controlled,0,0,0,0,0,0,0,3.2000000000000002,0,hover,-4.2916767376643303e-19,-2.1771900327145477e-20,3.2000000000000002,-2.0370429538572433e-17,-1.9190099159581974e-18,-9.6599465586720467e-17,1,7.2210190320982482e-18,0,0,4.7360253437416091e-18,1.1837158704182128e-17,3.7479430231751392e-18,-1.5942262785169745e-18,-1.0834538328716274e-18,1.63529014816084e-16,4.5238012087149383e-16,1.9954812962505821e-16,-1.7139533978407289e-17,-3.1959567704432845e-17,0.22499999999999998,4.0560355060065013e-17,0.38999999999999996,0.22499999999999998,0.22500000000000001,-2.7755575615628914e-17,9.271741104348341e-35,-9.4456250359702626e-34,-1.9494999006517868e-33,-1.258802642218034e-33,-4.2537014347021411e-34,-5.5253921368805137e-35,7.8243292483524135e-38,-4.5406934569698996e-33,-1.2204355350081129e-14,-1.2204355350081129e-14,false,0.4158,ITS-RMPC,false,-2.7755575615628914e-17,-2.3305147364474746e-18,0,0,0,-1.2204355350081129e-14,false,129.8844,129.8844,-1.5517946974890073e-16,-1.5149085576608357e-14,1.6970485272086404e-31,-1.5517946974890073e-16,-1.5149085576608357e-14,1.6970485272086404e-31,false,1.4442038064196496e-17,-0,0,-2.7755575615628914e-17,-2.3305147364474746e-18,1.7643446959710273e-17,1.7864619151364932e-16,0,0,0,-2.3305147364474746e-18,-2.2191532525658739e-18,-1.3679485867729157e-16,1,2.5480733257576768e-34,-1.7643446959710273e-17,0.22500000000000001,0,0.39000000000000012,1,0,0,-2.7755575615628914e-17,-1.6653345369377348e-16,1.6883057536160649e-16,1.7363440206229189e-16,1.3683270552260285e-16,0,0,0,1.2204355350081129e-14,1,1,-1.2204355350081129e-14,0,0
