acquisition_norm_mean,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,candidate_usable,competence_pass,control_rate_ratio_mean,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,index,kd,ki,kp,orientation_ratio_mean,position_ratio_mean,safe,score
1.5,False,,12.402953851601367,1.0562411095976616,pid_001,False,False,9.22229834336492,task_pid,False,,8.352221017546238,0.6693076513544942,1,1.0,0.0,0.8,3.202803994304629,3.4014815831790375,True,
1.5,False,,12.581521654611915,1.0628974539773473,pid_002,False,False,9.365490281348393,task_pid,False,,8.516765680974345,0.6762814271415082,2,1.0,0.1,0.8,3.2561322932719188,3.4280166502104636,True,
1.5,False,,13.086212284596156,1.089846314263922,pid_003,False,False,9.955421180606333,task_pid,False,,9.363248642984813,0.7772279295889006,3,1.0,0.3,0.8,3.4689988669759373,3.6699877957238534,True,
1.5,False,,15.279274486174865,1.2863770583108025,pid_004,False,False,14.789746356653387,task_pid,False,,12.959391971490264,1.4361616048774406,4,2.0,0.0,0.8,4.380599797772066,5.291695779494812,True,
1.5,False,,15.256502537599168,1.3120014539324074,pid_005,False,False,14.920653382922671,task_pid,False,,12.997094145397808,1.4650927932598454,5,2.0,0.1,0.8,4.383360404064378,5.397703251574763,True,
1.5,False,,15.27139521976171,1.3442657482772087,pid_006,False,False,15.168465002771411,task_pid,False,,13.134081828168377,1.4929949566875307,6,2.0,0.3,0.8,4.40789076728211,5.515404374134322,True,
1.5,False,,16.33125539730662,1.6657992925109217,pid_007,False,False,18.09450553545187,task_pid,False,,14.407462363950291,1.6104480184105645,7,4.0,0.0,0.8,4.772760295240509,6.391190216625037,True,
1.5,False,,16.49876287011426,1.6536873014605051,pid_008,False,False,17.929138397005943,task_pid,False,,14.354752699211096,1.6385005405929058,8,4.0,0.1,0.8,4.789050035109901,6.418292513733135,True,
1.5,False,,16.509219908074897,1.5774590669707311,pid_009,False,False,18.16895305214283,task_pid,False,,14.514996592308961,1.579068789234472,9,4.0,0.3,0.8,4.816710631229046,6.152218975062091,True,
1.5,False,,12.472167128080136,1.7926005493841655,pid_010,False,False,12.475333271595485,task_pid,False,,12.800714899357251,1.862812140260327,10,1.0,0.0,1.6,3.937849384497225,7.117817447452774,True,
