acquisition_norm_mean,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,candidate_usable,competence_pass,control_rate_ratio_mean,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,index,kd,ki,kp,orientation_ratio_mean,position_ratio_mean,safe,score
1.5,False,,12.56293979522702,1.780123402968343,pid_011,False,False,12.565782403516575,task_pid,False,,12.79984173709272,1.8290960572703532,11,1.0,0.1,1.6,3.9511882465390724,7.029880300447498,True,
1.5,False,,12.644806303060497,1.7979621415629654,pid_012,False,False,12.674484832934791,task_pid,False,,12.777828238875035,1.7654630090253223,12,1.0,0.3,1.6,3.959760141620276,6.9486703205816625,True,
1.5,False,,14.9861953750202,1.5269946443014792,pid_013,False,False,17.08201501846235,task_pid,False,,13.543182005606079,1.7983705417968354,13,2.0,0.0,1.6,4.4321864687095465,6.454652500049667,True,
1.5,False,,15.043863149362956,1.5261689023607292,pid_014,False,False,17.439898252922546,task_pid,False,,13.601036193396668,1.7457072176691695,14,2.0,0.1,1.6,4.450176842348057,6.3555175113804365,True,
1.5,False,,15.131920634512557,1.5252250463809067,pid_015,False,False,17.477530610890277,task_pid,False,,13.654531217686179,1.7205756022184213,15,2.0,0.3,1.6,4.4719703379454145,6.307083096294409,True,
1.5,False,,15.85252712477518,1.5187660498271114,pid_016,False,False,18.76653603280205,task_pid,False,,13.980415310672226,1.5626067830961492,16,4.0,0.0,1.6,4.6320856786682665,6.001563106171165,True,
1.5,False,,15.961970508531527,1.538722428469182,pid_017,False,False,18.895990356837082,task_pid,False,,13.956846430288573,1.5411991105692757,17,4.0,0.1,1.6,4.644499750076891,6.002820220373803,True,
1.5,False,,15.957885035108516,1.5450677887290463,pid_018,False,False,18.93191592876729,task_pid,False,,13.932700498114842,1.5858067916684466,18,4.0,0.3,1.6,4.6399590446703165,6.098353178371724,True,
1.5,False,,13.73772248550257,3.579876331757253,pid_019,False,False,13.082703063188017,task_pid,False,,10.54775196834773,1.8737746331990894,19,1.0,0.0,3.2,3.7587419896699177,10.798217010039778,True,
1.5,False,,13.538612503786258,3.5748220297426085,pid_020,False,False,13.02994148500726,task_pid,False,,10.554933586718317,1.857138180845179,20,1.0,0.1,3.2,3.7303411879173427,10.757083685317927,True,
1.5,False,,13.461393840662723,3.5134461527920453,pid_021,False,False,13.24256289858777,task_pid,False,,10.52319794100918,1.8246916243825007,21,1.0,0.3,3.2,3.71370254594168,10.571357133345742,True,
1.5,False,,13.943903799053142,2.9536128153694823,pid_022,False,False,13.246377154690364,task_pid,False,,12.351160603749213,1.9793491429302912,22,2.0,0.0,3.2,4.083181496128123,9.71105486216642,True,
1.5,False,,13.902168689213097,2.8703235961297007,pid_023,False,False,13.322726300571844,task_pid,False,,12.423250917354455,1.980027425336373,23,2.0,0.1,3.2,4.088728436010435,9.541744082051878,True,
1.5,False,,13.939385755844752,2.865772697481012,pid_024,False,False,13.493976200081907,task_pid,False,,12.390533008438545,1.9626371276644756,24,2.0,0.3,3.2,4.088925205465966,9.500246809291223,True,
1.5,False,,14.708999503972118,1.9825977517516247,pid_025,False,False,16.52505187191948,task_pid,False,,13.415792856682236,1.7849147793870472,25,4.0,0.0,3.2,4.370263925153759,7.36277275911654,True,
1.5,False,,14.739067690389197,2.022314166407309,pid_026,False,False,16.77689870177366,task_pid,False,,13.509275631898038,1.7524274401667495,26,4.0,0.1,3.2,4.389960090359732,7.3839950127182075,True,
1.5,False,,14.687316705948373,1.9585021886766103,pid_027,False,False,17.108495335063456,task_pid,False,,13.533439525114952,1.71498320317171,27,4.0,0.3,3.2,4.386211159180007,7.184032327983271,True,
1.5,False,,12.58128533931466,3.691559192749261,pid_028,False,False,13.582006348896854,task_pid,False,,12.133447505838273,2.3627861189432715,28,1.0,0.0,6.4,3.845341262580864,11.931756894150713,True,
1.5,False,,12.637435772563537,3.7348942511764958,pid_029,False,False,13.512419630752031,task_pid,False,,12.236391828716252,2.4046199207013186,29,1.0,0.1,6.4,3.870452550625677,12.097907527129756,True,
1.5,False,,12.724653748620636,3.722158679619548,pid_030,False,False,13.575351348186626,task_pid,False,,12.395712613231355,2.4356100945797503,30,1.0,0.3,6.4,3.909362916552274,12.129168404076811,True,
1.5,False,,12.48835468545941,3.350381290128097,pid_031,False,False,15.968757761365815,task_pid,False,,11.628381772112872,1.9332848801453548,31,2.0,0.0,6.4,3.749252346540012,10.438353069111535,True,
1.5,False,,12.437692362902235,3.3710236954801527,pid_032,False,False,16.06275331178129,task_pid,False,,11.70100778033299,1.9671001091956346,32,2.0,0.1,6.4,3.753560737093312,10.543195088763028,True,
1.5,False,,12.449595777178619,3.35415729567566,pid_033,False,False,16.174175806634597,task_pid,False,,11.806094139390517,1.9866308130778083,33,2.0,0.3,6.4,3.7724496591183265,10.544792870008083,True,
1.5,False,,14.244342556732814,3.208975198399932,pid_034,False,False,16.090632620522623,task_pid,False,,11.874579727708134,1.8288269324525026,34,4.0,0.0,6.4,4.05015478341341,9.955490649808617,True,
1.5,False,,14.269584568214968,3.16518485116934,pid_035,False,False,16.09410095596826,task_pid,False,,11.820393478459488,1.8247235793729755,35,4.0,0.1,6.4,4.045075368453398,9.85822102606845,True,
1.5,False,,14.161258385217394,3.1686329459849962,pid_036,False,False,16.263604976697422,task_pid,False,,11.966021668536508,1.8200692499745477,36,4.0,0.3,6.4,4.0527136024328705,9.85667029324415,True,
