time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms
0,approach_stop,0,anchored_wind_validation,0,0,0,0,0,0,0,3.2000000000000002,0,0,0,3.2000000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22500000000000001,0,0.38999999999999996,0.22500000000000001,0.22500000000000001,0,0,0,0,0,0,0,0,0,0,0,false,0
0.0050000000000000001,approach_stop,0,anchored_wind_validation,0.01003332395234964,0,0,0,0,0,0,3.2000000000000002,0,0,0,3.1999874429812927,0,0,-0.0046444425037489197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22500000000000001,0,0.38998744298129245,0.22500000000000001,0.22500000000000001,0,2.2493166205207274e-05,1.8497669576650716e-06,1.8497669576650716e-06,1.8497669576650716e-06,1.8497669576650716e-06,1.8497669576650716e-06,1.4502172948094166e-06,3.3192218288342043e-05,0,0,false,0
0.01,approach_stop,0,anchored_wind_validation,-0.00055874051149313979,0,0,0,0,0,0,3.2000000000000002,0,2.9803516084242248e-11,0,3.1999567643221063,1.1904984508783637e-08,0,-0.0073590867075371746,1,0,4.627258050321408e-12,0,-4.6239339769015101e-11,-4.6345696947610649e-11,6.090575371827149e-11,8.5677014472924259e-11,2.8321367909150385e-11,-1.781420269339582e-08,-1.8501362316481404e-08,2.3567633844911529e-08,3.3723983261191287e-08,1.125753803719846e-08,0.22500000001513032,0,0.38995676430150511,0.2249999999853268,0.22500000000000001,-1.467320709380715e-11,-6.9758920508076114e-08,-5.7368075800182002e-09,-5.7370475005266334e-09,-5.7372614169258302e-09,-5.7371812139377909e-09,-5.7368700924900556e-09,-4.4975210520144887e-09,-1.0294160936398911e-07,0,0,false,0
0.014999999999999999,approach_stop,0,anchored_wind_validation,0.050550040166753261,0,0,0,0,0,0,3.2000000000000002,0,8.895302717470778e-11,0,3.1999160833282101,1.1747612151408106e-08,0,-0.0087273138061635357,1,0,1.381618974564427e-11,0,-1.2593785302949328e-10,-1.3739273688546061e-10,1.6744773184317422e-10,2.4569928540049987e-10,8.3202605158723738e-11,-1.4251513977895605e-08,-1.7783057619220749e-08,1.9206802064158687e-08,3.0268370063026189e-08,1.0649593693120753e-08,0.22500000004615259,0,0.38991608326956312,0.22499999995719955,0.22500000000000001,-4.280045762250495e-11,0.00057095743261465078,4.6953732937523996e-05,4.6953714833155399e-05,4.6953697388893205e-05,4.6953702923317842e-05,4.6953727461107096e-05,3.6811737153217418e-05,0.0008425377453118658,0,0,false,0
0.02,approach_stop,0,anchored_wind_validation,0.058668993781314835,0,0,0,0,0,0,3.2000000000000002,0,9.0349880511125846e-10,0,3.1998710306438842,3.1361666355881394e-07,0,-0.0091664508109329801,1,0,1.4029692024039389e-10,0,-1.3642496791706494e-09,-1.3998124156027835e-09,1.8006708500081397e-09,2.5634788474819468e-09,8.5348347928126114e-10,-4.6390313549675079e-07,-4.8617973382559535e-07,6.1403441516912111e-07,8.8297207871529327e-07,2.9563718637772913e-07,0.22500000046232504,0,0.38987103002877554,0.22499999955882624,0.22500000000000001,-4.4117376418739696e-10,0.00076908361580924577,6.3246860704174786e-05,6.3246203557416729e-05,6.3245615313437878e-05,6.3245833991217376e-05,6.3246687956660793e-05,4.9585912226640513e-05,0.0011349007295587937,0,0,false,0
0.025000000000000001,approach_stop,0,anchored_wind_validation,0.015629742114683771,0,0,0,0,0,0,3.2000000000000002,0,3.4817107882162371e-09,0,3.1998254601943081,7.1683135007235945e-07,0,-0.0089769752543028252,1,0,5.4075800728080052e-10,0,-5.025709459905247e-09,-5.3782756463372042e-09,6.6644164247537071e-09,9.6882641989408948e-09,3.2644527318471752e-09,-9.8215586338684183e-07,-1.1005016767215112e-06,1.3083384112364896e-06,1.9478115782599503e-06,6.6515895873002836e-07,0.22500000180146937,0,0.38982545787810885,0.22499999831975859,0.22500000000000001,-1.6802414182226499e-09,5.4578891531770241e-05,4.4883173294610311e-06,4.4879412219279883e-06,4.4875949668215582e-06,4.4877162374103711e-06,4.4882126945609435e-06,3.519055903816683e-06,8.0537729885768827e-05,0,0,false,0
0.029999999999999999,approach_stop,0,anchored_wind_validation,0.044407224271307638,0,0,0,0,0,0,3.2000000000000002,0,7.1168006094340961e-09,0,3.1997819381379431,7.366988844582669e-07,0,-0.0083784572862993616,1,0,1.1056730777224256e-09,0,-9.5570405618694955e-09,-1.0869357216880081e-08,1.2740957126105335e-08,1.9128310342027924e-08,6.5637418801034853e-09,-8.3825756572302266e-07,-1.0896025078122099e-06,1.1288298876596102e-06,1.8265942283570035e-06,6.5220715630393225e-07,0.22500000375215262,0,0.38978193358889723,0.224999996635352,0.22500000000000001,-3.3646480046556348e-09,0.00044060941278013582,3.6234167730054237e-05,3.6233226133567191e-05,3.6232300485844365e-05,3.6232580637939566e-05,3.6233872085922652e-05,2.8408139027833509e-05,0.00065018369888129738,0,0,false,0
0.035000000000000003,approach_stop,0,anchored_wind_validation,0.14824548843688953,0,0,0,0,0,0,3.2000000000000002,0,1.1353934751972972e-08,0,3.1997420827138354,9.5730703074083684e-07,0,-0.007533703291584007,1,0,1.7644335839865313e-09,0,-1.4267016467344378e-08,-1.7023824447069635e-08,1.9056412109806183e-08,2.9416697186491632e-08,1.0254452804852917e-08,-1.0393525693091183e-06,-1.3683518364201026e-06,1.388835322439112e-06,2.2792129906800599e-06,8.2149811106150573e-07,0.22500000610391019,0,0.38974207574662378,0.22499999474997542,0.22500000000000001,-5.2500245817377333e-09,0.0049104160146330855,0.00040381648301681826,0.00040381259962130126,0.00040380874299832266,0.00040380988318820951,0.00040381524646149474,0.00031659443630386637,0.0072460734062230981,0,0,false,0
0.040000000000000001,approach_stop,0,anchored_wind_validation,0.22308356586222419,0,0,0,0,0,0,3.2000000000000002,0,2.2582364746546249e-08,0,3.1997068065948753,3.5287602731636838e-06,0,-0.0065641443032620457,1,0,3.5092486917316296e-09,0,-2.9089711445282532e-08,-3.3724445834153346e-08,3.8662839004315512e-08,5.8858695708857002e-08,2.0381517764854468e-08,-4.749567646729375e-06,-5.300310667668545e-06,6.2889765785361556e-06,9.3800291362470497e-06,3.2125881563825275e-06,0.22500001213381526,0,0.38970679262136965,0.22499998955145051,0.22500000000000001,-1.044854949783236e-08,0.011119425387244503,0.00091442108914847236,0.00091439525481179051,0.00091437144189783883,0.00091437974711159004,0.00091441386087312625,0.00071692102677444608,0.016408327807861764,0,0,false,0
0.044999999999999998,approach_stop,0,anchored_wind_validation,0.1658125673346553,0,0,0,0,0,0,3.2000000000000002,0,5.4767985726600211e-08,0,3.1996764977921761,9.3319659965409835e-06,0,-0.0055594872744923508,1,0,8.5100906155530607e-09,0,-7.3339930954094012e-08,-8.2557844998000206e-08,9.7292907756450519e-08,1.456795186479573e-07,4.9982971818708231e-08,-1.2660154888975768e-05,-1.4184588988855663e-05,1.6811222514986833e-05,2.5077024008393324e-05,8.5827207125492752e-06,0.22500002920282458,0,0.38967646312614901,0.22499997443483885,0.22500000000000001,-2.5565161154705862e-08,0.0061425250946011405,0.00050513122444809089,0.00050507988659631944,0.00050503254497498082,0.00050504901311922775,0.00050511675292968519,0.00039605227590179499,0.0090639867925712408,0,0,false,0
