time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad,reference_event,tip_velocity_world_x,tip_velocity_world_y,tip_velocity_world_z,cutter_axis_world_x,cutter_axis_world_y,cutter_axis_world_z,task_reference_tip_x,task_reference_tip_y,task_reference_tip_z,task_reference_axis_x,task_reference_axis_y,task_reference_axis_z,tip_task_x_error_m,tip_task_z_error_m,task_position_error_xz_m,position_error_3d_m,tip_speed_m_s,orientation_error_rad,orientation_error_deg
10.055,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.5222048235503518,0,3.1996137862696212,-0.0095228066969262025,0,0.00060191558632686842,0.99944707430062951,0,-0.033249746945068819,0,-0.041591194018741846,0.00097036266591509293,0.0018576428045137406,0.0027374384603386379,0.0035546720530913608,-0.0066795070972797315,-0.00015100781362671812,0.0007272396857624752,0.0017422943455800621,0.00047580800557671534,1.0295120734544156,0,0.42634892296604232,0.50730724990406384,0.22500000000000001,0.28230724990406386,2.2938840191129732,0.16635107100234153,0.16564852840641819,0.16496698925112541,0.16435722476484438,0.16381054565391187,0.16775194386620534,3.2867703220578202,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.9243229612172,129.9243229612172,0,0.47199843262158403,0,0,0.47199843262158403,0,false,0,-0.066511753027926376,0,setpoint_issued,0.021454176748061216,0,0.0060588107105181881,0.99510519797814501,0,0.098821277854907852,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50451207345441562,0.036348922966042196,0.50581980631650325,0.50581980631650325,0.022293292425367331,0.098982831071154173,5.6712984646335238
10.06,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52215385094055977,0,3.1996167347600846,-0.010866195063403132,0,0.0005774858445944717,0.99944659207992737,0,-0.033264238753026969,0,-0.041623530737390987,0.00096965304606062396,0.0018613115862921377,0.0027464315530906372,0.0035570599831727867,-0.0062546800902547814,-0.00013341687565407995,0.00073991537137252698,0.0018561134164256244,0.00047942694355901768,1.0296085801411285,0,0.42637772834487392,0.50745472920056878,0.22500000000000001,0.2824547292005688,2.2960481184606665,0.16654456915346619,0.16589934869536596,0.16527578851830402,0.16472736304576585,0.16424510071313159,0.16825897638846116,3.2909992649751607,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.92519198800457,129.92519198800457,0,0.46816086525827666,0,0,0.46816086525827666,0,false,0,-0.066540752685490215,0,setpoint_issued,0.017148393246108611,0,0.0054631206123246165,0.99510055265527619,0,0.09886804390278911,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50460858014112853,0.036377728344873794,0.50591813396198715,0.50591813396198715,0.017997585331037871,0.099029827265249587,5.6739911482083683
10.065,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52209616200489528,0,3.1996195621017587,-0.012209320912919984,0,0.0005534550249163266,0.99944616006474751,0,-0.033277216407480062,0,-0.041653673323798067,0.00096901764014782957,0.0018650339885899769,0.0027560059062617082,0.0035594676759212892,-0.0058021226374118341,-0.00012098438981005725,0.00074888119063943063,0.0019744237241231069,0.00048370971207912957,1.0296835566932769,0,0.42640355266981544,0.50758739468838165,0.22500000000000001,0.28258739468838168,2.2982008308152557,0.16673780180367651,0.16615020675166303,0.16558470551671448,0.16509775061445692,0.1646802062231944,0.16876451661764511,3.295216018342606,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.92605981850451,129.92605981850451,0,0.46442270230565774,0,0,0.46442270230565774,0,false,0,-0.066566722371835807,0,setpoint_issued,0.01284216860978067,0,0.0048664209764013935,0.99509649395299593,0,0.098908885963068405,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50468355669327691,0.03640355266981532,0.50599477373146851,0.50599477373146851,0.01373329340404535,0.099070870497970878,5.6763427522208714
10.07,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52203175829900272,0,3.1996222702694519,-0.013552087602942395,0,0.00052981517467557424,0.999445776590695,0,-0.03328873165234391,0,-0.041681488450323802,0.00096843534662712167,0.0018687943112747031,0.0027661789638484427,0.0035618983512136436,-0.0053238947946358745,-0.00011193788519313251,0.00075523940403931264,0.0020953127519207871,0.00048861124172648769,1.0297370015906364,0,0.42642639135437743,0.50770524329163369,0.22500000000000001,0.28270524329163371,2.3003423903576046,0.16693073521541979,0.16640103919708971,0.16589372590606197,0.16546839998932286,0.16511584827965672,0.16926850621415901,3.2994206451593149,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.92692637255908,129.92692637255908,0,0.46078117073032099,0,0,0.46078117073032099,0,false,0,-0.066589765628257122,0,setpoint_issued,0.0085357771895984737,0,0.0042688930063623873,0.99509302395113608,0,0.098943790526661399,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50473700159063639,0.036426391354377308,0.50604972360609812,0.50604972360609812,0.0095437382471565795,0.099105947120850676,5.6783524946714561
10.075000000000001,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52196064185227853,0,3.1996248611976492,-0.014894402389790101,0,0.00050655810320164682,0.99944544003602176,0,-0.033298834682345194,0,-0.041706852103944474,0.00096789253744551771,0.0018725818177117769,0.0027769598704330324,0.0035643549438024429,-0.0048216824929249351,-0.00010502828042950655,0.00075987705038631269,0.0022173507286191423,0.00049406613582048489,1.0297689146871902,0,0.42644624067195264,0.5078082728349117,0.22500000000000001,0.28280827283491172,2.3024730259144288,0.16712334535448242,0.16665179751284445,0.16620283526317217,0.16583931596506696,0.16555201012642107,0.16977088753037839,3.3036132176667943,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.9277915896777,129.9277915896777,0,0.45723356924477698,0,0,0.45723356924477698,0,false,0,-0.066609982896544989,0,setpoint_issued,0.0042294942917515919,0,0.0036707000490567646,0.99509014439147569,0,0.098972746425225883,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50476891468719021,0.036446240671952512,0.50608298301128618,0.50608298301128618,0.0056002375676487727,0.09913504584806701,5.6800197289301551
10.08,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52188281514688095,0,3.1996273367791512,-0.016236176986663523,0,0.00048367531713749734,0.99944514882110091,0,-0.033307574183160521,0,-0.041729647987364109,0.00096738086716403502,0.0018763897246527447,0.0027883515762054242,0.0035668400459900407,-0.0042969003467025523,-9.9369869270087203e-05,0.00076349350778552919,0.0023394726630970885,0.00050000469043217602,1.0297792972155022,0,0.42646309767515067,0.50789648206862126,0.22500000000000001,0.28289648206862128,2.3045929621066836,0.16731561526714148,0.16690244430032319,0.16651201931590587,0.16621049734998622,0.16598867264966585,0.17027160346397902,3.3077938144536847,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.92865543223036,129.92865543223036,0,0.45377725448373785,0,0,0.45377725448373785,0,false,0,-0.066627471599256374,0,setpoint_issued,-7.6403984474708413e-05,0,0.0030719909640748678,0.99508785671282496,0,0.098995744467509125,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50477929721550219,0.036463097675150546,0.50609455281542393,0.50609455281542393,0.0030729409451210163,0.09915815739112438,5.681343922805377
10.085000000000001,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52179828109448378,0,3.1996296988634514,-0.017577327920613225,0,0.00046115798130141856,0.99944490140799769,0,-0.033314997366913443,0,-0.041749766355316346,0.0009668957450784763,0.0018802143409398461,0.0028003524279598862,0.0035693559087817081,-0.0037507647175848181,-9.4331612553546639e-05,0.00076663133913225151,0.0024608893776121234,0.00050636098250076344,1.0297681517902875,0,0.42647696013074415,0.50796987069580368,0.22500000000000001,0.2829698706958037,2.3067024201560855,0.16750753321318987,0.1671529504852782,0.1668212640075615,0.16658193830175227,0.16642581480248436,0.17077059734132616,3.311962518307678,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.92951788747882,129.92951788747882,0,0.4504096311439863,0,0,0.4504096311439863,0,false,0,-0.066642326210698433,0,setpoint_issued,-0.0043816409027942213,0,0.0024729029950065783,0.99508616207946143,0,0.099012777145012221,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50476815179028744,0.036476960130744029,0.50608443532889114,0.50608443532889114,0.0050313046244241525,0.09917527416316714,5.6823246416023148
10.09,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52170704301975157,0,3.1996319492558376,-0.018917770872914373,0,0.00043899752400832685,0.99944469629976695,0,-0.033321150014152492,0,-0.041767102865901601,0.00096643601035854192,0.0018840559286958953,0.0028129462631650724,0.0035719170761091259,-0.0031841229561478369,-8.8936469762744062e-05,0.00077079841100237629,0.0025731224057056654,0.00052207351243092307,1.0297354824900748,0,0.42648782554625664,0.50802843947032328,0.22500000000000001,0.2830284394703233,2.3088016095426416,0.16769909606348435,0.16740332401457203,0.16713065694746754,0.16695361366649766,0.16686331164811971,0.17126781221654289,3.316119424099325,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.93037893969586,129.93037893969586,0,0.44712824437525905,0,0,0.44712824437525905,0,false,0,-0.066654638340885267,0,setpoint_issued,-0.008685883281464005,0,0.0018729089112634637,0.99508506181153866,0,0.099023834300264707,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50473548249007483,0.036487825546256514,0.50605263431542635,0.50605263431542635,0.0088855138382147609,0.099186385925933943,5.6829612987118026
10.095000000000001,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52160910468701593,0,3.1996340897211093,-0.020257418822078873,0,0.00041718584159036634,0.99944453203802952,0,-0.033326076566008105,0,-0.041781555616995536,0.00096600704020243454,0.0018879258563233221,0.0028260402904349922,0.0035746237480095517,-0.0025972407539347642,-8.204515606520166e-05,0.00077785184484801433,0.0026609764107686801,0.00056468967018468948,1.0296812953128729,0,0.42649568575500302,0.50807219062585696,0.22500000000000001,0.28307219062585698,2.3108907258610567,0.16789031482948386,0.16765362199890455,0.16744038430660185,0.16732546928374487,0.16730093454825612,0.17176318137493979,3.3202646322029872,-0.38016411390956856,-0.38016411390956856,false,0.0040000000000000001,pid,false,0.22224907876973526,-0.0081792555157099711,0.39288247806270044,0,-0.38016411390956856,-0.38016411390956856,false,129.93123856018124,129.93123856018124,0,0.44393080574695232,0,0,0.44393080574695232,0,false,0,-0.066664496919911581,0,setpoint_issued,-0.012988744506348328,0,0.0012708197878484818,0.99508455978007426,0,0.099028879057050184,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50468129531287287,0.036495685755002893,0.50599915505602089,0.50599915505602089,0.01305076498847409,0.099191455601131906,5.6832517697041487
10.1,task_acquire_crosswind,-1,free_flight_controlled,3,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.52150447025106383,0,3.1996361219791742,-0.021596201214873691,0,0.00039571322053501501,0.99944440720366801,0,-0.033329820121146395,0,-0.041793024650832643,0.00096561596078636048,0.0018918367182096133,0.0028395157151531055,0.0035776089397382069,-0.0019906371053884648,-7.3821726923397815e-05,0.00078705273721391003,0.0027259771520559695,0.00063324879097005746,1.0296055978470466,0,0.42650053055152803,0.5081011275959828,0.22500000000000001,0.28310112759598283,2.3129699800997949,0.16808119634047944,0.1679038484718349,0.16775042290441614,0.16769747432126422,0.16773866160365092,0.17225663156951723,3.3243982153109575,-0.35592976037245494,-0.35592976037245494,false,0.0040000000000000001,pid,false,0.22150447025106385,-0.021596201214873691,0.40395770157525362,0,-0.35592976037245494,-0.35592976037245494,false,129.91072008571871,129.91072008571871,0,0.47894775936063855,0,0,0.47894775936063855,0,false,0,-0.066671988191817272,0,setpoint_issued,-0.017289954168259902,0,0.0006667724939795781,0.99508466079803559,0,0.099027863980086603,0.52500000000000002,0,0.39000000000000012,1,0,0,0.50460559784704662,0.03650053055152791,0.50592400428238071,0.50592400428238071,0.01730280615100498,0.099190435510022865,5.6831933227888811
