time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad,lqr_feedback_ax,lqr_state_norm,reference_event,tip_velocity_world_x,tip_velocity_world_y,tip_velocity_world_z,cutter_axis_world_x,cutter_axis_world_y,cutter_axis_world_z,task_reference_tip_x,task_reference_tip_y,task_reference_tip_z,task_reference_axis_x,task_reference_axis_y,task_reference_axis_z,tip_task_x_error_m,tip_task_z_error_m,task_position_error_xz_m,position_error_3d_m,tip_speed_m_s,orientation_error_rad,orientation_error_deg
10.44,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29768553728966379,2.9251735744867853e-29,3.1998604095101517,0.028135854532366632,5.8854740004112118e-29,-5.8204875488243791e-05,0.99999917416196371,-1.3153211360034923e-30,-0.0012851752369143214,1.6752246951299479e-33,-0.0069810038147343611,-0.00042479436165844309,-0.00050265626806609372,-0.00031623780023388239,4.0771174487510134e-06,-0.01386327704873162,-0.0009482384961823617,-0.00087487183444201087,-0.0008201420776705094,-0.00040915477849468918,0.54984037297986943,2.1866367986705695e-29,0.39242658075224468,0.25215483569020564,0.22500000000000001,0.027154835690205631,-0.00017780863352341274,-2.6999315025140665e-05,-5.0376706487264768e-05,-8.210346679375359e-05,-0.0001228104344103603,-0.00017277652314102502,-0.00016978221130223555,-0.0008026572906831926,-0.03918405968325403,-0.03918405968325403,false,0.017999999999999999,lqr,false,0,0,0,0,0,-0.03918405968325403,false,129.8953943280934,129.8953943280934,1.7176541100612082e-28,0.073383809203723949,7.8295069674651011e-31,1.7176541100612082e-28,0.073383809203723949,7.8295069674651011e-31,false,-2.6306530954070805e-30,-0.0025703511813932709,6.7313051643569219e-33,-0.03918405968325403,0.035672747318188362,setpoint_issued,0.1066546904458182,7.5865921020444235e-29,0.0076197250314069464,0.99994177808821072,2.8356256273167913e-32,0.010790756868158946,0.52500000000000002,0,0.39000000000000012,1,0,0,0.024840372979869407,0.0024265807522445559,0.024958614222872828,0.024958614222872828,0.10692653180407355,0.010790966292526412,0.61827682542969675
10.445,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29782619923461379,2.9546252658869515e-29,3.1998601251956482,0.02812856011018609,5.8951776462812311e-29,-5.5511492841137927e-05,0.99999912962692583,-1.3000826157086314e-30,-0.0013193731047797905,1.1650275559738887e-33,-0.0070499886165670224,-0.00042952576597113298,-0.00050701149181899463,-0.00032032337731582807,2.0327865801269523e-06,-0.013729683059386157,-0.00094439860686498745,-0.00086728838672937988,-0.00081410487087127457,-0.00040857303846026147,0.55037229299603685,2.2246280164890801e-29,0.39246458244645405,0.25254609376142306,0.22500000000000001,0.027546093761423057,-0.00017774110467407142,-2.6901829112508252e-05,-5.0057198965644455e-05,-8.1450817189020175e-05,-0.00012170277257962138,-0.00017108985453526745,-0.00016814135932298742,-0.0007970849363791205,-0.03918405968325403,-0.03918405968325403,false,0.017999999999999999,lqr,false,0,0,0,0,0,-0.03918405968325403,false,129.89529691842409,129.89529691842409,1.7189602300900398e-28,0.074033560777929025,8.0100314800747995e-31,1.7189602300900398e-28,0.074033560777929025,8.0100314800747995e-31,false,-2.6001750950011252e-30,-0.0026387469751243957,5.7606612139349081e-33,-0.03918405968325403,0.035672747318188362,setpoint_issued,0.10611208498096375,7.609869927617757e-29,0.0075808383006597301,0.99994011980740538,2.735404494221152e-32,0.010943344989161224,0.52500000000000002,0,0.39000000000000012,1,0,0,0.025372292996036827,0.0024645824464539223,0.025491712741832557,0.025491712741832557,0.10638253469601118,0.010943563424260496,0.62701999704386158
10.450000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29796681928772639,2.9841250948277736e-29,3.1998598543940711,0.028119098354862933,5.9047288176113257e-29,-5.2799703787527328e-05,0.99999908412163852,-1.284722368969283e-30,-0.0013534237632914191,6.5146229799432443e-34,-0.0071183020656295226,-0.00043423784109381338,-0.00051132868345709129,-0.00032437866051634849,-8.566970536452644e-09,-0.013594746021920156,-0.00094050539564292067,-0.00085965775389266585,-0.00080802436042605745,-0.00040796395306446866,0.55090148156881802,2.262735269664055e-29,0.39250238788278791,0.25293466228109163,0.22500000000000001,0.027934662281091621,-0.00017764608137636103,-2.6800629700550994e-05,-4.9731579081645051e-05,-8.0789291628778189e-05,-0.00012058311030760902,-0.00016938767973703108,-0.00016648382518922721,-0.00079142219702120259,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89517359279657,129.89517359279657,1.7202144538163316e-28,0.075716953712195598,8.3188040425376569e-31,1.7202144538163316e-28,0.075716953712195598,8.3188040425376569e-31,false,-2.5694535612721964e-30,-0.0027068483529641648,4.7804884828341629e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10556212183816217,7.6330060494241864e-29,0.007541222371267137,0.99993844996330838,2.6333175229659534e-32,0.011094876519200559,0.52500000000000002,0,0.39000000000000012,1,0,0,0.025901481568817997,0.0025023878827877821,0.026022080865598384,0.026022080865598384,0.10583114665271229,0.011095104154819692,0.6357026413292326
10.455,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29810738666674735,3.0136722961770116e-29,3.199859597167257,0.02810749154280354,5.9141264104379393e-29,-5.0081597629775329e-05,0.99999903767225806,-1.269240305701177e-30,-0.0013873191978825239,1.3464232195947614e-34,-0.0071859549006684587,-0.00043892849102053271,-0.00051560578204060386,-0.00032840281408401232,-2.0467770852625173e-06,-0.013465418100664208,-0.00093586159042694677,-0.00085126060815923505,-0.00080164108077982041,-0.00040730991680533517,0.55142790204930003,2.300957848734151e-29,0.39253999336699352,0.25332051538255268,0.22500000000000001,0.028320515382552675,-0.00017752385579037708,-2.6694546800525596e-05,-4.9399510425923695e-05,-8.011920132671811e-05,-0.00011945200697635606,-0.00016767063150956401,-0.00016481013954819119,-0.00078566989237765584,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89507170119836,129.89507170119836,1.721415952677758e-28,0.076312740998318668,8.4936890199470743e-31,1.721415952677758e-28,0.076312740998318668,8.4936890199470743e-31,false,-2.5384883135619981e-30,-0.0027746392858025559,3.7909818630909608e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.1050048573650943,7.6560000896250229e-29,0.007500857849533576,0.99993676915369711,2.5293864007837032e-32,0.011245341011542181,0.52500000000000002,0,0.39000000000000012,1,0,0,0.026427902049300012,0.0025399933669933983,0.026549681222789966,0.026549681222789966,0.10527242249869007,0.011245578035012376,0.64432415959123068
10.460000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29824789061540541,3.0432660993016841e-29,3.1998593535728364,0.028093727015809662,5.9233693284345768e-29,-4.7346749439255734e-05,0.99999899030554495,-1.2536363395636248e-30,-0.0014210516842995274,-3.8532002164170565e-34,-0.0072529566998103942,-0.00044359630896584833,-0.00051984099902968801,-0.00033239481905672865,-4.0815727308962456e-06,-0.013334348595313905,-0.00093135975291738218,-0.00084290351477730085,-0.00079517005973463758,-0.0004066000117793329,0.55195151806282772,2.3392950366507789e-29,0.3925773952178549,0.25370362744742231,0.22500000000000001,0.028703627447422303,-0.0001773742852280919,-2.6584831641517921e-05,-4.90614487984348e-05,-7.9440570869685113e-05,-0.00011830957689957623,-0.00016593912773408753,-0.0001631208248422931,-0.0007798306660136866,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.894967669002,129.894967669002,1.7225646814126385e-28,0.076901322145549955,8.6679336348944655e-31,1.7225646814126385e-28,0.076901322145549955,8.6679336348944655e-31,false,-2.5072791787670177e-30,-0.0028421043251514429,2.7923360761188483e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10444034396794812,7.6788493926765415e-29,0.0074597700050489128,0.99993507797817816,2.4236327176621477e-32,0.011394728113244474,0.52500000000000002,0,0.39000000000000012,1,0,0,0.026951518062827695,0.0025773952178547721,0.027074476763179527,0.027074476763179527,0.10470641631090018,0.011394974709244401,0.65288395849801661
10.465,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29838832035691487,3.0729057280765468e-29,3.1998591236924518,0.028077809491158616,5.9324564710264823e-29,-4.459598836488252e-05,0.99999894203910367,-1.2379103874661366e-30,-0.001454620456352285,-9.0836708033905109e-34,-0.0073192988760747832,-0.00044824184725150712,-0.00052403452124494146,-0.0003363543086357363,-6.1127004016556222e-06,-0.013201583777712876,-0.00092694081206951386,-0.00083458070201934188,-0.00078863837911567964,-0.00040584420805215746,0.5524722934987385,2.3777461059812361e-29,0.39261458983096631,0.25408397314182363,0.22500000000000001,0.029083973141823621,-0.00017719745793789196,-2.6471537137319467e-05,-4.8717531869183205e-05,-7.8753619502602276e-05,-0.00011715615800007055,-0.00016419368567705537,-0.00016141640963420251,-0.00077390639975832528,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.8948615386735,129.8948615386735,1.7236603338031628e-28,0.077482739267310363,8.8415103215734196e-31,1.7236603338031628e-28,0.077482739267310363,8.8415103215734196e-31,false,-2.4758259902548223e-30,-0.0029092419386593758,1.7846548592102703e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10386863529034959,7.7015524596611533e-29,0.0074179635975521992,0.9999333770349883,2.3160656545912431e-32,0.011543027826531398,0.52500000000000002,0,0.39000000000000012,1,0,0,0.027472293498738476,0.0026145898309661852,0.027596430748649727,0.027596430748649727,0.10413318194031271,0.01154328417693614,0.66138146505858508
10.470000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29852866513811194,3.1025904008728854e-29,3.1998589076036001,0.028059743698555656,5.9413867374080951e-29,-4.1830145019960007e-05,0.99999889289052757,-1.2220623701144825e-30,-0.0014880247710442262,-1.4344405722376267e-33,-0.007384973046874653,-0.00045286541444109369,-0.0005281865022975583,-0.00034028102877400131,-8.1399510998433608e-06,-0.013067159852077246,-0.0009225649817117456,-0.00082628494802481885,-0.00078206454229657295,-0.00040505037130295443,0.55299019251556603,2.4163103217912241e-29,0.39265157362403047,0.25446152737745409,0.22500000000000001,0.029461527377454083,-0.00017699346863306748,-2.6354713048904937e-05,-4.8367892138001894e-05,-7.8058569972769588e-05,-0.00011599209725912536,-0.00016243482915472034,-0.00015969742628741505,-0.00076789899649400476,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89475335298417,129.89475335298417,1.7247026038967186e-28,0.078057032713310298,9.0143912950186024e-31,1.7247026038967186e-28,0.078057032713310298,9.0143912950186024e-31,false,-2.4441285890147649e-30,-0.0029760506403598186,7.68043589904423e-34,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10328978537511713,7.7241077888756942e-29,0.0073754427419867987,0.99993166692323787,2.2066947956224248e-32,0.011690230284942753,0.52500000000000002,0,0.39000000000000012,1,0,0,0.027990192515566004,0.0026515736240303456,0.02811550674880502,0.02811550674880502,0.1035527735914306,0.011690496568684004,0.66981611379776418
10.475,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29866891422946573,3.1323193305574597e-29,3.1998587053796195,0.02803953435855663,5.9501590265800849e-29,-3.9050051453452712e-05,0.99999884287739205,-1.2060922120326359e-30,-0.0015212639076397942,-1.9634815894005887e-33,-0.0074499709931310724,-0.00045746715404222134,-0.00053229705883781357,-0.00034417480180922062,-1.0163150406396103e-05,-0.012931106496494872,-0.00091820514642891159,-0.00081800882769603905,-0.00077546094493084652,-0.00040422451676911156,0.55350517954310163,2.4549869416311689e-29,0.39268834303413169,0.2548362653136359,0.22500000000000001,0.029836265313635896,-0.00017676241817717576,-2.6234407178793093e-05,-4.8012658764396515e-05,-7.7355647700903051e-05,-0.00011481774866284906,-0.00016066308742224817,-0.00015796441086711168,-0.00076181037877347734,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89464315500618,129.89464315500618,1.7256911860174029e-28,0.078624240763940867,9.1865485674000535e-31,1.7256911860174029e-28,0.078624240763940867,9.1865485674000535e-31,false,-2.4121868237019625e-30,-0.0030425289888060376,-2.5739072325173132e-34,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10270384868576649,7.7465138759234074e-29,0.007332211101996426,0.99992994824287396,2.0955301251481457e-32,0.011836325739153091,0.52500000000000002,0,0.39000000000000012,1,0,0,0.028505179543101611,0.0026883430341315684,0.028631668639002204,0.028631668639002204,0.10296524585758565,0.011836602132039581,0.67818734594141994
10.48,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29880905692499332,3.162091724491625e-29,3.1998585170896856,0.028017186167646438,5.9587722373866023e-29,-3.6256541098676214e-05,0.99999879201725639,-1.1899998415846759e-30,-0.0015543371666438192,-2.4954306016154566e-33,-0.0075142846329361145,-0.00046204709633793052,-0.00053636627114309824,-0.00034803550057139663,-1.2182149992576747e-05,-0.012793449221810811,-0.00091384255817384503,-0.00080974527279627966,-0.00076883563375955432,-0.00040337111722586446,0.55401721928453784,2.4937752155229403e-29,0.39272489451585474,0.25520816235954452,0.22500000000000001,0.030208162359544516,-0.00017650441335406933,-2.6110666164821482e-05,-4.7651958831145735e-05,-7.6645080247330938e-05,-0.00011363347168432622,-0.00015887899427853859,-0.00015621790301667185,-0.00075564248757690414,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.8945309881087,129.8945309881087,1.7266257747776175e-28,0.079184399448570669,9.3579539642319439e-31,1.7266257747776175e-28,0.079184399448570669,9.3579539642319439e-31,false,-2.3800005506811761e-30,-0.0031086755850298926,-1.2915394508317736e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10211088012079141,7.7687692137917234e-29,0.0072882720387840005,0.9999282215946107,1.9825820262509304e-32,0.011981304546630189,0.52500000000000002,0,0.39000000000000012,1,0,0,0.029017219284537821,0.0027248945158546145,0.029144880598991792,0.029144880598991792,0.10237065374585606,0.011981591221173411,0.68649460882423452
10.484999999999999,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29894908254211161,3.1919067845306449e-29,3.1998583427988017,0.027992703787878985,5.9672252685527232e-29,-3.3450448704645637e-05,0.9999987403276569,-1.1737851909966327e-30,-0.0015872438687431242,-3.0302274605173538e-33,-0.0075779060049165027,-0.00046660519269677649,-0.00054039418550673208,-0.00035186302994239183,-1.4196820668243375e-05,-0.012654210946098867,-0.0009094640231303554,-0.00080148777225545775,-0.00076219355726229229,-0.00040249340284309989,0.55452627671866694,2.5326743859469443e-29,0.39276122454007917,0.25557719417655533,0.22500000000000001,0.030577194176555328,-0.00017621956669626267,-2.5983536008825048e-05,-4.7285918212786552e-05,-7.5927096954641262e-05,-0.00011243963015254905,-0.00015708308734377365,-0.00015445844581647245,-0.00074939728118531067,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89441689595171,129.89441689595171,1.7275060650897024e-28,0.079737542447760976,9.5285791404518561e-31,1.7275060650897024e-28,0.079737542447760976,9.5285791404518561e-31,false,-2.3475696340705815e-30,-0.0031744890704250546,-2.3342923533521556e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10151093502278086,7.7908722929188125e-29,0.0072436287244108952,0.99992648757983393,1.867861279810474e-32,0.012125157164186528,0.52500000000000002,0,0.39000000000000012,1,0,0,0.029526276718666922,0.0027612245400790436,0.029655107112064642,0.029655107112064642,0.10176905269430558,0.012125454289472449,0.69473735546557169
10.49,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29908898042144599,3.2217637070231888e-29,3.1998581825677963,0.027966091839669471,5.9755170187220991e-29,-3.0632610255693784e-05,0.99999868782610535,-1.1574481963782964e-30,-0.0016199833537356488,-3.5678114040287351e-33,-0.0076408272580752168,-0.00047114133840416104,-0.0005443808171298459,-0.00035565731371354646,-1.6207046847843285e-05,-0.012513413046344332,-0.00090506005412366525,-0.00079323039516945675,-0.00075553745479153638,-0.00040159362582907715,0.55503231710211554,2.5716836878295304e-29,0.3927973295932552,0.25594333668066954,0.22500000000000001,0.030943336680669536,-0.00017590799635390839,-2.5853062429066007e-05,-4.6914662168149812e-05,-7.5201928695455011e-05,-0.00011123659139993481,-0.00015527590747186915,-0.00015268658562972868,-0.00074307673414811194,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89430092248043,129.89430092248043,1.728331752177645e-28,0.080283701052241474,9.6983955963627803e-31,1.728331752177645e-28,0.080283701052241474,9.6983955963627803e-31,false,-2.3148939457854532e-30,-0.0032399681246052833,-3.3855375926356501e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10090406918383782,7.8128216012517568e-29,0.0071982842273915866,0.99992474680048715,1.7513790641463866e-32,0.012267874142723664,0.52500000000000002,0,0.39000000000000012,1,0,0,0.030032317102115513,0.0027973295932550712,0.030162312964613979,0.030162312964613979,0.10116049858356296,0.012268181884245265,0.70291504426610751
10.495000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.2992287399266092,3.2516616828110167e-29,3.1998580364533145,0.027937354896785602,5.9836463864947989e-29,-2.7803862881039442e-05,0.99999863453008708,-1.1409887977449696e-30,-0.0016525549794640184,-4.1081210610876789e-33,-0.0077030406459585579,-0.00047565538793857554,-0.00054832615290351192,-0.00035941828521080785,-1.8212722231568795e-05,-0.012371076060102406,-0.00090062365161142056,-0.00078496773566954516,-0.00074886848911761216,-0.0004006732814285063,0.55553530597160128,2.6108023485306599e-29,0.39283320617705353,0.25630656604499208,0.22500000000000001,0.031306566044992074,-0.0001755698259923745,-2.5719291094967181e-05,-4.6538315740067772e-05,-7.446980768268459e-05,-0.0001100247256102217,-0.00015345799826641622,-0.00015090287193875399,-0.00073668283632548597,-0.038523026020965162,-0.038523026020965162,false,0.0195,lqr,false,0,0,0,0,0,-0.038523026020965162,false,129.89418311191903,129.89418311191903,1.729102531588832e-28,0.080822904160300982,9.8673746934348602e-31,1.729102531588832e-28,0.080822904160300982,9.8673746934348602e-31,false,-2.281973365581738e-30,-0.003305111463271592,-4.4451617436136105e-33,-0.038523026020965162,0.03500522556226273,setpoint_issued,0.10029033884833613,7.8346156242982725e-29,0.0071522415770505126,0.99992299985894151,1.6331469550269115e-32,0.012409446123628536,0.52500000000000002,0,0.39000000000000012,1,0,0,0.030535305971601256,0.0028332061770534045,0.030666463246044544,0.030666463246044544,0.10054504774423537,0.012409764643140505,0.71102713880262314
10.5,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29936835044395854,3.2815998972288629e-29,3.1998579045078128,0.02790649748288928,5.9916122704653424e-29,-2.4965044756062929e-05,0.99999858045705747,-1.1244069390391766e-30,-0.0016849581207648832,-4.651094456645384e-33,-0.0077645385237045785,-0.00048014716525288738,-0.00055223015383453942,-0.0003631458806019207,-2.0213746483032995e-05,-0.012227220151797861,-0.00089614949589231305,-0.00077669483148521887,-0.0007421866971435028,-0.0003997332861282372,0.55603520914619586,2.6500295878318404e-29,0.39286885080830042,0.25666685870223732,0.22500000000000001,0.031666858702237316,-0.00017520518471024634,-2.5582267782928427e-05,-4.615700402033393e-05,-7.3730967316966342e-05,-0.00010880440531042503,-0.00015162990567499363,-0.00014910785717405336,-0.0007302175919899471,-0.037557446581195225,-0.037557446581195225,false,0.0206,lqr,false,0,0,0,0,0,-0.037557446581195225,false,129.89402042690003,129.89402042690003,1.7298184216461637e-28,0.082877196712732734,1.0226961665972172e-30,1.7298184216461637e-28,0.082877196712732734,1.0226961665972172e-30,false,-2.2488077810995265e-30,-0.0033699178361109418,-5.5130498064988084e-33,-0.037557446581195225,0.034208953657559299,setpoint_issued,0.099669800713749757,7.8562528451738015e-29,0.0071055038117897257,0.99992124735785448,1.5131769259159143e-32,0.01254986383640987,0.52500000000000002,0,0.39000000000000012,1,0,0,0.031035209146195841,0.0028688508083002939,0.031167523348967004,0.031167523348967004,0.099922756961254577,0.012550193291765221,0.71907310769154498
10.505000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29950780145011935,3.3115775300894112e-29,3.1998577867297722,0.027873551923124216,5.9994135632320899e-29,-2.2136918248596988e-05,0.99999852564119984,-1.1077025689495691e-30,-0.0017171824088320997,-5.1965876429048379e-33,-0.0078253388266308222,-0.0004846138056172977,-0.00055609009624365364,-0.00036683912724436559,-2.2209977819641812e-05,-0.012092014231696185,-0.00089061761631789051,-0.00076735832393228908,-0.00073511146401976314,-0.0003987476730222959,0.55653199274124854,2.6893646220753232e-29,0.39290425993462608,0.25702419129112919,0.22500000000000001,0.032024191291129184,-0.000174814549448553,-2.5440315014588156e-05,-4.5770224108041461e-05,-7.2985778767503115e-05,-0.0001075762953901713,-0.00014979233004350689,-0.00014730211122656231,-0.00072368160399892618,-0.037557446581195225,-0.037557446581195225,false,0.0206,lqr,false,0,0,0,0,0,-0.037557446581195225,false,129.89389917661529,129.89389917661529,1.7304784724888169e-28,0.083347944970479135,1.0387986878470929e-30,1.7304784724888169e-28,0.083347944970479135,1.0387986878470929e-30,false,-2.2153970897704507e-30,-0.0034343665054938554,-6.5889440891457306e-33,-0.037557446581195225,0.034208953657559299,setpoint_issued,0.09904251728763408,7.8777334039333744e-29,0.0070580400708227129,0.99991948990404556,1.3914997157641163e-32,0.012689117779943106,0.52500000000000002,0,0.39000000000000012,1,0,0,0.031531992741248516,0.0029042599346259523,0.031665458973493862,0.031665458973493862,0.099293686407105633,0.012689458324942848,0.72705240632637236
10.51,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29964708245829924,3.3415937556989406e-29,3.1998576831137151,0.027838499394125263,6.0070491696332762e-29,-1.930028056828789e-05,0.99999847011726972,-1.090875640115747e-30,-0.0017492178589279153,-5.7444585563969498e-33,-0.0078854578607458516,-0.00048905344453081844,-0.00055990364178605176,-0.00037049677672698053,-2.4201119822451953e-05,-0.011954733661488403,-0.00088533062097648186,-0.000758133971751963,-0.00072795524244567103,-0.00039770019422661587,0.55702562317268223,2.7288066598436947e-29,0.39293943002144516,0.25737854071438299,0.22500000000000001,0.032378540714382981,-0.00017439776103668418,-2.5295210283191228e-05,-4.5378587019480129e-05,-7.2234211615041123e-05,-0.00010634044080463096,-0.00014794567156975325,-0.00014548618886964408,-0.00071707807119842498,-0.037557446581195225,-0.037557446581195225,false,0.0206,lqr,false,0,0,0,0,0,-0.037557446581195225,false,129.89377622626608,129.89377622626608,1.7310827043157055e-28,0.083813247789767245,1.0548303537363396e-30,1.7310827043157055e-28,0.083813247789767245,1.0548303537363396e-30,false,-2.181741197011395e-30,-0.00349843750192238,-7.6725881855829616e-33,-0.037557446581195225,0.034208953657559299,setpoint_issued,0.098408544904391507,7.8990540589996242e-29,0.0070098893016755856,0.99991772810438029,1.2681457607707394e-32,0.012827198547411154,0.52500000000000002,0,0.39000000000000012,1,0,0,0.032025623172682205,0.0029394300214450331,0.032160236137964093,0.032160236137964093,0.098657895062794584,0.012827550331631063,0.73496449549409937
10.515000000000001,task_acquire_calm,-1,free_flight_controlled,0,0,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.29978618294990772,3.3716477428728675e-29,3.1998575937001492,0.027801346387417651,6.0145179884939705e-29,-1.6455953759401583e-05,0.99999841390316735,-1.0739261083487067e-30,-0.0017810646113417929,-6.2946484289858352e-33,-0.0079448854594542789,-0.00049346707376765142,-0.0005636713259631115,-0.00037411852501825467,-2.6186900059546916e-05,-0.011815457971830725,-0.00088020121806989498,-0.00074901110735520681,-0.0007207559400350896,-0.00039660507021844322,0.55751606714048396,2.7683548978145232e-29,0.39297435765062566,0.25772988419057624,0.22500000000000001,0.032729884190576236,-0.0001739549914875722,-2.5147018923036388e-05,-4.4982254456759622e-05,-7.1476505642427998e-05,-0.0001050971949692567,-0.00014609046520218228,-0.00014366064998205545,-0.00071040908066329067,-0.037557446581195225,-0.037557446581195225,false,0.0206,lqr,false,0,0,0,0,0,-0.037557446581195225,false,129.89365162124184,129.89365162124184,1.7316308140786862e-28,0.084273099217022168,1.0707877352499753e-30,1.7316308140786862e-28,0.084273099217022168,1.0707877352499753e-30,false,-2.147840014362869e-30,-0.0035621311059787406,-8.7638689179108488e-33,-0.037557446581195225,0.034208953657559299,setpoint_issued,0.097767941518751275,7.9202132887001553e-29,0.0069610581182473295,0.99991596256064763,1.1431269064013139e-32,0.012964097207815231,0.52500000000000002,0,0.39000000000000012,1,0,0,0.03251606714048394,0.0029743576506255365,0.032651821170009712,0.032651821170009712,0.098015441227082098,0.012964460376528049,0.74280886323964335
