time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad
4.3650000000000002,approach_stop,-1,free_flight_controlled,0,0,0,2.1487500000000002,0.75,0,0,3.2000000000000002,0,2.3893372342361276,0,3.1948316816041484,0.70485275309530815,0,0.01046163727816605,0.99893404942379949,0,-0.046160209074158499,0,-0.099261942200062958,-0.0064909497681544049,-0.0053800388883412046,-0.0043144906876980632,-0.0048937463688623921,0.01094935281514822,0.0019837450519804797,0.0012287602895693281,0.0016678967891208428,0.00048827486300408472,3.1495494640074666,0,0.48619821324033369,0.76021222977133895,0.22500000000000001,0.53521222977133898,-0.13143729792465816,-0.0093206845030475178,-0.0094584812736791726,-0.0095770981145986648,-0.009678446439948047,-0.0097651275272732478,-0.012829220845603182,-0.192066356628808,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.51383860808343,129.51383860808343,0,1.0809749146521084,0,0,1.0809749146521084,0,false,0,-0.092353235142234119,0
4.3700000000000001,approach_stop,-1,free_flight_controlled,0,0,0,2.1524999999999999,0.75,0,0,3.2000000000000002,0,2.3928541688543379,0,3.1948839383856504,0.70192010820347039,0,0.010440981802656546,0.99893146070839478,0,-0.046216196370890437,0,-0.099204832532914525,-0.0064804972849101458,-0.005373880922190234,-0.0043058732162209561,-0.0048912945223749367,0.011894031371091515,0.0021964107497943514,0.0012343028606295538,0.0017800703518764619,0.00049244807928506098,3.1531892711876295,0,0.48627881002120094,0.7603351023332916,0.22500000000000001,0.53533510233329162,-0.13036979251876277,-0.0092182330647124673,-0.0093215900273060648,-0.0094041653719526899,-0.0094685865277329851,-0.0095175296305129858,-0.012474666286411985,-0.18977456342739196,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.51117047682939,129.51117047682939,0,1.0717098861765308,0,0,1.0717098861765308,0,false,0,-0.092465329367662899,0
4.375,approach_stop,-1,free_flight_controlled,0,0,0,2.15625,0.75,0,0,3.2000000000000002,0,2.3963564256163399,0,3.1949360886051648,0.69898166168474596,0,0.01041900403208962,0.99892904890675549,0,-0.046268296383642001,0,-0.099142820867715323,-0.0064690693491025481,-0.0053676943445246043,-0.0042966737013022636,-0.004888822278224729,0.012910088963275182,0.0023739376528151947,0.0012402231578864725,0.0019006437957376373,0.00049646579823316834,3.1567786488143219,0,0.48634886227194696,0.76042222319798203,0.22500000000000001,0.53542222319798205,-0.12930264158427437,-0.009116322144231255,-0.0091855606529874911,-0.0092327817996369996,-0.0092610546931119232,-0.0092731401848921598,-0.012124771014370829,-0.187496272073505,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.50862764323495,129.50862764323495,0,1.0626376511492288,0,0,1.0626376511492288,0,false,0,-0.092569640979988183,0
4.3799999999999999,approach_stop,-1,free_flight_controlled,0,0,0,2.1600000000000001,0.75,0,0,3.2000000000000002,0,2.3998439762651635,0,3.1949881256267698,0.69603771114302848,0,0.01039569387752701,0.9989268094943673,0,-0.046316619840009628,0,-0.099075555434996979,-0.0064568394067228956,-0.0053614771337938735,-0.0042868514535237042,-0.0048863299785699577,0.013995413897962574,0.002517323561715122,0.0012465589000711401,0.0020290683706963185,0.00050049277608729898,3.1603176006424651,0,0.48640836160337969,0.76047362437730159,0.22500000000000001,0.53547362437730162,-0.12823607166730455,-0.0090149578403412554,-0.0090504063543805965,-0.0090629564595825062,-0.0090558596790693141,-0.0090319714086020911,-0.01177958201097693,-0.18523180542025725,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.50620951392185,129.50620951392185,0,1.0537532045178291,0,0,1.0537532045178291,0,false,0,-0.092666391616236549,0
4.3849999999999998,approach_stop,-1,free_flight_controlled,0,0,0,2.1637499999999998,0.75,0,0,3.2000000000000002,0,2.403316793989239,0,3.1950400427592931,0.69308853722986119,0,0.010371039338078232,0.99892473802138737,0,-0.046361274452956611,0,-0.099002695820771716,-0.0064439745259241028,-0.0053552272736414452,-0.0042763689164123922,-0.0048838172642734256,0.015147580346851755,0.0026281120558609926,0.0012532769709159368,0.0021646361622602132,0.00050464810934211187,3.1638061333090177,0,0.48645730187734165,0.76048933931977869,0.22500000000000001,0.53548933931977871,-0.12717029830864016,-0.0089141477882730986,-0.0089161423671645819,-0.008894698126721768,-0.0088530089435297863,-0.0087940343706932409,-0.011439144321083094,-0.18298147422610572,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.50391560007941,129.50391560007941,0,1.0450515281495012,0,0,1.0450515281495012,0,false,0,-0.092755796883600028,0
4.3899999999999997,approach_stop,-1,free_flight_controlled,0,0,0,2.1674999999999995,0.75,0,0,3.2000000000000002,0,2.4067748533390758,0,3.1950918332470182,0.69013440422380123,0,0.010345026609542252,0.99892283011601046,0,-0.046402364950723266,0,-0.098923914465418816,-0.0064306328126345104,-0.0053489430204708274,-0.0042651924977395797,-0.0048812832605958064,0.016363877362792576,0.0027083349835232626,0.0012603055798420032,0.0023064689997479119,0.00050902092852547092,3.1672442563217906,0,0.4864956792628215,0.76046940298271481,0.22500000000000001,0.53546940298271484,-0.1261055264365307,-0.0088139009556122347,-0.0087827857239308315,-0.0087280153053607441,-0.0086525087583289063,-0.0085593390764592443,-0.011103501046381954,-0.1807455773026046,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.50174551492802,129.50174551492802,0,1.0365275975930801,0,0,1.0365275975930801,0,false,0,-0.092838066418906309,0
4.3950000000000005,approach_stop,-1,free_flight_controlled,0,0,0,2.1712500000000006,0.75,0,0,3.2000000000000002,0,2.4102181301465171,0,3.1951434902609366,0.68717556018757608,0,0.010317640180518591,0.99892108148746783,0,-0.04643999310839643,0,-0.098838898228251912,-0.006416960487270933,-0.005342622882813711,-0.0042532955308825999,-0.0048787244670034976,0.017641073485720402,0.0027612285167098014,0.0012677476626164806,0.0024509108921844259,0.00051644195147032784,3.1706319820813538,0,0.48652349212737867,0.76041385193483668,0.22500000000000001,0.5354138519348367,-0.12504195060343026,-0.0087142290597203281,-0.008650355115255904,-0.0085629089671675207,-0.0084543644501883768,-0.0083279010619353357,-0.010772693257388419,-0.17852440251508617,-0.32196332247984205,-0.32196332247984205,false,0.0041999999999999997,pid,false,0.24119866932355638,-0.036387363915422077,0.015427066099115089,0,-0.32196332247984205,-0.32196332247984205,false,129.49969897155751,129.49969897155751,0,1.0281763816339349,0,0,1.0281763816339349,0,false,0,-0.092913403951433604,0
4.4000000000000004,approach_stop,-1,free_flight_controlled,0,0,0,2.1750000000000003,0.75,0,0,3.2000000000000002,0,2.4136466014398792,0,3.1951950068903461,0.68421223609925674,0,0.010288862924352958,0.99891948792904317,0,-0.046474257773289,0,-0.098747354318227135,-0.0064030759365646785,-0.0053362626334379458,-0.0042407054401123597,-0.0048760854521799086,0.018974443518111117,0.0027942033307915021,0.0012763927871463237,0.0025817177073361444,0.00054309514032055406,3.1739693265544919,0,0.48654073771748529,0.76032272511461274,0.22500000000000001,0.53532272511461276,-0.12397975484886199,-0.0086151524272550604,-0.0085188704448061064,-0.0083993451498249015,-0.0082585816453848819,-0.0080997659625431911,-0.010446759418238185,-0.17631822989691431,-0.2661525268995793,-0.2661525268995793,false,0.0044000000000000003,pid,false,0.23864660143987892,-0.065787763900743257,0.027359396171109038,0,-0.2661525268995793,-0.2661525268995793,false,129.42916708845112,129.42916708845112,0,1.1078698039467714,0,0,1.1078698039467714,0,false,0,-0.092982007353354143,0
4.4050000000000002,approach_stop,-1,free_flight_controlled,0,0,0,2.17875,0.75,0,0,3.2000000000000002,0,2.4170602522752573,0,3.1952463046483737,0.68124743744840399,0,0.010230086181490426,0.99891807173107061,0,-0.04650468760329609,0,-0.098650793001603329,-0.0063883513807074938,-0.0053298750414304688,-0.0042275899049779818,-0.004873224095153365,0.019649415471633822,0.0030945513695764346,0.0012795065291710723,0.0026621074171668591,0.00060472414074281297,3.1772563187422818,0,0.48654736817365007,0.76019606646702442,0.22500000000000001,0.53519606646702444,-0.12291989179498608,-0.008515615247874855,-0.0083886916018899235,-0.0082373817829588056,-0.0080651779521455549,-0.0078750359402265657,-0.010125853659164531,-0.17412764797924632,-0.2661525268995793,-0.2661525268995793,false,0.0044000000000000003,pid,false,0.23864660143987892,-0.065787763900743257,0.027359396171109038,0,-0.2661525268995793,-0.2661525268995793,false,129.42865409366607,129.42865409366607,0,1.0966749976586416,0,0,1.0966749976586416,0,false,0,-0.093042932887279772,0
4.4100000000000001,approach_stop,-1,free_flight_controlled,0,0,0,2.1825000000000001,0.75,0,0,3.2000000000000002,0,2.4204590692341457,0,3.1952973065189436,0.67827874645742758,0,0.010170501126097332,0.99891685434535626,0,-0.046530829616279801,0,-0.09855064077586638,-0.0063722333510330929,-0.0053234580254482864,-0.0042140939541569482,-0.0048700111118166207,0.020410842688562154,0.0033515879202138123,0.0012877968627807912,0.0027343499544797384,0.00068350245377443958,3.180492990305769,0,0.48654333857618515,0.76003392107162338,0.22500000000000001,0.5350339210716234,-0.12186136059375703,-0.008416688379090511,-0.0082594118195072428,-0.0080769855025145509,-0.007874164401831845,-0.0076536192221978881,-0.0098098876951820055,-0.17195211761408105,-0.2661525268995793,-0.2661525268995793,false,0.0044000000000000003,pid,false,0.23864660143987892,-0.065787763900743257,0.027359396171109038,0,-0.2661525268995793,-0.2661525268995793,false,129.42826687715217,129.42826687715217,0,1.0857207363708361,0,0,1.0857207363708361,0,false,0,-0.093095273573972182,0
