controller,candidate_id,scenario,final_tip_speed_m_s,tip_speed_rms_m_s,task_acquired,old_speed_gate_pass,new_speed_gate_pass,speed_gate_changed
ITS-RMPC,its_024,task_acquire_crosswind,0.00925909139044829,0.18259512110492507,True,False,True,True
ITS-RMPC,its_025,task_acquire_calm,7.814699183457225,5.836602713874007,False,False,False,False
ITS-RMPC,its_025,task_acquire_crosswind,4.849094474421797,3.212407452685847,False,False,False,False
ITS-RMPC,its_026,task_acquire_calm,1.362634789791832e-06,1.2862739229319827e-06,False,True,True,False
ITS-RMPC,its_026,task_acquire_crosswind,1.0416504329096392,0.544527602456281,False,False,False,False
ITS-RMPC,its_027,task_acquire_calm,2.303531199819202,2.1074442728152034,False,False,False,False
ITS-RMPC,its_027,task_acquire_crosswind,2.098590751294484,1.6506921107363905,False,False,False,False
ITS-RMPC,its_028,task_acquire_calm,3.322638516569418,2.1398883102425796,False,False,False,False
ITS-RMPC,its_028,task_acquire_crosswind,2.820006584541898,1.6751439686473417,False,False,False,False
ITS-RMPC,its_029,task_acquire_calm,7.814698989911552,5.836602729261656,False,False,False,False
ITS-RMPC,its_029,task_acquire_crosswind,4.849110507419851,3.2124460849517047,False,False,False,False
ITS-RMPC,its_030,task_acquire_calm,1.2893708241800615e-07,1.1870726018554782e-07,False,True,True,False
ITS-RMPC,its_030,task_acquire_crosswind,1.0416513739249231,0.5445278537595903,False,False,False,False
ITS-RMPC,its_031,task_acquire_calm,2.434586898166477,2.0278550634214394,False,False,False,False
ITS-RMPC,its_031,task_acquire_crosswind,3.648337709536313,1.7082357778978294,False,False,False,False
ITS-RMPC,its_032,task_acquire_calm,0.8836806523342646,2.0656750732416698,False,False,False,False
ITS-RMPC,its_032,task_acquire_crosswind,3.8703009998905897,1.704166194361503,False,False,False,False
