time,scenario,seed,protocol_mode,wind_x,wind_y,wind_z,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,uav_qw,uav_qx,uav_qy,uav_qz,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,tip_x,tip_y,tip_z,tip_relative_x,tip_equilibrium_relative_x,tip_displacement,wind_force_quad_x,wind_force_link_1_x,wind_force_link_2_x,wind_force_link_3_x,wind_force_link_4_x,wind_force_link_5_x,wind_force_cutter_x,wind_force_total_x,ax_cmd_raw,ax_cmd_limited,ax_saturated,solve_time_ms,controller,anchor_active,position_error_x,velocity_error_x,pid_integral_x,ax_reference_feedforward,ax_pid_feedback,ax_cmd_amplitude_limited,ax_slew_limited,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,inner_loop_saturated,roll_rad,pitch_rad,yaw_rad,lqr_feedback_ax,lqr_state_norm
2.1750000000000003,approach_stop,-1,free_flight_controlled,0,0,0,0.5062500000000002,0.75,0,0,3.2000000000000002,0,0.25858639249483945,-1.5149481296356182e-30,3.2006793598726104,0.61983239596023387,-1.1899359347768744e-30,-0.0097910635600028766,0.99958514334704007,-3.2167981998125481e-32,0.028801756888715505,-9.1631967263883656e-33,0.024312426760582762,0.0025076327635969223,0.0013211750607025898,0.00069636387893951229,0.00015392379391612548,0.22987120597227581,0.019871903610480145,0.019507294497008262,0.012138405618414755,0.0017449157678011333,0.25054569464723719,-1.6976411000468572e-30,0.38091490889065038,-0.0080406978476022517,0.22500000000000001,-0.23304069784760226,-0.095793153581251858,-0.0067492111356667311,-0.0051585265387059107,-0.0036195058205034953,-0.0022498765002388747,-0.0011720046419989199,-0.00066040454467813133,-0.11540268276304391,0.25622253753636826,0.25622253753636826,false,0.0092999999999999992,lqr,false,-0.2442578493944797,-0.14246996038060322,0,0,0,0.25622253753636826,false,130.28128930909182,130.28128930909182,-2.912779424149196e-30,0.11778013253621761,4.2896586901147044e-32,-2.912779424149196e-30,0.11778013253621761,4.2896586901147044e-32,false,-6.4944854988302017e-32,0.057611480833162559,-2.0205301681150174e-32,0.25622253753636826,0.39113591271586701
2.1800000000000002,approach_stop,-1,free_flight_controlled,0,0,0,0.51000000000000012,0.75,0,0,3.2000000000000002,0,0.26169140963558352,-1.5208885702551726e-30,3.20063044853927,0.62216769752318513,-1.1862282569622279e-30,-0.009772719611838579,0.99959132894750613,-3.2896460551393745e-32,0.028586274555426686,-9.1485663379372039e-33,0.025455269650916486,0.0026058163192128848,0.0014187482580639843,0.00075835830901208805,0.00016385246008498013,0.22725753284672839,0.019398185851696718,0.019515000717144491,0.012653184353684533,0.0022437366518141661,0.25148564548156144,-1.7076428312155264e-30,0.38083380504878428,-0.010205764154022079,0.22500000000000001,-0.23520576415402208,-0.096442470502076244,-0.0067969387317537242,-0.0052111473774048888,-0.0036746807967884894,-0.0023005114551955088,-0.0012113984770359091,-0.00069242740305652524,-0.11632957474331131,0.25622253753636826,0.25622253753636826,false,0.0092999999999999992,lqr,false,-0.2442578493944797,-0.14246996038060322,0,0,0,0.25622253753636826,false,130.28478921842938,130.28478921842938,-2.8950478506516596e-30,0.11230189475642849,4.5520581081883667e-32,-2.8950478506516596e-30,0.11230189475642849,4.5520581081883667e-32,false,-6.6397597224091003e-32,0.05718033863948313,-2.0203449184785265e-32,0.25622253753636826,0.39113591271586701
2.1850000000000001,approach_stop,-1,free_flight_controlled,0,0,0,0.51375000000000004,0.75,0,0,3.2000000000000002,0,0.26480800241737673,-1.5268102993106343e-30,3.2005816433886571,0.62446276144492563,-1.1824512740676184e-30,-0.0097485882379719467,0.99959734376390252,-3.3627032499585595e-32,0.028375171191561039,-9.1343114832831813e-33,0.026585028647365099,0.0027015354464491512,0.0015162666191803353,0.00082282695831688811,0.00017653249085502166,0.22463708926432013,0.018887885390790206,0.019484714482913942,0.01312752313890583,0.0028451304334400924,0.25244709323850945,-1.717638380305526e-30,0.38075430948205807,-0.012360909178867285,0.22500000000000001,-0.23736090917886729,-0.097082379695943355,-0.0068437724118765456,-0.0052631770087585607,-0.0037299199177227701,-0.0023519805272880488,-0.0012518952934406384,-0.0007256277266064334,-0.11724875258163635,0.25622253753636826,0.25622253753636826,false,0.0092999999999999992,lqr,false,-0.2442578493944797,-0.14246996038060322,0,0,0,0.25622253753636826,false,130.28795652869678,130.28795652869678,-2.87712287553174e-30,0.10656779285961937,4.8134516916512178e-32,-2.87712287553174e-30,0.10656779285961937,4.8134516916512178e-32,false,-6.7854626385637124e-32,0.0567579605698941,-2.0202144125712989e-32,0.25622253753636826,0.39113591271586701
2.1899999999999999,approach_stop,-1,free_flight_controlled,0,0,0,0.51749999999999996,0.75,0,0,3.2000000000000002,0,0.2679359712695753,-1.5327129698560405e-30,3.2005329730656631,0.62671823558581286,-1.178604818060403e-30,-0.0097187867719015029,0.9996031894086943,-3.4359687298470905e-32,0.028168488137735315,-9.1204381634207231e-33,0.027701666698592194,0.0027946309274463192,0.0016135313138396631,0.00088955976377763451,0.0001924706112094645,0.22200858085228442,0.018350446886232375,0.019412932014817939,0.013558444325394572,0.0035464030399411824,0.25343027785826355,-1.7276273380705789e-30,0.38067638096451739,-0.014505693411311749,0.22500000000000001,-0.23950569341131175,-0.09771301577982755,-0.0068897436132326281,-0.0053146243543340591,-0.0037851956388655966,-0.0024042680799749886,-0.0012935064937287144,-0.00076003423410403047,-0.11816038819406756,0.25622253753636826,0.25622253753636826,false,0.0092999999999999992,lqr,false,-0.2442578493944797,-0.14246996038060322,0,0,0,0.25622253753636826,false,130.29079625158781,130.29079625158781,-2.8590041009013093e-30,0.10058944407369352,5.0735758367914683e-32,-2.8590041009013093e-30,0.10058944407369352,5.0735758367914683e-32,false,-6.9315923270925737e-32,0.05634442916139374,-2.0201417225569181e-32,0.25622253753636826,0.39113591271586701
2.1949999999999998,approach_stop,-1,free_flight_controlled,0,0,0,0.52124999999999988,0.75,0,0,3.2000000000000002,0,0.27107511987418598,-1.538596234109032e-30,3.2004844656264457,0.62893477312022383,-1.1746887224214418e-30,-0.0096834333756593959,0.99960886759793566,-3.5094414209107082e-32,0.027966262166631541,-9.1069516025857802e-33,0.028805139928471505,0.0028849900977207972,0.0017103268694273917,0.00095833417461825196,0.00021215656124372827,0.21937059306236939,0.017794992691292224,0.019296549541405812,0.013943906166192914,0.0043434674872269048,0.25443543871545904,-1.7376092932031615e-30,0.38059998011379437,-0.016639681158726938,0.22500000000000001,-0.24163968115872694,-0.098334518037861696,-0.0069348847458721892,-0.0053655013481837257,-0.0038404834929227456,-0.0024573570970106906,-0.001336241506314154,-0.00079567583334307036,-0.11906466206150827,0.25622253753636826,0.25622253753636826,false,0.0092999999999999992,lqr,false,-0.2442578493944797,-0.14246996038060322,0,0,0,0.25622253753636826,false,130.29331349280591,130.29331349280591,-2.8406911397906566e-30,0.094378214834770158,5.3321762086933491e-32,-2.8406911397906566e-30,0.094378214834770158,5.3321762086933491e-32,false,-7.0781468130934188e-32,0.055939817815228013,-2.0201297681547341e-32,0.25622253753636826,0.39113591271586701
2.2000000000000002,approach_stop,-1,free_flight_controlled,0,0,0,0.52500000000000013,0.75,0,0,3.2000000000000002,0,0.2742252551920083,-1.5444597434584889e-30,3.2004361485343904,0.63111303236025473,-1.1707028221715245e-30,-0.0096426469966457637,0.99961438014107573,-3.5831202292255052e-32,0.02776852562115488,-9.0938562645226968e-33,0.029895397340927419,0.0029725444598363822,0.0018064238710498674,0.0010289194742604106,0.00023605633517521094,0.21672171046803057,0.017230021827267551,0.01913313460902006,0.014282661460983476,0.0052309272139415665,0.25546281461937737,-1.7475838322950036e-30,0.38052506993203156,-0.018762440572630934,0.22500000000000001,-0.24376244057263094,-0.098947030229147942,-0.0069792285082412205,-0.005415822725674738,-0.0038957624220599648,-0.0025112291942926898,-0.0013801077369281179,-0.00083258159400154531,-0.11996176241034623,0.30892549733061592,0.30892549733061592,false,0.010699999999999999,lqr,false,-0.25077474480799183,-0.11888696763974527,0,0,0,0.30892549733061592,false,130.33425154472388,130.33425154472388,-2.822314754625688e-30,0.17065791006989678,3.4439244955103591e-32,-2.822314754625688e-30,0.17065791006989678,3.4439244955103591e-32,false,-7.2251240664540085e-32,0.055544191073581224,-2.020181317694621e-32,0.30892549733061592,0.36754370578509232
2.2050000000000001,approach_stop,-1,free_flight_controlled,0,0,0,0.52875000000000005,0.75,0,0,3.2000000000000002,0,0.27738619091253669,-1.550303145779614e-30,3.2003880871172301,0.63325507148576421,-1.1666458728229305e-30,-0.00958115030847277,0.99961971422672624,-3.6570041609001372e-32,0.02757583959334323,-9.0812783149152754e-33,0.030970682328667311,0.0030580495282702155,0.0019013950012377744,0.0011011233057398445,0.00026459889098173664,0.21338364982652239,0.016970401960474543,0.018851593218231925,0.014588845306058983,0.0062000136270933329,0.25651264663784756,-1.7575505834733021e-30,0.3804516471668451,-0.020873544274689126,0.22500000000000001,-0.24587354427468913,-0.099551328510901926,-0.0070219326464902995,-0.0054658023318562097,-0.0039509949364103921,-0.002565885375044155,-0.0014251214502598538,-0.00087078977410791109,-0.12085185502507076,0.30892549733061592,0.30892549733061592,false,0.010699999999999999,lqr,false,-0.25077474480799183,-0.11888696763974527,0,0,0,0.30892549733061592,false,130.33515239075513,130.33515239075513,-2.8036235335690725e-30,0.16103259553542199,3.776378615328786e-32,-2.8036235335690725e-30,0.16103259553542199,3.776378615328786e-32,false,-7.3725242152128128e-32,0.055158671383300113,-2.0203275099491894e-32,0.30892549733061592,0.36754370578509232
2.21,approach_stop,-1,free_flight_controlled,0,0,0,0.53249999999999997,0.75,0,0,3.2000000000000002,0,0.28055774458907951,-1.5561260881195358e-30,3.2003403453432808,0.63536035404543445,-1.1625187960943892e-30,-0.0095147921092198218,0.99962485806601098,-3.7310922283665681e-32,0.027388741053707547,-9.0693390064435386e-33,0.032029346845248427,0.0031421385610795054,0.0019949294806685452,0.0011747018374971884,0.00029818978607511746,0.21007352192322706,0.016663944186037571,0.018558722785763229,0.014832782545626536,0.007248761598362366,0.25758517516658758,-1.7675091704481813e-30,0.38037971013083038,-0.022972569422491929,0.22500000000000001,-0.24797256942249193,-0.10014737640368555,-0.0070638444489094883,-0.0055152208115568056,-0.0040062115500758798,-0.0026212750580614469,-0.0014712761246239367,-0.00091032080213410019,-0.12173552519904723,0.30892549733061592,0.30892549733061592,false,0.010699999999999999,lqr,false,-0.25077474480799183,-0.11888696763974527,0,0,0,0.30892549733061592,false,130.33575789735542,130.33575789735542,-2.784736083895888e-30,0.15128518613529029,4.103984580158214e-32,-2.784736083895888e-30,0.15128518613529029,4.103984580158214e-32,false,-7.5203473077735622e-32,0.054784332912294717,-2.0205986576235013e-32,0.30892549733061592,0.36754370578509232
2.2149999999999999,approach_stop,-1,free_flight_controlled,0,0,0,0.53624999999999989,0.75,0,0,3.2000000000000002,0,0.28373973450732243,-1.561928219448518e-30,3.2002929471913837,0.637429706514963,-1.1583214350797665e-30,-0.0094437043250107378,0.99962981532808681,-3.8053833109130239e-32,0.027207210572470674,-9.0580321727997768e-33,0.033071532558075913,0.0032245824184626249,0.0020869733034892335,0.0012493489906671375,0.00033720365132052204,0.20679202734898552,0.016312895399810186,0.018255312762573073,0.015016845955954358,0.008367476155562539,0.25868063711573513,-1.7774591691805988e-30,0.38030922897214797,-0.025059097391587293,0.22500000000000001,-0.25005909739158727,-0.10073537235611209,-0.0071049853263351953,-0.0055640885007711043,-0.0040614041383909665,-0.0026773775575225935,-0.0015185725905097003,-0.00095120402980154316,-0.12261300449944319,0.30892549733061592,0.30892549733061592,false,0.010699999999999999,lqr,false,-0.25077474480799183,-0.11888696763974527,0,0,0,0.30892549733061592,false,130.33607464092731,130.33607464092731,-2.7656521125129128e-30,0.14142534841057153,4.42660211548769e-32,-2.7656521125129128e-30,0.14142534841057153,4.42660211548769e-32,false,-7.66859106813834e-32,0.054421136600881694,-2.0209955481188812e-32,0.30892549733061592,0.36754370578509232
2.2200000000000002,approach_stop,-1,free_flight_controlled,0,0,0,0.54000000000000015,0.75,0,0,3.2000000000000002,0,0.28693198307244594,-1.5677091879558662e-30,3.2002459159819932,0.63946395022457092,-1.1540536342731419e-30,-0.009368018259704099,0.99963458966093055,-3.8798762618769358e-32,0.027031225525712979,-9.047351130041487e-33,0.034097383002437393,0.0033051664616196874,0.0021774727257641803,0.0013247748847016092,0.0003819634945082433,0.20353922846131828,0.015920761629368285,0.017940746425028888,0.015145073117955109,0.0095452469993712371,0.25979926880864446,-1.787400153462695e-30,0.3802401782576455,-0.027132714263801483,0.22500000000000001,-0.25213271426380146,-0.10131551569955917,-0.0071453800863327819,-0.0056124183314543996,-0.0041165666324624204,-0.002734172023922234,-0.0015670095603067683,-0.00099346883307331818,-0.12348453116711108,0.30892549733061592,0.30892549733061592,false,0.010699999999999999,lqr,false,-0.25077474480799183,-0.11888696763974527,0,0,0,0.30892549733061592,false,130.33610916816858,130.33610916816858,-2.7463713331606954e-30,0.1314624457592754,4.7440980799086791e-32,-2.7463713331606954e-30,0.1314624457592754,4.7440980799086791e-32,false,-7.8172531606334162e-32,0.054069037006923011,-2.0215188430708536e-32,0.30892549733061592,0.36754370578509232
