candidate_id,controller,index,w_p,w_theta,R,spectral_radius,dare_residual_norm,safe,candidate_usable,position_ratio_mean,orientation_ratio_mean,acquisition_norm_mean,control_rate_ratio_mean,score,competence_pass,approach_position_rmse,crosswind_position_rmse,approach_orientation_rmse,crosswind_orientation_rmse
lqr_001,task_lqr,1,20.0,5.0,0.5,0.9745705757077637,6.680297091269186e-11,True,False,1.21749947091639,0.7886729891250057,1.174090909090909,1.3424937260548868,,False,0.2625352590770632,0.19302092096921067,3.0189007808863733,0.5469585596297522
lqr_002,task_lqr,2,20.0,5.0,1.0,0.9745724207437414,1.8476382788112552e-10,True,False,1.3170259330186007,0.7695134358301046,1.185,1.0134171310703937,,False,0.27475427761134985,0.21377150616103235,2.8371381686078188,0.5532401794634749
lqr_003,task_lqr,3,20.0,5.0,2.0,0.9745760854926611,2.0012702401473413e-10,True,False,1.4301408166487892,0.7545647449825698,1.1968181818181818,0.7926053394494219,,False,0.28763725842538407,0.2378954366312364,2.6840347730495306,0.5601786443901151
lqr_004,task_lqr,4,20.0,20.0,0.5,0.974570578786913,1.3763331349421068e-10,True,False,1.249907992205736,0.7762630676371403,1.148409090909091,1.2481705415219384,,False,0.26724025793350553,0.19938725217513414,2.929548219936644,0.5459054130222714
lqr_005,task_lqr,5,20.0,20.0,1.0,0.9745724230047472,1.505715569733694e-10,True,False,1.3417343344980552,0.761912562018569,1.1563636363636363,0.9743195060853651,,False,0.2785395391045526,0.21851863418804376,2.7846918335499997,0.5521835148281565
lqr_006,task_lqr,6,20.0,20.0,2.0,0.9745760861410777,1.8634259688767073e-10,True,False,1.4490829269561032,0.7499593042766317,1.164090909090909,0.7767033150574696,,False,0.2906863149067643,0.24145553905649744,2.654858632845077,0.5590688459917187
lqr_007,task_lqr,7,20.0,80.0,0.5,0.9745705910764151,7.510508363311473e-11,True,False,1.3589444537340185,0.746774251022825,1.1288636363636364,1.0003209139880178,,False,0.28407791612328276,0.22026415131614194,2.711844791687032,0.5443741512208214
lqr_008,task_lqr,8,20.0,80.0,1.0,0.9745724320289348,1.0836975498641513e-10,True,False,1.4289813002924687,0.7413159329813339,1.1506818181818181,0.8540247977883646,,False,0.2923626974713703,0.23503513135669732,2.640499475461395,0.5496946702490736
lqr_009,task_lqr,9,20.0,80.0,2.0,0.9745760887290887,1.39721906666457e-10,True,False,1.5179900100149286,0.7359685260308078,1.1590909090909092,0.722069881022217,,False,0.3019200524446301,0.25433001324481813,2.565681893161947,0.5557954367739723
lqr_010,task_lqr,10,80.0,5.0,0.5,0.9745678426987195,4.504858771987548e-10,True,False,1.0668399383297906,0.8335603012316328,1.1531818181818183,2.7032790269771514,,False,0.24173359180155243,0.16284935941467443,3.4145287591706017,0.5376941396068519
lqr_011,task_lqr,11,80.0,5.0,1.0,0.9745683876761655,5.450247054222573e-10,True,False,1.1463201386052218,0.8070447326955701,1.1622727272727273,1.874904251324633,,False,0.25203432864448294,0.17912843001062034,3.1957658266300766,0.5404702532109806
lqr_012,task_lqr,12,80.0,5.0,2.0,0.9745694754137696,6.912640054616885e-10,True,False,1.2388907190605547,0.7822090399017269,1.170909090909091,1.3441415086022206,,False,0.2638271045409921,0.19819866455531865,2.9869645973888717,0.5437740078454901
lqr_013,task_lqr,13,80.0,20.0,0.5,0.9745678439582107,3.8200977649065374e-10,True,False,1.0836025289639455,0.8243310694040049,1.1511363636363636,2.5306663719834344,,False,0.2439116885450182,0.16627962400142784,3.34485061464738,0.5374933226772086
lqr_014,task_lqr,14,80.0,20.0,1.0,0.9745683888641785,2.9503743874471844e-10,True,False,1.1585814414379845,0.8010070016892792,1.1368181818181817,1.8074453168011773,,False,0.25369861407036326,0.18159932498343812,3.152339648049427,0.5399495632315697
lqr_015,task_lqr,15,80.0,20.0,2.0,0.9745694764594486,2.5487786584720444e-10,True,False,1.2479005381579515,0.7786690438374344,1.1454545454545455,1.3170544721507578,,False,0.2651207464001669,0.19997629150082732,2.961427365557262,0.543482425069509
lqr_016,task_lqr,16,80.0,80.0,0.5,0.9745678489929028,4.4719529108925565e-10,True,False,1.1418990329441914,0.7962028262670215,1.1304545454545454,2.0423282306429957,,False,0.2519197841800844,0.17797629393238698,3.138310596274981,0.5358307679187608
lqr_017,task_lqr,17,80.0,80.0,1.0,0.9745683936131581,4.5159417414422683e-10,True,False,1.2036022617210969,0.7814822018417884,1.1372727272727272,1.5819584114209775,,False,0.260072036592054,0.19053068620805366,3.013344661641543,0.5380064888724913
lqr_018,task_lqr,18,80.0,80.0,2.0,0.9745694806394576,1.3732524213777791e-09,True,False,1.2820706821858705,0.7666937646382845,1.145,1.2215717737029772,,False,0.2701581435541109,0.20664744342432312,2.8745055711083167,0.5425922702249792
lqr_019,task_lqr,19,320.0,5.0,0.5,0.9745670026071442,7.149222817254435e-10,True,False,2.7441072815267042,3.1823171551599967,1.5,7.585483279097134,,False,1.146096840614881,0.13683186264569108,21.463375812976306,0.5316968314539182
lqr_020,task_lqr,20,320.0,5.0,1.0,0.9745671453276251,2.724644131012611e-10,True,False,1.5441654277090127,1.9643020782983671,1.5,7.161799871590166,,False,0.511226405132377,0.14892303154055483,12.115579878159968,0.5326500420401767
lqr_021,task_lqr,21,320.0,5.0,2.0,0.9745674306163545,1.0886793026486189e-09,True,False,1.068006619660295,0.8332102757787958,1.1529545454545453,2.754823030906362,,False,0.24147202354535935,0.16331036221167275,3.4176524193596265,0.5366457827953128
lqr_022,task_lqr,22,320.0,20.0,0.5,0.9745670029649972,4.160671834791079e-10,True,False,2.6120657406082968,3.2210519061979017,1.5,7.626562481255113,,False,1.075327295254741,0.13865105253045298,21.761057026416236,0.5315930702404276
lqr_023,task_lqr,23,320.0,20.0,1.0,0.9745671456805755,7.438643745163986e-10,True,False,1.6923751932810873,2.130823462355645,1.5,7.035883915255068,,False,0.5844380836191765,0.15022889702813072,13.392414254514007,0.5327278299509907
lqr_024,task_lqr,24,320.0,20.0,2.0,0.9745674309595094,1.3013572408875336e-09,True,False,1.072488847623163,0.8307101582131765,1.1527272727272728,2.7086389733043337,,False,0.24205072918915216,0.1642295903217477,3.3984904264296025,0.5366431468308474
lqr_025,task_lqr,25,320.0,80.0,0.5,0.9745670043961702,7.356275720414747e-10,True,False,2.270994617211972,3.0145949146334354,1.5,6.932243921722044,,False,0.8893932622578643,0.1450349943802242,20.179128458183854,0.531294539431845
lqr_026,task_lqr,26,320.0,80.0,1.0,0.9745671470921372,1.1466956742987436e-09,True,False,1.9248788081314714,2.403058873245996,1.5,6.780896121620181,,False,0.694162043795646,0.15503526307518653,15.478898700164324,0.5330232755918589
lqr_027,task_lqr,27,320.0,80.0,2.0,0.9745674323318874,5.82124284806458e-10,True,False,1.089634462900014,0.821505085227092,1.1504545454545454,2.530555169517694,,False,0.24429457980382444,0.16772963776544586,3.3286018997574875,0.5365137467432126
