candidate_id,controller,index,kp,kd,ki,safe,candidate_usable,position_ratio_mean,orientation_ratio_mean,acquisition_norm_mean,control_rate_ratio_mean,score,competence_pass,approach_position_rmse,crosswind_position_rmse,approach_orientation_rmse,crosswind_orientation_rmse,spectral_radius
pid_001,task_pid,1,0.8,1.0,0.0,True,False,3.182786727063782,3.102311650205874,1.5,12.554377314412848,,False,1.310421932048282,0.30618009736989865,17.007627652709115,3.2254791745868707,
pid_002,task_pid,2,0.8,1.0,0.1,True,False,3.0173982629477845,3.1060253925000056,1.5,12.697570175278324,,False,1.2875949369529511,0.2680963764074693,16.9520548866088,3.246380870551725,
pid_003,task_pid,3,0.8,1.0,0.3,True,False,2.9051401049430763,3.1568670718049354,1.5,12.827558059632421,,False,1.2682780546833714,0.2441195157900757,16.584534602157678,3.444269717884573,
pid_004,task_pid,4,0.8,2.0,0.0,True,False,4.599366776457606,6.163765312599999,1.5,77.875488015283,,False,1.3762705163528,0.6958902988390826,18.297510250754296,9.885537154074363,
pid_005,task_pid,5,0.8,2.0,0.1,True,False,4.59145990053212,6.137915181792577,1.5,78.04582878761154,,False,1.3726724713970302,0.6952974929044475,18.337087860036103,9.817975225186272,
pid_006,task_pid,6,0.8,2.0,0.3,True,False,4.538233106351312,6.1077310837218235,1.5,77.74714785845399,,False,1.3631219951140607,0.6841206986278294,18.474417058492026,9.718638045061649,
pid_007,task_pid,7,0.8,4.0,0.0,True,False,7.640101704173362,7.575413132629176,1.5,123.70773168001428,,False,1.5036432468344276,1.5392605749067523,18.474963729606095,13.05016778282143,
pid_008,task_pid,8,0.8,4.0,0.1,True,False,7.661677529742787,7.564581265276161,1.5,125.08780416457051,,False,1.505907922372048,1.5445781718705023,18.472702285163443,13.026086845597527,
pid_009,task_pid,9,0.8,4.0,0.3,True,False,7.614564758580328,7.598003327804425,1.5,126.56208182048546,,False,1.4863047008903056,1.5401468292339344,18.590402261207473,13.075541392342632,
pid_010,task_pid,10,1.6,1.0,0.0,True,False,5.658067499988832,4.976613708601537,1.5,68.00734317644122,,False,1.8160357718112767,0.7958376902797127,13.738232220050831,8.213870365450886,
pid_011,task_pid,11,1.6,1.0,0.1,True,False,5.893650631638941,5.077867849416856,1.5,65.55012827154319,,False,1.8327762387567905,0.8578121502133965,13.701447459430709,8.45197336270577,
pid_012,task_pid,12,1.6,1.0,0.3,True,False,6.539885387647663,5.325949419442523,1.5,58.56764041208977,,False,1.8695374970732908,1.0323029687887755,13.646288499262536,9.027499521715642,
pid_013,task_pid,13,1.6,2.0,0.0,True,False,5.990299261311922,6.135940279269498,1.5,84.04525252271546,,False,1.5455876075909367,1.0272777585401822,16.686398417330818,10.183934702180796,
pid_014,task_pid,14,1.6,2.0,0.1,True,False,6.08457966006266,6.159053345985493,1.5,85.99779862892869,,False,1.5498483093549613,1.0532745825478196,16.60451636042687,10.254777300027195,
pid_015,task_pid,15,1.6,2.0,0.3,True,False,6.321686968160032,6.252867157863513,1.5,88.56234143684554,,False,1.5480785943078732,1.124770073381038,16.873732237692888,10.407318979563883,
pid_016,task_pid,16,1.6,4.0,0.0,True,False,8.55772482420568,7.243570742896095,1.5,116.59861619950094,,False,1.609016088966316,1.7609828656757354,17.775495166552815,12.453854886011833,
pid_017,task_pid,17,1.6,4.0,0.1,True,False,8.486161047122483,7.267729872343914,1.5,117.75350207547677,,False,1.6102986721780912,1.7390374627574918,17.77706397002991,12.5083442771554,
pid_018,task_pid,18,1.6,4.0,0.3,True,False,8.589618001146594,7.261694803709159,1.5,119.06664742287005,,False,1.6130045487978015,1.7685293783266727,17.780843394573154,12.493796446541992,
pid_019,task_pid,19,3.2,1.0,0.0,True,False,12.555780064355496,6.2564803054504905,1.5,62.570125454551565,,False,2.6587296582639297,2.4377172270141396,12.585619697008692,11.377845567585142,
pid_020,task_pid,20,3.2,1.0,0.1,True,False,12.412333584568854,6.2667023199320475,1.5,62.38903106899566,,False,2.6367024260464027,2.405777744811198,12.58101449458653,11.402083124161669,
pid_021,task_pid,21,3.2,1.0,0.3,True,False,12.479721999606777,6.27756128438409,1.5,63.97173190107418,,False,2.684123078810135,2.402622646629985,12.643511735071147,11.412707644466925,
pid_022,task_pid,22,3.2,2.0,0.0,True,False,11.523577741267452,6.522349952197338,1.5,64.36243296475811,,False,2.432882838313177,2.2408774151331783,13.788470287382543,11.711432292082758,
pid_023,task_pid,23,3.2,2.0,0.1,True,False,11.519120273670378,6.5277043099418774,1.5,63.725535104947284,,False,2.4284549391296686,2.241718600946498,13.786741630776525,11.723974675523609,
