index,kp,kd,ki,safe_gate,score,approach_x_rmse,crosswind_x_rmse,approach_final_x_error,crosswind_final_x_error
1,0.8,1.2,0.03,True,0.2820421091166553,0.13462968616611043,0.18152906008844016,-0.011257431763275427,0.22499077376661683
2,0.8,1.2,0.06,True,0.27308807116205674,0.1397052471269848,0.16914896931055148,-0.004807781186819238,0.18664868356922149
3,0.8,1.2,0.1,True,0.26263045705261306,0.14714899836358075,0.1543257804754089,0.005203900136451889,0.1359810714923333
4,0.8,1.8,0.03,True,0.2716135216857202,0.08529513030263765,0.16396806316401147,-0.022073698197561775,0.21425727443486323
5,0.8,1.8,0.06,True,0.2631730776935458,0.08691597208364542,0.15411695779041826,-0.021765595046574937,0.182536249359486
6,0.8,1.8,0.1,True,0.2530051364439219,0.08925310473282153,0.14198911003172413,-0.021859097984511244,0.14143478588017175
7,0.8,2.4,0.03,True,0.3035156960977525,0.0740795665819469,0.1481535566878729,-0.046554354610591986,0.20979180719378018
8,0.8,2.4,0.06,True,0.29600275330874715,0.07477526474538729,0.14040428103004812,-0.04606291565144183,0.1837231930678022
9,0.8,2.4,0.1,True,0.28712107525984065,0.0757534793085189,0.13074768761200545,-0.04596248871830477,0.15016084716729824
10,1.2,1.2,0.03,True,0.27481154664952073,0.14948582184117382,0.13399284142453374,-0.13415985888681403,0.1618017824616068
11,1.2,1.2,0.06,True,0.27211451113207874,0.15468062206362623,0.12656189394219353,-0.13893219040444071,0.13996717353436353
12,1.2,1.2,0.1,True,0.26954544473476816,0.1621367706078411,0.11792905061397345,-0.14572710180270398,0.11486808261505731
13,1.2,1.8,0.03,True,0.240407161932049,0.0878026694312407,0.12307108317201343,-0.003349530659654487,0.13371484727455446
14,1.2,1.8,0.06,True,0.23469046980777594,0.0890658281254522,0.11667466895037673,-0.00318004505983005,0.11314100862081687
15,1.2,1.8,0.1,True,0.22858440196698432,0.09083860010679458,0.10890350959812234,-0.003007237235153948,0.08830396726909677
16,1.2,2.4,0.03,True,0.2822743347845286,0.07904321393783918,0.11410852251930895,-0.04104126679707765,0.1390091753218122
17,1.2,2.4,0.06,True,0.2770164033931799,0.07958570201297664,0.10878800020143672,-0.03972827434583337,0.12130355260690281
18,1.2,2.4,0.1,True,0.27077974172310526,0.08033831310915315,0.10220249639890862,-0.03809616875634614,0.0993940970358361
19,1.6,1.2,0.03,True,0.29432529376780947,0.18013110045088507,0.11243967567662116,-0.24198965990014498,0.11450479835561818
20,1.6,1.2,0.06,True,0.297158096071196,0.1864458976872241,0.10798095581768506,-0.2607354603978349,0.10218526961262117
21,1.6,1.2,0.1,True,0.30221769575252927,0.19543534538417165,0.10280067619149331,-0.28778706348076666,0.08816877219437257
22,1.6,1.8,0.03,True,0.23394822729231965,0.09566580103023152,0.09915760590276063,0.05078986369377336,0.08448057647465558
23,1.6,1.8,0.06,True,0.23086294218710043,0.09671651482852547,0.0949026191613232,0.05187879488782343,0.07101334401285216
24,1.6,1.8,0.1,True,0.2269590594479357,0.09819340462735267,0.08971880565767204,0.05307742755283762,0.05467012907018943
25,1.6,2.4,0.03,True,0.2766490126715918,0.08721957799047489,0.0921817432245462,-0.038519708137986886,0.09836972471089644
26,1.6,2.4,0.06,True,0.2725052125845192,0.08769847653095936,0.088431740844117,-0.03642396484701438,0.08607534401204674
27,1.6,2.4,0.1,True,0.2686990005841311,0.08835311904923664,0.08378721683679932,-0.03362983731492575,0.07084363727438744
