candidate_index,tip_weight,residual_weight,safe,score,approach_x_rmse,approach_lqr_x_rmse,approach_tip_rms,approach_lqr_tip_rms,crosswind_x_rmse,crosswind_lqr_x_rmse,crosswind_tip_rms,crosswind_lqr_tip_rms,approach_position_pass,approach_tip_pass,crosswind_position_pass,crosswind_tip_pass,dynamics_safe,input_safe,actuator_safe,failure_reasons,approach_final_d_hat,approach_max_abs_d_hat,crosswind_final_d_hat,crosswind_max_abs_d_hat,mean_abs_raw_ax,mean_abs_limited_ax,qp_limiter_mismatch_max,development_scenarios,gust_used_for_selection
1,20.0,2.0,True,0.9897674995016271,0.07267354951401518,0.1053850611809452,0.1435042759436654,0.16885907613861284,0.0912839089574291,0.09192348874717145,0.048141962114915254,0.048362613519622184,True,True,True,True,True,True,True,,-0.008282979504141343,0.050121132420513324,-0.09014653639976024,0.11729359111632007,0.17429091690941656,0.17429091690941656,0.0,"approach_stop,crosswind_hover",False
2,20.0,8.0,False,inf,0.09291075701661552,0.1053850611809452,0.15993218986801122,0.16885907613861284,0.09709530130649378,0.09192348874717145,0.04843200778334505,0.048362613519622184,True,False,False,False,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,-0.011081814492083746,0.05787513491026244,-0.09042913503950231,0.11715087226711024,0.18337307261869845,0.18337307254672167,2.8559148324003303e-08,"approach_stop,crosswind_hover",False
3,20.0,32.0,False,inf,0.10036768664389181,0.1053850611809452,0.1654975899812774,0.16885907613861284,0.09911828927809532,0.09192348874717145,0.048536690014717346,0.048362613519622184,True,False,False,False,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,-0.01202398482026922,0.06172684101788248,-0.09053531420923258,0.11709032768571762,0.18644724236971655,0.18644722956479493,5.969416741913314e-06,"approach_stop,crosswind_hover",False
4,40.0,2.0,False,inf,0.075656415498931,0.1053850611809452,0.13966484027873874,0.16885907613861284,0.09286900129477929,0.09192348874717145,0.04806065397655483,0.048362613519622184,True,True,False,True,True,True,True,crosswind_hover:crosswind_position,-0.007405553540442764,0.05025206780417917,-0.09037338783462569,0.11722229111997717,0.17378642681352816,0.17378642681352816,1.3877787807814457e-17,"approach_stop,crosswind_hover",False
5,40.0,8.0,False,inf,0.09402894778780976,0.1053850611809452,0.15843029372197315,0.16885907613861284,0.09763589675873896,0.09192348874717145,0.0483992244135568,0.048362613519622184,True,False,False,False,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,-0.010676182340324783,0.057321734708635455,-0.09050162385876648,0.11712616046441886,0.18295501760252147,0.18295501751958992,3.3048771663768406e-08,"approach_stop,crosswind_hover",False
6,40.0,32.0,False,inf,0.10068180291493123,0.1053850611809452,0.16506420608955472,0.16885907613861284,0.09926705938812556,0.09192348874717145,0.04852708484332061,0.048362613519622184,True,False,False,False,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,-0.011894828692055612,0.061553183412945855,-0.09055298635187975,0.11708372281970802,0.18631824231884908,0.18631822989811786,5.806038625877363e-06,"approach_stop,crosswind_hover",False
7,80.0,2.0,False,inf,0.08183491439398859,0.1053850611809452,0.13358593137803287,0.16885907613861284,0.09605697777053718,0.09192348874717145,0.04792665518660489,0.048362613519622184,True,True,False,True,True,True,True,crosswind_hover:crosswind_position,-0.005754000420961166,0.05063989385577364,-0.09067464520296667,0.11707461648971317,0.173634751834976,0.173634751834976,6.938893903907228e-18,"approach_stop,crosswind_hover",False
8,80.0,8.0,False,inf,0.09628425327750084,0.1053850611809452,0.1556175772507738,0.16885907613861284,0.09871905369294146,0.09192348874717145,0.048337535243978345,0.048362613519622184,True,False,False,True,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position,-0.009925593647818103,0.056256462380075874,-0.09063063942176082,0.1170771584787607,0.18233075362060921,0.18233075354188047,3.522952052303907e-08,"approach_stop,crosswind_hover",False
9,80.0,32.0,False,inf,0.10131193017850298,0.1053850611809452,0.16421360650788017,0.16885907613861284,0.09956476285245862,0.09192348874717145,0.04850817718047861,0.048362613519622184,True,False,False,False,True,True,True,approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,-0.011643180292592589,0.061203354679242455,-0.09058869135866666,0.11707059540841362,0.18606596747964102,0.18606595582873636,5.478455404328564e-06,"approach_stop,crosswind_hover",False
