candidate_index,position_scale,tip_weight,safe,score,approach_x_rmse,crosswind_x_rmse,approach_tip_rms,crosswind_tip_rms,approach_final_d_hat,approach_max_abs_d_hat,crosswind_final_d_hat,crosswind_max_abs_d_hat,mean_abs_raw_ax,mean_abs_limited_ax,qp_limiter_mismatch_max,failure_reasons,development_scenarios,gust_used_for_selection
1,1.0,20.0,False,inf,0.339495615024563,0.10536219540183617,0.18431864469398795,0.04839860450650202,-0.0055016517404508115,0.06878037363569744,-0.09086411716656852,0.11683406884068627,0.21470145980205824,0.21470145980205824,1.734723475976807e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
2,1.0,40.0,False,inf,0.34175322206669306,0.10925586188197073,0.17487193838785375,0.04821758613607166,-0.004454470502741713,0.0653504781352687,-0.09073502885565435,0.11667412631944632,0.21393270174823603,0.21393270174823603,3.469446951953614e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_position,"approach_stop,crosswind_hover",False
3,1.0,80.0,False,inf,0.34722804024736276,0.11709159484117895,0.16455376878475536,0.04791453530759107,-0.0030267997830844486,0.06055411458035412,-0.09082104576098253,0.1163766113316187,0.2161166356147185,0.2161166356147185,6.938893903907228e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_position,"approach_stop,crosswind_hover",False
4,2.0,20.0,False,inf,0.31868307254875416,0.0859174680444952,0.20725677087302272,0.04926081316641957,-0.009137364042768286,0.07399579819051513,-0.09040795767562926,0.11741775449524398,0.21990088681849124,0.21990088681849124,3.469446951953614e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
5,2.0,40.0,False,inf,0.3196706082938803,0.08871219840266795,0.19381743697712278,0.04908406737834113,-0.007645214348091572,0.07080071012562086,-0.09089924155771342,0.11729414382102407,0.21625819990901482,0.21625819990901482,1.3010426069826053e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
6,2.0,80.0,False,inf,0.32251551201840745,0.09435395642865053,0.17621491410988724,0.048835175044818414,-0.004924069950789984,0.06720164796374281,-0.09095934449860497,0.11703498342113319,0.21387540582191703,0.21387540582191703,3.469446951953614e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_position;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
7,4.0,20.0,False,inf,0.3004574803648321,0.0664107060103746,0.247969944670461,0.05019171283442984,-0.014366508182831498,0.08558980793081852,-0.08881497395842224,0.11778859919888383,0.23952650321671232,0.23952650321671232,2.6020852139652106e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
8,4.0,40.0,False,inf,0.30062210432666553,0.06814032054930756,0.2319289928763509,0.04998358171886368,-0.01391234301920712,0.08316925618869084,-0.08934518648391136,0.11775774261528796,0.23074212309917624,0.23074212309917624,6.938893903907228e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
9,4.0,80.0,False,inf,0.3014548048719247,0.07166120184019681,0.20675668785602075,0.04969465281441188,-0.010765334787777709,0.08016285829609733,-0.0903484280026902,0.11767116418344112,0.21916440146644472,0.21916440146644472,1.734723475976807e-18,approach_stop:approach_position;approach_stop:approach_tip;crosswind_hover:crosswind_tip,"approach_stop,crosswind_hover",False
