scenario,seed,primary_tip_rms,secondary_tip_rms,secondary_minus_primary_tip_rms,primary_x_rmse,secondary_x_rmse
approach_stop,0,0.13169735209629624,0.13288403838315638,0.001186686286860139,0.06890178370327757,0.06835414186201237
approach_stop,1,0.1505952808458375,0.15236115047326113,0.0017658696274236163,0.07675466591207042,0.07669634540166806
approach_stop,2,0.13809217197890236,0.1402377951727374,0.0021456231938350445,0.07580137991589522,0.0758249615741501
approach_stop,3,0.14213908756872634,0.14431187004841434,0.0021727824796879958,0.0709875274264385,0.07070973157915744
approach_stop,4,0.13443988828709544,0.13643815170425894,0.0019982634171634983,0.068493045802827,0.06790294096088068
approach_stop,5,0.14491083687761838,0.14696280845168797,0.002051971574069583,0.07776424747936121,0.07784516200177317
approach_stop,6,0.13435834819589215,0.1363906103194363,0.002032262123544154,0.07287962306219213,0.07264846325754803
approach_stop,7,0.13909204473390582,0.14091189363800322,0.001819848904097393,0.09070432122270494,0.09152799828315587
approach_stop,8,0.13696778560667255,0.1386103828899312,0.0016425972832586344,0.06591127114720947,0.0653601120216103
approach_stop,9,0.14011701140714777,0.14201240520073619,0.0018953937935884124,0.07285077453320803,0.07257994538130742
approach_stop,10,0.15399827225697094,0.15577889951531343,0.0017806272583424931,0.08590770230436841,0.08673526628224884
approach_stop,11,0.14087375626604573,0.14296198362250723,0.0020882273564614973,0.07188885603026653,0.07160640291706521
approach_stop,12,0.1435891896821434,0.1456932033350795,0.0021040136529361098,0.07325664623097325,0.07303888839522911
approach_stop,13,0.13488423901119953,0.13644189000383197,0.0015576509926324422,0.06933869943787498,0.06892719120569281
approach_stop,14,0.1420641550264371,0.14426408115460282,0.002199926128165719,0.06668022285302956,0.06594989489850706
approach_stop,15,0.13856656710388326,0.14054549849876424,0.0019789313948809784,0.07178963929457599,0.07153447008482869
approach_stop,16,0.1345270642185476,0.13574597198174537,0.001218907763197774,0.07766979870837924,0.07759909298033683
approach_stop,17,0.14126250374726687,0.14297857184114937,0.0017160680938825001,0.08139644320710586,0.08162130328315
approach_stop,18,0.14929794249463935,0.15188065060057257,0.0025827081059332235,0.07453004224616001,0.07423175387309498
approach_stop,19,0.14478135722049296,0.14685009374632316,0.0020687365258302004,0.07240672141676492,0.0719433077921156
crosswind_hover,0,0.016435328444639557,0.016608216535534216,0.00017288809089465937,0.011140942076959237,0.011735888471909027
crosswind_hover,1,0.01638335134490878,0.016466185986866746,8.283464195796633e-05,0.011207414855164558,0.011893439728740438
crosswind_hover,2,0.017656349969750417,0.01774947628459184,9.31263148414227e-05,0.01475782800216747,0.015702062031242414
crosswind_hover,3,0.010429221961460462,0.010469320467241564,4.009850578110159e-05,0.00902228982760555,0.00962082917429237
crosswind_hover,4,0.014283157788501548,0.014363778642726059,8.062085422451057e-05,0.009528216672353916,0.009974709145802878
crosswind_hover,5,0.010432095490361372,0.010495684732724202,6.35892423628305e-05,0.007941850601229651,0.008499176298959792
crosswind_hover,6,0.011729363303978139,0.011832327643452373,0.00010296433947423397,0.011924012306013016,0.012750149459709587
crosswind_hover,7,0.01698438442937431,0.017128648310015298,0.00014426388064098933,0.01799770843319135,0.019296605331976996
crosswind_hover,8,0.008736901791489051,0.008788764684091083,5.186289260203196e-05,0.010120226861337924,0.010813469172522263
crosswind_hover,9,0.004654355627242961,0.004645519744487978,-8.835882754983267e-06,0.0030760670456602165,0.003267023161240385
crosswind_hover,10,0.02485290770662837,0.025138185605841638,0.0002852778992132668,0.017835812881331157,0.018964339815209744
crosswind_hover,11,0.003824257364463783,0.0038097780852133826,-1.4479279250400549e-05,0.0030046635582126665,0.0031672991842196688
crosswind_hover,12,0.0044609091756429445,0.004478370243945517,1.7461068302572665e-05,0.0031894226386333592,0.0033477089101579195
crosswind_hover,13,0.010455479175643578,0.010472569375230861,1.709019958728332e-05,0.004864267522262484,0.005085076943740826
crosswind_hover,14,0.01492524479862375,0.015039249447580217,0.00011400464895646757,0.01002321168613348,0.010536278863915949
crosswind_hover,15,0.006098949950461946,0.006156728122070515,5.777817160856902e-05,0.0076137790231294855,0.008190140969971556
crosswind_hover,16,0.010635397873198837,0.010761648773577992,0.00012625090037915454,0.005975151989260785,0.006351665950868043
crosswind_hover,17,0.008499305316720081,0.008545821581819742,4.651626509966089e-05,0.011191903709493817,0.01195832686940527
crosswind_hover,18,0.01081875950697689,0.0108991051787634,8.034567178651086e-05,0.005737425568530403,0.006009724093731416
crosswind_hover,19,0.01230063824944695,0.012350742392653399,5.0104143206448903e-05,0.009235864471568793,0.009718202959128635
gust_micro_adjust,0,0.06599850163529243,0.06782063541634224,0.0018221337810498117,0.024840697075763744,0.024917847510428113
gust_micro_adjust,1,0.05984724346868184,0.06027448296269366,0.00042723949401182043,0.028170031102410807,0.028209334614355965
gust_micro_adjust,2,0.08843483554825558,0.08968334055983318,0.001248505011577597,0.03620084452249216,0.03667336714158722
gust_micro_adjust,3,0.06667180173055655,0.06763318397810375,0.0009613822475472017,0.025388352054384816,0.025283627677351643
gust_micro_adjust,4,0.082618172609531,0.08387735129533905,0.001259178685808049,0.03143851828824576,0.031457807733980395
gust_micro_adjust,5,0.07091879150833086,0.07147064443984447,0.0005518529315136078,0.031039029750063007,0.031027465714155853
gust_micro_adjust,6,0.08039900338538726,0.08177614600928608,0.0013771426238988194,0.03180075497975242,0.03203408942159604
gust_micro_adjust,7,0.08835335640934765,0.08966966910737047,0.0013163126980228201,0.040246002570726414,0.0410079315911014
gust_micro_adjust,8,0.06696464055699271,0.06802406483031162,0.0010594242733189124,0.025912166533682494,0.02593655574623682
gust_micro_adjust,9,0.07210351523089405,0.07323465108887367,0.0011311358579796232,0.02808271082328229,0.027874671965201617
gust_micro_adjust,10,0.060335815494698346,0.06100053491826225,0.0006647194235639073,0.03003191896105858,0.03081633450578206
gust_micro_adjust,11,0.07627598502974403,0.07736322798782647,0.001087242958082435,0.028974117214343672,0.028785764870468883
gust_micro_adjust,12,0.07376870797854068,0.07455050707346073,0.0007817990949200437,0.02939780289678344,0.029214979811124503
gust_micro_adjust,13,0.07193460932797581,0.07351128101102093,0.0015766716830451222,0.02614556089351769,0.025970078979497307
gust_micro_adjust,14,0.06809301774368051,0.06834323199348752,0.000250214249807007,0.027404856504510168,0.02702197523254653
gust_micro_adjust,15,0.07442958765640939,0.07561630834990775,0.0011867206934983582,0.029273715555201855,0.029264208360305854
gust_micro_adjust,16,0.07694580592846423,0.07860322339909348,0.0016574174706292522,0.0309354738625441,0.031032437353176547
gust_micro_adjust,17,0.07413465871804735,0.0752097186411255,0.001075059923078145,0.03303787631571779,0.03332054110853175
gust_micro_adjust,18,0.0746758167807625,0.07501651804647612,0.0003407012657136166,0.031141657903175975,0.030966229766267412
gust_micro_adjust,19,0.06605470541856175,0.06646756000768793,0.00041285458912618256,0.02862922327722457,0.028359696726543426
