acquisition_improvement_vs_lqi,calm_acquired,calm_acquisition_time_s,calm_orientation_rmse,calm_position_rmse,candidate_id,controller,crosswind_acquired,crosswind_acquisition_time_s,crosswind_orientation_rmse,crosswind_position_rmse,dare_residual_norm,horizon_steps,mpc_contribution_pass,no_more_than_10_percent_degradation,position_improvement_vs_lqi,q_eta,residual_weight,safe,score,spectral_radius,usable,usable_with_mpc
,False,,7.494500178668385,28.555653788752895,its_001,ITS-RMPC,False,,6.077562577211097,12.80459545042519,3.768593588124389e-10,20,False,False,,0.1,0.25,False,,0.9982761049275816,False,False
,False,,0.0,0.28726071833256883,its_002,ITS-RMPC,False,,0.40841163216562465,1.6541047903116057,3.768593588124389e-10,20,False,False,,0.1,1.0,True,,0.9982761049275816,False,False
,True,2.35,0.9193783345896667,0.10472126953585371,its_003,ITS-RMPC,False,,1.208310672903388,0.20009917682306108,3.768593588124389e-10,20,False,False,,0.1,4.0,True,,0.9982761049275816,False,False
,True,2.36,0.7645459629663971,0.10397028632931518,its_004,ITS-RMPC,False,,1.0701618106756208,0.1934756432765838,3.768593588124389e-10,20,False,False,,0.1,16.0,True,,0.9982761049275816,False,False
,False,,7.494499458099224,28.5556529522116,its_005,ITS-RMPC,False,,6.0775367356102565,12.804792209032657,3.768593588124389e-10,40,False,False,,0.1,0.25,True,,0.9982761049275816,False,False
,False,,0.0,0.2872608283151993,its_006,ITS-RMPC,False,,0.4084138017041861,1.654108324396942,3.768593588124389e-10,40,False,False,,0.1,1.0,True,,0.9982761049275816,False,False
,True,2.36,1.0759079743603204,0.10512908667368547,its_007,ITS-RMPC,False,,1.3526015391681463,0.19685113422640774,3.768593588124389e-10,40,False,False,,0.1,4.0,True,,0.9982761049275816,False,False
,True,2.345,0.7868571023608566,0.10382240511131419,its_008,ITS-RMPC,False,,1.0900697273344078,0.1919820048037417,3.768593588124389e-10,40,False,False,,0.1,16.0,True,,0.9982761049275816,False,False
,False,,7.494500428031085,28.555654728393687,its_009,ITS-RMPC,False,,6.0775526321276585,12.804690689099868,2.945075765111306e-10,20,False,False,,1.0,0.25,True,,0.9945525034917749,False,False
,False,,0.0,0.28726046814429046,its_010,ITS-RMPC,False,,0.4084104623809082,1.6541025977143093,2.945075765111306e-10,20,False,False,,1.0,1.0,True,,0.9945525034917749,False,False
,True,4.95,1.039394110496402,0.10755284579515771,its_011,ITS-RMPC,False,,1.3355988698728332,0.1895623075996661,2.945075765111306e-10,20,False,False,,1.0,4.0,True,,0.9945525034917749,False,False
