time,scenario,protocol_mode,wind_x,x_ref,vx_ref,ax_ref,y_ref,z_ref,yaw_ref,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,tip_x,tip_y,tip_z,tip_displacement,joint_1_angle,joint_1_velocity,joint_2_angle,joint_2_velocity,joint_3_angle,joint_3_velocity,joint_4_angle,joint_4_velocity,joint_5_angle,joint_5_velocity,ax_cmd_raw,ax_cmd_limited,ax_saturated,ax_slew_limited,anchor_active,roll_rad,pitch_rad,yaw_rad,thrust_cmd_raw_N,thrust_cmd_limited_N,mx_cmd_raw_Nm,my_cmd_raw_Nm,mz_cmd_raw_Nm,mx_cmd_limited_Nm,my_cmd_limited_Nm,mz_cmd_limited_Nm,rotor_motor_max_abs_cmd,solve_time_ms,controller,controller_mode,position_error_x,velocity_error_x,lqr_feedback_ax,residual_v,disturbance_hat,qp_limiter_mismatch,qp_status_code,qp_iterations,preview_horizon_steps,tip_weight,residual_weight,observer_enabled,disturbance_compensation
7.5600000000000005,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.32057942509243292,7.2587634966538409e-30,3.1988139343461803,-0.09096650539571062,-1.2395901057705657e-29,0.00071912479918450462,0.47109215921986936,1.4144670240238453e-29,0.38325534334482814,-0.074487265872563574,0.01519284719978925,0.021908471974851091,0.0010478741079380698,0.0011479332441743869,0.00086710927489443927,0.0013389030669620663,0.00071293634561393608,0.0010412711512963204,0.00045034620382895362,0.00045764039342464344,0.10161813102719512,0.10161813102719512,false,false,false,2.4469164167064813e-30,0.010962610828740345,6.1227047177734322e-33,129.92083248686029,129.92083248686029,-4.4425644422203429e-29,-0.16358214235624866,3.0877325109435024e-31,-4.4425644422203429e-29,-0.16358214235624866,3.0877325109435024e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.020579425092432935,-0.09096650539571062,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5650000000000004,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.32012529301592263,7.1965039152674131e-30,3.1988175589799228,-0.090685749854539616,-1.2507964920891559e-29,0.0007307576892438952,0.47001747713443309,1.4093918895083939e-29,0.38322213825854101,-0.075107815881489542,0.015301972770649621,0.021738342317298778,0.0010534632458414558,0.0010909112897193052,0.00087372655248512668,0.0013070817293572526,0.00071806572867915222,0.0010102971448798571,0.00045259673315606053,0.00044309667960746484,0.10161813102719512,0.10161813102719512,false,false,false,2.4509940604776928e-30,0.011072939822740643,5.9932150800633538e-33,129.9200920156801,129.9200920156801,-4.4748488343357003e-29,-0.16400674058525508,3.1791537539857268e-31,-4.4748488343357003e-29,-0.16400674058525508,3.1791537539857268e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.020125293015922641,-0.090685749854539616,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5700000000000003,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31967257331774163,7.1336836644847274e-30,3.1988212415082353,-0.090401555578014811,-1.2620168298060799e-29,0.00074228249684095795,0.4689500512864343,1.4042426725640456e-29,0.3831895180355962,-0.075722522031307332,0.015410206432671339,0.0215522170049098,0.0010588083687336572,0.0010492419247417634,0.00088017336942122543,0.001271316250005992,0.00072303807761321573,0.00097861659709678312,0.00045478135943435594,0.00043108788514762683,0.10161813102719512,0.10161813102719512,false,false,false,2.4550082866030966e-30,0.011182354847509599,5.8549999271728475e-33,129.91935200533379,129.91935200533379,-4.5071434962071371e-29,-0.16443433512758823,3.2714134735203312e-31,-4.5071434962071371e-29,-0.16443433512758823,3.2714134735203312e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.019672573317741637,-0.090401555578014811,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5750000000000002,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31922128316530968,7.0703020545765243e-30,3.1988249813891043,-0.090113933659092593,-1.2732508049175551e-29,0.00075369857859242605,0.46788993847894766,1.3990191751197979e-29,0.38315747746932721,-0.076331344686362018,0.015517474973405995,0.021352634821138982,0.0010639721336584179,0.0010176814496792553,0.00088643756960355606,0.0012343801047732881,0.00072785200066843533,0.00094703960876106206,0.00045691032491733608,0.00042072036575377581,0.10161813102719512,0.10161813102719512,false,false,false,2.4589586342298327e-30,0.011290867954041911,5.7080726182122471e-33,129.91861255184722,129.91861255184722,-4.5394473775117657e-29,-0.1648644137599298,3.3644908695687188e-31,-4.5394473775117657e-29,-0.1648644137599298,3.3644908695687188e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.019221283165309688,-0.090113933659092593,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5800000000000001,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31877143966323152,7.0063584115653193e-30,3.1988287780773339,-0.089822897866181112,-1.284498101356014e-29,0.00076500530138670273,0.46683719496233411,1.3937212006473155e-29,0.38312601145756364,-0.076934244700897408,0.015623715684509982,0.021141319469455841,0.0010689961460662797,0.00099290414957353907,0.00089251764118403632,0.0011978594545356718,0.00073250952155522924,0.00091613359899722169,0.00045899041698509863,0.0004114737747412149,0.10161813102719512,0.10161813102719512,false,false,false,2.4628446424723099e-30,0.011398490720745154,5.5524468405636806e-33,129.91787375000263,129.91787375000263,-4.5717594224583692e-29,-0.16529653397123817,3.4583649480224742e-31,-4.5717594224583692e-29,-0.16529653397123817,3.4583649480224742e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.018771439663231526,-0.089822897866181112,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.585,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31832305984334847,6.9418520773286134e-30,3.1988326310245516,-0.08952846336781875,-1.2957584009891915e-29,0.0007762020260244166,0.46579187643993158,1.3883485541859732e-29,0.38309511496044996,-0.077531183403416887,0.015728873078371758,0.020919474081312568,0.0010739086240129953,0.0009727879122056485,0.00089841808461331939,0.0011626342415047724,0.00073701502473078582,0.00088628452171177208,0.00046102642300702818,0.00040304899724417155,0.10161813102719512,0.10161813102719512,false,false,false,2.466665850430067e-30,0.011505234298991888,5.3881367173401584e-33,129.91713569413588,129.91713569413588,-4.604078569775285e-29,-0.16573029814057358,3.5530145025351125e-31,-4.604078569775285e-29,-0.16573029814057358,3.5530145025351125e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.018323059843348477,-0.08952846336781875,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5899999999999999,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31787616065991903,6.8767824097021427e-30,3.1988365396791512,-0.089230645921645951,-1.3070313836199977e-29,0.00078728809681174496,0.46475403807160653,1.3829010423612037e-29,0.38306478298584923,-0.078122122588312498,0.015832896787406982,0.020687968023309092,0.0010787292134100297,0.00095596790530492201,0.00090414666392534611,0.0011291665673235781,0.00074137447341344348,0.00085774491130662686,0.00046302198711270157,0.00039527613352443078,0.10161813102719512,0.10161813102719512,false,false,false,2.4704217972053573e-30,0.011611109443845032,5.21515687910763e-33,129.91639847866028,129.91639847866028,-4.6364037527043866e-29,-0.16616533765032226,3.6484181050449389e-31,-4.6364037527043866e-29,-0.16616533765032226,3.6484181050449389e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.017876160659919038,-0.089230645921645951,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.5949999999999998,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31743075898805606,6.8111487825830979e-30,3.1988405034861933,-0.088929461360825329,-1.3183167269869136e-29,0.0007982628349767801,0.46372373447555332,1.377378473399415e-29,0.383035010588826,-0.078707024512502749,0.015935740214563537,0.020447455746567776,0.0010834720216579292,0.00094155714555110739,0.00090971278520477589,0.0010976729768797219,0.00074559483812789242,0.00083067039475524589,0.0004649801064843427,0.00038805931732854783,0.10161813102719512,0.10161813102719512,false,false,false,2.4741120219205495e-30,0.011716126535276504,5.033522512666415e-33,129.91566219841255,129.91566219841255,-4.668733898998946e-29,-0.16660130272213722,3.7445541019628051e-31,-4.668733898998946e-29,-0.16660130272213722,3.7445541019628051e-31,0,0.57089999999999996,lqr_stabilized_da_pmpc,preview,0.017430758988056072,-0.088929461360825329,0.1128681325163261,0.011250001489130983,0,0,1,25,20,20,2,false,false
7.6000000000000005,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31698687162421862,6.7449505860333509e-30,3.1988445218872767,-0.088624925271709051,-1.329614106764762e-29,0.00080912553457694852,0.46270101972868916,1.3717806571413413e-29,0.3830057928775622,-0.079285851895529474,0.016037359662428089,0.020198452629715553,0.0010881475346997277,0.00092897115461589908,0.00091512654727269954,0.0010682269749890474,0.00074968368350076153,0.00080514684769252074,0.00046690341252869584,0.00038134399144413705,0.098647277445619186,0.098647277445619186,false,false,false,2.4777360637354502e-30,0.011820295593292014,4.8432493951098802e-33,129.91446201900433,129.91446201900433,-4.7010707861946692e-29,-0.17171977307457523,3.9670784761718644e-31,-4.7010707861946692e-29,-0.17171977307457523,3.9670784761718644e-31,0,0.59560000000000002,lqr_stabilized_da_pmpc,preview,0.016986871624218636,-0.088624925271709051,0.11222823129089804,0.013580953845278857,0,0,1,25,20,20,2,false,false
7.6050000000000004,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31654451507546438,6.6781872276621609e-30,3.1988485938245925,-0.088317140089776355,-1.340923145352656e-29,0.00081967710487192006,0.46168594733205193,1.3661074077677128e-29,0.38297712497720626,-0.079858567743412462,0.01613779215509565,0.019972605894773392,0.0010927556331509765,0.00091469245815269443,0.00092039000536445073,0.0010375931526082575,0.00075364608187018008,0.0007800416881256644,0.00046879418692145371,0.00037501632119941124,0.098647277445619186,0.098647277445619186,false,false,false,2.481293463418737e-30,0.011923566242269394,4.6443261837026933e-33,129.91373306432794,129.91373306432794,-4.7334076325765387e-29,-0.17198858476573101,4.0613195545323345e-31,-4.7334076325765387e-29,-0.17198858476573101,4.0613195545323345e-31,0,0.59560000000000002,lqr_stabilized_da_pmpc,preview,0.016544515075464394,-0.088317140089776355,0.11222823129089804,0.013580953845278857,0,0,1,25,20,20,2,false,false
7.6100000000000003,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.3161037057303378,6.6108581314372119e-30,3.1988527182429696,-0.088006047281921088,-1.3522435660825151e-29,0.00083011778121117041,0.4606785702011188,1.3603585410337935e-29,0.38294900208212468,-0.080425135529219011,0.016237071360627388,0.019737225213193033,0.0010972977002316811,0.00090246931714608547,0.00092550629662090155,0.0010093465969785742,0.00075748636014454464,0.00075632091456265054,0.00047065410055574037,0.00036900483019060759,0.098647277445619186,0.098647277445619186,false,false,false,2.4847837618230991e-30,0.012025890037177724,4.4367440702697943e-33,129.9130053277899,129.9130053277899,-4.765746190740259e-29,-0.17226175254546167,4.1563489342932964e-31,-4.765746190740259e-29,-0.17226175254546167,4.1563489342932964e-31,0,0.59560000000000002,lqr_stabilized_da_pmpc,preview,0.016103705730337814,-0.088006047281921088,0.11222823129089804,0.013580953845278857,0,0,1,25,20,20,2,false,false
7.6150000000000002,gust_micro_adjust,free_flight_controlled,0,0.29999999999999999,0,0,0,3.2000000000000002,0,0.31566446007545379,6.5429627365036221e-30,3.1988568945862959,-0.087691667341538507,-1.3635750384874818e-29,0.00084044689630553252,0.45967894071709264,1.3545338715791878e-29,0.38292141945924485,-0.080985519358361152,0.016335150915244789,0.019492818300346226,0.001101782817175663,0.0008918509683744579,0.00093048711640271822,0.00098338598789496075,0.00076121171139027809,0.00073408211327160796,0.00047248480673335201,0.00036333743965693904,0.098647277445619186,0.098647277445619186,false,false,false,2.4882064983291033e-30,0.012127280408850472,4.2205246281152329e-33,129.91227890389132,129.91227890389132,-4.7980853663957178e-29,-0.17253887802425433,4.2521422447468937e-31,-4.7980853663957178e-29,-0.17253887802425433,4.2521422447468937e-31,0,0.59560000000000002,lqr_stabilized_da_pmpc,preview,0.015664460075453801,-0.087691667341538507,0.11222823129089804,0.013580953845278857,0,0,1,25,20,20,2,false,false
