scenario,seed,lqr_tip_rms,primary_tip_rms,tip_improvement_percent,lqr_x_rmse,primary_x_rmse,x_improvement_percent,lqr_tip_max,primary_tip_max,lqr_control_energy,primary_control_energy
approach_stop,0,0.15953192631792823,0.13169735209629624,17.447651303451938,0.09959855866278232,0.06890178370327757,30.820501191625603,0.3819082611996054,0.32153934944391604,1.7788127508032734,1.2598324122839966
crosswind_hover,0,0.01708118486701933,0.016435328444639557,3.7810984858948826,0.011960381992282478,0.011140942076959237,6.851285484460197,0.034428508444870415,0.03335987503524798,0.015494313686521976,0.015449185489075744
gust_micro_adjust,0,0.08304236046858485,0.06599850163529243,20.524294754049237,0.032748172442985,0.024840697075763744,24.14631039636876,0.18423822108276958,0.15210557287293,0.29642889943072465,0.19338736500730036
approach_stop,1,0.17913150639597272,0.1505952808458375,15.930321875960495,0.10709723302648075,0.07675466591207042,28.33179369527489,0.3985896803875494,0.33850652089162603,1.9859054770360471,1.4373290692971155
crosswind_hover,1,0.016944157086316743,0.01638335134490878,3.3097293571531075,0.01210674315946698,0.011207414855164558,7.428325623635481,0.03593588896962083,0.03391619739456456,0.014432317933675009,0.014798095706347757
gust_micro_adjust,1,0.07814141731122665,0.05984724346868184,23.411622762972932,0.036300126945516216,0.028170031102410807,22.396879920855586,0.18171597820910687,0.14594251806761935,0.29819090105496815,0.19183134507880234
approach_stop,2,0.16241677428462295,0.13809217197890236,14.976656452426267,0.1074827282960784,0.07580137991589522,29.475757530932622,0.37936736420739614,0.3197014479550271,1.9433127844618967,1.4281671444490924
crosswind_hover,2,0.018256046380881637,0.017656349969750417,3.2849194103672,0.0159313502145103,0.01475782800216747,7.366118982645821,0.044002192380251576,0.04287623245601618,0.018127335769396936,0.018095135852707965
gust_micro_adjust,2,0.1080570666896063,0.08843483554825558,18.159137335937068,0.045381683331888356,0.03620084452249216,20.230273835931285,0.22615913464272738,0.18942431686062441,0.3970287617321047,0.26570102185892763
approach_stop,3,0.1697724878293962,0.14213908756872634,16.276724582394387,0.10323538172968925,0.0709875274264385,31.237211276738712,0.3720636078258358,0.3125208334471564,1.8372650520965412,1.3223928399115172
crosswind_hover,3,0.010661376476279245,0.010429221961460462,2.1775285333494163,0.009705704094744746,0.00902228982760555,7.041367225580658,0.023732853422845313,0.022794840287720497,0.009187569402067776,0.009615483318702829
gust_micro_adjust,3,0.08600219315157834,0.06667180173055655,22.4766261331872,0.03358227389230082,0.025388352054384816,24.39954442690246,0.19520643267726825,0.1584060434738118,0.27826769469876206,0.1714527919039138
approach_stop,4,0.16008956795239115,0.13443988828709544,16.022080634837895,0.09979098694808615,0.068493045802827,31.363494943226833,0.358246744199601,0.29989312909296684,1.747977867527414,1.2552432466439263
crosswind_hover,4,0.014627773286085959,0.014283157788501548,2.3558985420714125,0.010181583244969854,0.009528216672353916,6.417141194015474,0.03940724880132082,0.03791098745398741,0.012241288733691898,0.01240112308620384
gust_micro_adjust,4,0.10261905562565757,0.082618172609531,19.490418123791233,0.0400607438803253,0.03143851828824576,21.522879399935714,0.21784512438269313,0.18080439150699887,0.3517348335960103,0.22650881769326903
approach_stop,5,0.172277113808025,0.14491083687761838,15.885033319574823,0.11071850857718472,0.07776424747936121,29.764003797838594,0.37903332559112335,0.31894840653234324,1.9521428364669526,1.4235742814479266
crosswind_hover,5,0.010781901484727357,0.010432095490361372,3.2443812889728965,0.0085872561877518,0.007941850601229651,7.515853404288849,0.021911493182131092,0.021452999684433427,0.00641596936079609,0.006566553835500973
gust_micro_adjust,5,0.09041639699541822,0.07091879150833086,21.564236283464584,0.04026060724023004,0.031039029750063007,22.904715358968698,0.21510979539815925,0.17800368206961512,0.3296577687954864,0.21129081396617866
approach_stop,6,0.16014758470604665,0.13435834819589215,16.103418954142228,0.1049151218120509,0.07287962306219213,30.53468193769858,0.37352957873554005,0.3134880018780275,1.8559976417132578,1.346223104879982
crosswind_hover,6,0.01201384188249907,0.011729363303978139,2.3679234445006214,0.012848765206584055,0.011924012306013016,7.197212227811357,0.03498639804107881,0.035152048357203786,0.01272209675630228,0.013040463487261272
gust_micro_adjust,6,0.09948275836350814,0.08039900338538726,19.182977323959193,0.040566933897508886,0.03180075497975242,21.609172977933085,0.2195721314724541,0.18218063530485254,0.3471858636390013,0.22749060869219945
approach_stop,7,0.16299225610204882,0.13909204473390582,14.663402998225367,0.12230884366767332,0.09070432122270494,25.839932336243294,0.395528451654248,0.33877810725988144,2.1369564401882766,1.6077982352245608
crosswind_hover,7,0.017249585423877868,0.01698438442937431,1.5374340193501292,0.019390087721269177,0.01799770843319135,7.1808818407278965,0.03572425587165204,0.036565644590590834,0.027099264734970506,0.02835439495765956
gust_micro_adjust,7,0.10722415640274453,0.08835335640934765,17.599392363150237,0.049953417798128515,0.040246002570726414,19.432935032857323,0.24168480709429482,0.2054810486917875,0.4073824524091253,0.28388013699061465
approach_stop,8,0.16533923778236262,0.13696778560667255,17.159539717387375,0.09650261131216775,0.06591127114720947,31.700012827633294,0.37936767075033095,0.3187129042830438,1.7413183238805419,1.2232736006070548
crosswind_hover,8,0.008887862350560325,0.008736901791489051,1.6985024420608499,0.010894706112167078,0.010120226861337924,7.108766797887507,0.026054591708294633,0.025658062654468322,0.01248498453067934,0.013169275485012065
gust_micro_adjust,8,0.08546839396075145,0.06696464055699271,21.64981994660621,0.03381716430294073,0.025912166533682494,23.37569672738888,0.18352912816679764,0.15034489330074816,0.2981586965457981,0.18958158808065112
approach_stop,9,0.1678875849481095,0.14011701140714777,16.541171611673974,0.10526738508186664,0.07285077453320803,30.794543365400553,0.3747972156773719,0.3146569239016901,1.8760092810889861,1.3533536507728652
crosswind_hover,9,0.00471625502277542,0.004654355627242961,1.3124692204628172,0.003304894008899402,0.0030760670456602165,6.923882055612117,0.010771380656374396,0.0107921293855186,0.0018237007401173129,0.001967634773508643
gust_micro_adjust,9,0.09126873436571321,0.07210351523089405,20.998668676640417,0.03706922676726715,0.02808271082328229,24.24252332104248,0.2151172092617988,0.17793163114864471,0.3167064813509597,0.20191677121158885
approach_stop,10,0.18107766028777328,0.15399827225697094,14.954571418565427,0.11745229031854502,0.08590770230436841,26.85736304385706,0.43298559857094865,0.37494451703931564,2.157817218649673,1.60731412110342
crosswind_hover,10,0.025851100719928008,0.02485290770662837,3.861317257296334,0.019205737097873432,0.017835812881331157,7.132890602225109,0.058623430780542274,0.058624499727706975,0.036614540813637735,0.03728109702139127
gust_micro_adjust,10,0.07747308347303343,0.060335815494698346,22.120286440257882,0.038583450566869855,0.03003191896105858,22.16372947512929,0.1703588542805932,0.13578732555483838,0.30586690215014756,0.20666399678659245
approach_stop,11,0.16807070201854682,0.14087375626604573,16.181848130496814,0.1042678328298848,0.07188885603026653,31.053658564521307,0.37413354117013,0.3141761126377278,1.8696887841442074,1.351042545995856
crosswind_hover,11,0.003731073079955131,0.003824257364463783,-2.4975196816507426,0.0032143531012076535,0.0030046635582126665,6.523537906156148,0.01051680715034295,0.011114364471474208,0.0022091532954825557,0.002415974836087906
gust_micro_adjust,11,0.09605089064055955,0.07627598502974403,20.587946117873,0.03797605061805684,0.028974117214343672,23.704237953150745,0.21754347970241902,0.18008737304210284,0.32889841352555205,0.2099444713194393
